"","OccurrenceID","GUID","Herbarium","Collection","Dataset","Accession","Catalog","Barcode","Other.Catalog.Numbers","Information.Withheld","Basis.of.Record","Family","Accepted.Name","Scientific.Name","Notho.Genus","Genus","Notho.Species","Specific.Epithet","Specific.Authors","Infraspecific.Rank","Notho.Infraspecies","Infraspecific.Epithet","Infraspecific.Authors","Hybrid.Symbol","X2nd.Notho.Genus","X2nd.Genus","X2nd.Notho.Species","X2nd.Specific.Epithet","X2nd.Specific.Authors","X2nd.Infraspecific.Rank","X2nd.Notho.Infraspecies","X2nd.Infraspecific.Epithet","X2nd.Infraspecific.Authors","Cultivar","Name.Qualifier","Qualifier.Position","Type.Specimen.","Type.Status","Specimen.Notes","Phenology","Origin","Cultivated.","Imaged.","Site.Number","Collector","Collector.Number","Other.Collectors","Day.Collected","Month.Collected","Year.Collected","Verbatim.Collection.Date","Country","State.or.Province","County","Locality","Site.Description","Verbatim.Elevation","Minimum.Elevation.in.Meters","Maximum.Elevation.in.Meters","Verbatim.Coordinates","Decimal.Latitude","Decimal.Longitude","Valid.LatLng","Geodetic.Datum","Coordinate.Uncertainty.in.Meters","Georeferenced.By","Georeference.Sources","Georeference.Remarks"
"11",1171330,"","UBC","Vascular Plants",NA,"V240403","","","","","PreservedSpecimen","Iridaceae","Sisyrinchium californicum","Sisyrinchium californicum",NA,"Sisyrinchium","","californicum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Several 100 flowering stems, also in connecting ditch; flowers buttercup yellow.","","","N","Y",NA,"Frank Lomer","8022","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Gillies Bay Road and Shelter Point Road.","Roadside ditch with clear flowing water, with Juncus articulatus, Hypericum anagalloides, Carex viridula.","25 m",25,NA,"","49.654528",-124.45,"Y","","","","",""
"12",1171331,"","UBC","Vascular Plants",NA,"V240404","","","","","PreservedSpecimen","Campanulaceae","Campanula scouleri","Campanula scouleri",NA,"Campanula","","scouleri",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Single plant seen on the hike up the mountain.","","","N","Y",NA,"Frank Lomer","8023","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","Texada Island, east of Surprise Mountain.","Dry Douglas-fir woods.","150 m",150,NA,"","49.729167",-124.569444,"Y","","","","",""
"13",1171332,"","UBC","Vascular Plants",NA,"V240405","","","","","PreservedSpecimen","Poaceae","","Festuca rubra  pruinosa",NA,"Festuca","","rubra",NA,"",NA,"pruinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Scattered plants in opening.","","","N","Y",NA,"Frank Lomer","8024","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","[Locality and coordinates withheld]","Open mossy bedrock slope, with Selaginella wallacei, Prunella vulgaris, Elymus glaucus, Daucus pusillus.","240 m",240,NA,"","",NA,"","","","","",""
"14",1171333,"","UBC","Vascular Plants",NA,"V240406","","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Asteraceae","Packera macounii","Packera macounii",NA,"Packera","","macounii",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Scattered in dry limestone sites on the mountain; robust plants noted in disturbed clearing on Beale Cove Road.","","","N","Y",NA,"Frank Lomer","8025","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","[Locality and coordinates withheld]","Dry forest opening, in mossy calcareous bedrock, with Leucanthemum vulgare, Madia exigua, Arbutus menziesii, Pinus contorta, Juniperus communis.","260 m",260,NA,"","",NA,"","","","","",""
"15",1171334,"","UBC","Vascular Plants",NA,"V240407","","","","","PreservedSpecimen","Amaryllidaceae","Allium sativum","Allium sativum",NA,"Allium","","sativum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Leaves flat, bulbils in enclosed flower heads; garlic smell; ca. 40 stems; odd location for this garden escape, not near habitation.","","","N","Y",NA,"Frank Lomer","8026","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","Texada Island, east of Surprise Mountain, 1.1 km due southwest of Priest Lake Road and Gillies Bay Road.","Logging road through mixed woods, at creek bridge, in limestone rock at roadside, with Leucanthemum vulgare, Dactylis glomerata, Lapsana communis, Thuja plicata saplings.","100 m",100,NA,"","49.735",-124.568611,"Y","","","","",""
"16",1171335,"","UBC","Vascular Plants",NA,"V240408","","","","","PreservedSpecimen","Melanthiaceae","Anticlea elegans","Anticlea elegans",NA,"Anticlea","","elegans",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"A couple of patches noted along the road in this area.","","","N","Y",NA,"Frank Lomer","8027","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","Texada Island, west side of Gillies Bay Road, north of Cranby Lake.","Roadside opening, thickly vegetated, calcareous substrate.","110 m",110,NA,"","49.709444",-124.508056,"Y","","","","",""
"17",1171336,"","UBC","Vascular Plants",NA,"V240409","","","","","PreservedSpecimen","Aspleniaceae","","Asplenium trichomanes  quadrivalens",NA,"Asplenium","","trichomanes",NA,"",NA,"quadrivalens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Plants spreading on a horizontal plane, not erect; ca. 12 plants at site; frequent on limestone rocks by the sea in town.","","","N","Y",NA,"Frank Lomer","8028","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","[Locality and coordinates withheld]","Limestone rock cliffbank at beach, with Centaurea x moncktonii, Campanula medium.","2 m",2,NA,"","",NA,"","","","","",""
"18",1171337,"","UBC","Vascular Plants",NA,"V240410","","","","","PreservedSpecimen","Brassicaceae","Iberis umbellata","Iberis umbellata",NA,"Iberis","","umbellata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"A few plants among Centaurea x moncktonii.","","","N","Y",NA,"Frank Lomer","8029","",9,7,2012,"2012 Jul 09","Canada","British Columbia","","Texada Island, Van Anda, Para Street and Main Street.","Limestone outcrop with gravel dump overlay, in rough corner of residence.","25 m",25,NA,"","49.758056",-124.556111,"Y","","","","",""
"19",1171338,"","UBC","Vascular Plants",NA,"V240411","","","","","PreservedSpecimen","Apiaceae","Torilis japonica","Torilis japonica",NA,"Torilis","","japonica",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Common weed around town.","","","N","Y",NA,"Frank Lomer","8030","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, Van Anda, east of town, north of Olive Street.","Rocky slope below demolished home, on seaside cliff.","3 m",3,NA,"","49.758333",-124.544444,"Y","","","","",""
"20",1171339,"","UBC","Vascular Plants",NA,"V240412","","","","","PreservedSpecimen","Rosaceae","Cotoneaster dammeri","Cotoneaster dammeri",NA,"Cotoneaster","","dammeri",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Prostrate evergreen shrub rooting at stem nodes; 3 x 2 m patch; also scattered throughout the limestone quarry in moister sites.","","","N","Y",NA,"Frank Lomer","8031","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, old limestone quarry 1 km east of Van Anda.","Crushed limestone gravel roadbed by creek, with Holcus lanatus, Anthoxanthum odoratum, Dactylis glomerata, Hypericum perforatum.","20 m",20,NA,"","49.756111",-124.539167,"Y","","","","",""
"21",1171340,"","UBC","Vascular Plants",NA,"V240413","","","","","PreservedSpecimen","Lamiaceae","Lavandula angustifolia","Lavandula angustifolia",NA,"Lavandula","","angustifolia",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Woody based subshrub with purple flower spikes; apparently spontaneous and established in the old mine workings; 15 plants in 20 x 3 m area.","","","N","Y",NA,"Frank Lomer","8032","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, old limestone quarry 1 km east of Van Anda, at end of Olive Street.","Flat crushed limestone pebbles between track and base of limestone cliff in the old quarry pit; growing with Leucanthemum vulgare, Poa compressa, Thuja plicata saplings, Grindelia stricta, Vulpia myuros.","40 m",40,NA,"","49.755556",-124.535556,"Y","","","","",""
"22",1171341,"","UBC","Vascular Plants",NA,"V240414","","","","","PreservedSpecimen","Asteraceae","Pseudognaphalium stramineum","Pseudognaphalium stramineum",NA,"Pseudognaphalium","","stramineum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ca. 40 clumps.","","","N","Y",NA,"Frank Lomer","8033","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, old limestone quarry 1 km east of Van Anda, at end of Olive Street.","Limestone cliff in old quarry, in limestone sand at the base, with Bromus tectorum, Saxifraga tridactylites.","40 m",40,NA,"","49.755556",-124.535556,"Y","","","","",""
"23",1171342,"","UBC","Vascular Plants",NA,"V240415","","","","","PreservedSpecimen","Lamiaceae","Lavandula angustifolia","Lavandula angustifolia",NA,"Lavandula","","angustifolia",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Shrubby erect healthy plant 0.5 m tall, with few seedling plants nearby.","","","N","Y",NA,"Frank Lomer","8034","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, old limestone quarry 1 km east of Van Anda, at end of Olive Street.","Grassy old quarry road on crushed limestone bed, with Leucanthemum vulgare, Centaurea x moncktonii, Festuca sp.","40 m",40,NA,"","49.755833",-124.536667,"Y","","","","",""
"24",1171343,"","UBC","Vascular Plants",NA,"V240416","","","","","PreservedSpecimen","Asteraceae","Leucanthemum superbum","Leucanthemum superbum",NA,"Leucanthemum","×","superbum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Few clumps noted in town, often grown in gardens and occasionally escaped.","","","Y","Y",NA,"Frank Lomer","8035","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, Van Anda, Smelter Ave and Blewett Street.","Disturbed clearing in residential area, with Leucanthemum vulgare.","25 m",25,NA,"","49.758611",-124.55,"Y","","","","",""
"25",1171344,"","UBC","Vascular Plants",NA,"V240417","","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Blechnaceae","Woodwardia fimbriata","Woodwardia fimbriata",NA,"Woodwardia","","fimbriata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Single clump 3 m from road, with fresh green growth and persistent old fronds from previous season; second clump observed 165 m southeast at 10U 386827 5512996.","","","N","Y",NA,"Frank Lomer","8036","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","[Locality and coordinates withheld]","Along roadside under wood power pole line, in seepage in limestone area, with Polystichum munitum, Alnus rubra, Pteridium aquilinum, Tsuga heterophylla, Prunella vulgaris, Petasites frigidus.","44 m",44,NA,"","",NA,"","","","","",""
"26",1171345,"","UBC","Vascular Plants",NA,"V240418","","","","","PreservedSpecimen","Poaceae","Elymus repens","Elymus repens",NA,"Elymus","","repens",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Lemma awns to 8 mm, adaxial leaf surface moderately hairy, anthers 5 mm; small patch.","","","N","Y",NA,"Frank Lomer","8037","",10,7,2012,"2012 Jul 10","Canada","British Columbia","","Texada Island, lake south of junction of Blubber Bay Road and Mine Road, 2 km due south of Blubber Bay.","Rocky limestone roadside at lakeshore, with Phalaris arundinacea.","85 m",85,NA,"","49.778611",-124.613889,"Y","","","","",""
"27",3130171,"","UBC","Vascular Plants",NA,"V242806","","","","","PreservedSpecimen","Solanaceae","Solanum nigrum","Solanum nigrum",NA,"Solanum","","nigrum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"A weed on a few islets here; mostly not yet producing fruit, but for a few early ones in hot sites with green unripe fruit; berries red, orange, yellow for this species; plants moderately covered with appressed to ascending, crisped, flattened septate hairs, hairs present on calyx and petals too; stems angled, some gland-tipped hairs present.","","","N","N",NA,"Frank Lomer","8019","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Mouat Bay, Mouat Islands, southern-most islands.","Soil pockets in rocky gaps and depressions of rocky seashore, with Polygonum achoreum, Grindelia stricta, Festuca rubra, Sonchus asper.","4 m",4,NA,"","49.631944",-124.460278,"Y","","","","",""
"28",1533514,"","UBC","Fungi",NA,"F20051","","","","","PreservedSpecimen","Inocybaceae","","Inocybe lacera var. lacera",NA,"Inocybe","","lacera",NA,"var.",NA,"lacera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091009-001","",10,9,2009,"2009 Sep 10","Canada","British Columbia","","[Locality and coordinates withheld]","In moss/grass, scattered trees of Doug-fir + Juniperus manitima on that island.","6 m",6,NA,"","",NA,"","","","","",""
"29",1533515,"","UBC","Fungi",NA,"F20052","","","","","PreservedSpecimen","Inocybaceae","","Inocybe phaeodisca var. phaeodisca",NA,"Inocybe","","phaeodisca",NA,"var.",NA,"phaeodisca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091010-002","",10,10,2009,"2009 Oct 10","Canada","British Columbia","","[Locality and coordinates withheld]","Along the forest road, mixed forest (Doug-fir/ Thuja pl./ Tsuga heter./ Pinus mont./ Acer m.)","50 m",50,NA,"","",NA,"","","","","",""
"30",1533516,"","UBC","Fungi",NA,"F20053","","","","","PreservedSpecimen","Inocybaceae","Inocybe geophylla","Inocybe geophylla",NA,"Inocybe","","geophylla",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091010-007","",10,10,2009,"2009 Oct 10","Canada","British Columbia","","Texada Island, Davis Bay, along the Forest Road, Mixed Forest (Pseudotsuga Menziesii, Tsuga Heterophylla, Pinus Monticola, Thuja Plicata.","Along the forest road, mixed forest (Doug-fir/ Thuja pl./ Tsuga heter./ Pinus mont./ Acer m.)","50 m",50,NA,"","49.7",-124.6,"Y","unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"31",1533517,"","UBC","Fungi",NA,"F20054","","","","","PreservedSpecimen","Inocybaceae","Inocybe mixtilis","Inocybe mixtilis",NA,"Inocybe","","mixtilis",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091010-008","",10,10,2009,"2009 Oct 10","Canada","British Columbia","","Texada Island, Davis Bay, along the Forest Road, Mixed Forest (Pseudotsuga Menziesii, Tsuga Heterophylla, Pinus Monticola, Thuja Plicata.","Along the forest road, mixed forest (Doug-fir/ Thuja pl./ Tsuga heter./ Pinus mont./ Acer m.)","50 m",50,NA,"","49.7",-124.6,"Y","unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"32",1533518,"","UBC","Fungi",NA,"F20055","","","","","PreservedSpecimen","Inocybaceae","Inocybe sororia","Inocybe sororia",NA,"Inocybe","","sororia",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091010-009","",10,10,2009,"2009 Oct 10","Canada","British Columbia","","Texada Island, Davis Bay, along the Forest Road, Mixed Forest (Pseudotsuga Menziesii, Tsuga Heterophylla, Pinus Monticola, Thuja Plicata.","Along the forest road, mixed forest (Doug-fir/ Thuja pl./ Tsuga heter./ Pinus mont./ Acer m.)","50 m",50,NA,"","49.7",-124.6,"Y","unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"33",1533519,"","UBC","Fungi",NA,"F20056","","","","","PreservedSpecimen","Inocybaceae","","Inocybe phaeoleuca",NA,"Inocybe","","phaeoleuca",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091010-010","",10,10,2009,"2009 Oct 10","Canada","British Columbia","","[Locality and coordinates withheld]","Along the forest road, mixed forest (Doug-fir/ Thuja pl./ Tsuga heter./ Pinus mont./ Acer m.)","50 m",50,NA,"","",NA,"","","","","",""
"34",1533520,"","UBC","Fungi",NA,"F20057","","","","","PreservedSpecimen","Inocybaceae","","Inocybe flocculosa var. flocculosa",NA,"Inocybe","","flocculosa",NA,"var.",NA,"flocculosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091011-006","",10,11,2009,"2009 Nov 10","Canada","British Columbia","","[Locality and coordinates withheld]","Along the trail to limestone cliffs @ 49°36` 127°22` mixed forest (Doug-fir/ Thuja pla./ Tsuga het./ Acer m./ Arbutus m.)","50 m",50,NA,"","",NA,"","","","","",""
"35",1533521,"","UBC","Fungi",NA,"F20058","","","","","PreservedSpecimen","Inocybaceae","Inocybe griseolilacina","Inocybe griseolilacina",NA,"Inocybe","","griseolilacina",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091011-007","",10,11,2009,"2009 Nov 10","Canada","British Columbia","","Texada Island, Davie Bay. along the Trail to the Limestone Cliffs, Mixed Coniferous Forest With Pseudotsuga Menziesii, Tsuga Heterophylla, Thuja Plicata/Acer Macrophyllum, Arbutus Menziesii.","Along the trail to limestone cliffs @ 49°36` 127°22` mixed forest (Doug-fir/ Thuja pla./ Tsuga het./ Acer m./ Arbutus m.)","70 m",70,NA,"","49.6",-124.4,"Y","unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"36",1533522,"","UBC","Fungi",NA,"F20059","","","","","PreservedSpecimen","Inocybaceae","Inocybe kauffmanii","Inocybe kauffmanii",NA,"Inocybe","","kauffmanii",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Ectomycorrhizal.","","","N","N",NA,"Oluna Ceska","2091011-008","",10,11,2009,"2009 Nov 10","Canada","British Columbia","","Texada Island, Davie Bay. along the Trail to the Limestone Cliffs, Mixed Coniferous Forest With Pseudotsuga Menziesii, Tsuga Heterophylla, Thuja Plicata/Acer Macrophyllum, Arbutus Menziesii.","Along the trail to limestone cliffs @ 49°36` 127°22` mixed forest (Doug-fir/ Thuja pla./ Tsuga het./ Acer m./ Arbutus m.)","70 m",70,NA,"","49.6",-124.4,"Y","unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
