scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,provincial_status,national_status,global_status,linkName,linkTaxonID,provincial_status_norm,national_status_clean,national_status_norm,national_status_check,bc_list,residencyStatus,residencyStatusCheck,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Amphicteis mucronata,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,Ampharetidae,Ampharetinae,,,,,,,Amphicteis mucronata,1239953,NA,,NA,FALSE,NA,NA,NA,1239953,Amphicteis mucronata,,Amphicteis,mucronata,,accepted
Ampithoe dalli,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,,,,,,Ampithoe dalli,364024,NA,,NA,FALSE,NA,NA,NA,364024,Ampithoe dalli,Corophiida,Ampithoe,dalli,,accepted
Ampithoe lacertosa,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,,,,,,Ampithoe lacertosa,260501,NA,,NA,FALSE,NA,NA,NA,260501,Ampithoe lacertosa,Corophiida,Ampithoe,lacertosa,,accepted
Amplisiphonia pacifica,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Rhodomelaceae,,,,,,,,Amplisiphonia pacifica,1292322,NA,,NA,FALSE,NA,NA,NA,1292322,Amplisiphonia pacifica,,Amplisiphonia,pacifica,,accepted
Angustassiminea californica,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Truncatelloidea,Assimineidae,Assimineinae,,,,,,,Angustassiminea californica,1241327,NA,,NA,FALSE,NA,NA,NA,1241327,Angustassiminea californica,,Angustassiminea,californica,,accepted
Anisogammarus pugettensis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Gammaroidea,Anisogammaridae,,,,,,,,Anisogammarus pugettensis,345298,NA,,NA,FALSE,NA,NA,NA,345298,Anisogammarus pugettensis,Gammarida,Anisogammarus,pugettensis,,accepted
Anthoxanthum nitens,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,,,,,,Anthoxanthum nitens,75473,NA,,NA,FALSE,NA,NA,NA,75473,Anthoxanthum nitens,,Anthoxanthum,nitens,,accepted
Anthracoidea caricis,,Fungi,Basidiomycota,Ustilaginomycotina,,Ustilaginomycetes,,,Ustilaginales,,,Anthracoideaceae,,,,,,,,Anthracoidea caricis,548058,NA,,NA,FALSE,NA,NA,NA,548058,Anthracoidea caricis,,Anthracoidea,caricis,,accepted
Antithamnion defectum,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,Ceramioideae,Antithamnieae,,,,,,Antithamnion defectum,981421,NA,,NA,FALSE,NA,NA,NA,981421,Antithamnion defectum,,Antithamnion,defectum,,accepted
Aphaereta pallipes,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Alysiinae,Alysiini,,,,,,Aphaereta pallipes,299167,NA,,NA,FALSE,NA,NA,NA,299167,Aphaereta pallipes,,Aphaereta,pallipes,,accepted
Aruncus sylvester,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,,,,,,Aruncus sylvester,322372,NA,,NA,FALSE,NA,NA,NA,322372,Aruncus sylvester,,Aruncus,sylvester,,accepted
Ascidia callosa,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,,,,,,Ascidia callosa,566446,NA,,NA,FALSE,NA,NA,NA,566446,Ascidia callosa,,Ascidia,callosa,,accepted
Astarte esquimalti,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,Crassatelloidea,Astartidae,Astartinae,,,,,,,Astarte esquimalti,1209944,NA,,NA,FALSE,NA,NA,NA,1209944,Astarte esquimalti,,Astarte,esquimalti,,accepted
Australoporus tasmanicus,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,,,,,,Australoporus tasmanicus,407447,NA,,NA,FALSE,NA,NA,NA,407447,Australoporus tasmanicus,,Australoporus,tasmanicus,,accepted
Belonidium pruinosum,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Lachnaceae,,,,,,,,Belonidium pruinosum,1031404,NA,,NA,FALSE,NA,NA,NA,1031404,Belonidium pruinosum,,Belonidium,pruinosum,,accepted
Berberis darwinii,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Berberidoideae,Berberideae,,,,,,Berberis darwinii,75751,NA,,NA,FALSE,NA,NA,NA,75751,Berberis darwinii,,Berberis,darwinii,,accepted
Beringius crebricostatus,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Buccinidae,Beringiinae,,,,,,,Beringius crebricostatus,0,NA,,NA,FALSE,NA,NA,NA,1293973,Beringius crebricostatus,,Beringius,crebricostatus,,accepted
Bertia moriformis,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Coronophorales,,,Bertiaceae,,,,,,,,Bertia moriformis,381382,NA,,NA,FALSE,NA,NA,NA,381382,Bertia moriformis,,Bertia,moriformis,,accepted
Besa leptophylla,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,,,,,,Besa leptophylla,904573,NA,,NA,FALSE,NA,NA,NA,904573,Besa leptophylla,,Besa,leptophylla,,accepted
Bossiella frondifera,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Corallinophycidae,,Corallinales,Corallinineae,,Corallinaceae,Corallinoideae,,,,,,,Bossiella frondifera,1435008,NA,,NA,FALSE,NA,NA,NA,1435008,Bossiella frondifera,,Bossiella,frondifera,,accepted
Brisaster townsendi,,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Spatangoida,Paleopneustina,,Schizasteridae,,,,,,,,Brisaster townsendi,293035,NA,,NA,FALSE,NA,NA,NA,293035,Brisaster townsendi,,Brisaster,townsendi,,accepted
Bryocladia scopulorum,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Rhodomelaceae,,Polysiphonieae,,,,,,Bryocladia scopulorum,1601217,NA,,NA,FALSE,NA,NA,NA,1601217,Bryocladia scopulorum,,Bryocladia,scopulorum,,accepted
Buccinum plectrum,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Buccinidae,Buccininae,,,,,,,Buccinum plectrum,574592,NA,,NA,FALSE,NA,NA,NA,574592,Buccinum plectrum,,Buccinum,plectrum,,accepted
Callithamnion acutum,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Callithamniaceae,Callithamnioideae,Callithamnieae,,,,,,Callithamnion acutum,895196,NA,,NA,FALSE,NA,NA,NA,895196,Callithamnion acutum,,Callithamnion,acutum,,accepted
Callophyllis flabellulata,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Kallymeniaceae,,,,,,,,Callophyllis flabellulata,446885,NA,,NA,FALSE,NA,NA,NA,446885,Callophyllis flabellulata,,Callophyllis,flabellulata,,accepted
Callophyllis variforma,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Kallymeniaceae,,,,,,,,Callophyllis variforma,1337854,NA,,NA,FALSE,NA,NA,NA,1337854,Callophyllis variforma,,Callophyllis,variforma,,accepted
Camponotus maccooki,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,Camponotini,,,,,,Camponotus maccooki,1079834,NA,,NA,FALSE,NA,NA,NA,1079834,Camponotus maccooki,Aculeata,Camponotus,maccooki,,accepted
Caprella laeviuscula,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,,,,,,Caprella laeviuscula,345260,NA,,NA,FALSE,NA,NA,NA,345260,Caprella laeviuscula,Corophiida,Caprella,laeviuscula,,accepted
Cardiomya californica,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Cuspidarioidea,Cuspidariidae,,,,,,,,Cardiomya californica,196183,NA,,NA,FALSE,NA,NA,NA,196183,Cardiomya californica,,Cardiomya,californica,,accepted
Cardiomya pectinata,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Cuspidarioidea,Cuspidariidae,,,,,,,,Cardiomya pectinata,1207113,NA,,NA,FALSE,NA,NA,NA,1207113,Cardiomya pectinata,,Cardiomya,pectinata,,accepted
Carex aquatilis,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,,,,,,Carex aquatilis,76013,NA,,NA,FALSE,NA,NA,NA,76013,Carex aquatilis,,Carex,aquatilis,,accepted
Carex lenticularis,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,,,,,,Carex lenticularis,76066,NA,,NA,FALSE,NA,NA,NA,76066,Carex lenticularis,,Carex,lenticularis,,accepted
Carex magellanica ssp.,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,,,,,,Carex magellanica,143532,NA,,NA,FALSE,NA,NA,NA,143532,Carex magellanica,,Carex,magellanica,,accepted
Centropages abdominalis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,Centropagidae,,,,,,,,Centropages abdominalis,549777,NA,,NA,FALSE,NA,NA,NA,549777,Centropages abdominalis,,Centropages,abdominalis,,accepted
Cephalophoxoides homilis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Haustorioidea,Phoxocephalidae,Phoxocephalinae,,,,,,,Cephalophoxoides homilis,260681,NA,,NA,FALSE,NA,NA,NA,260681,Cephalophoxoides homilis,Lysianassida,Cephalophoxoides,homilis,,accepted
Chaetopterus variopedatus,,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,,,,,,Chaetopterus variopedatus,216631,NA,,NA,FALSE,NA,NA,NA,216631,Chaetopterus variopedatus,,Chaetopterus,variopedatus,,accepted
Chilara taylori,,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Ophidiiformes,,,Ophidiidae,Ophidiinae,,,,,,,Chilara taylori,97375,NA,,NA,FALSE,NA,NA,NA,97375,Chilara taylori,,Chilara,taylori,,accepted
Cirrenalia macrocephala,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,Halosphaeriaceae,,,,,,,,Cirrenalia macrocephala,1040645,NA,,NA,FALSE,NA,NA,NA,1040645,Cirrenalia macrocephala,,Cirrenalia,macrocephala,,accepted
Cladonia arbuscula,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia arbuscula,320843,NA,,NA,FALSE,NA,NA,NA,320843,Cladonia arbuscula,,Cladonia,arbuscula,,accepted
Cladonia crispata,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia crispata,217086,NA,,NA,FALSE,NA,NA,NA,217086,Cladonia crispata,,Cladonia,crispata,,accepted
Cladonia macilenta var. bacillaris,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,Cladonia macilenta bacillaris,,,,Cladonia macilenta bacillaris,240034,NA,,NA,FALSE,NA,NA,NA,240034,Cladonia macilenta bacillaris,,Cladonia,macilenta,,accepted
Cladonia polydactyla,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia polydactyla,60542,NA,,NA,FALSE,NA,NA,NA,60542,Cladonia polydactyla,,Cladonia,polydactyla,,accepted
Clinostomum marginatum,,Animalia,Platyhelminthes,Rhabditophora,Neodermata,Trematoda,Digenea,,Diplostomida,Diplostomata,Schistosomatoidea,Clinostomidae,,,,,,,,Clinostomum marginatum,1123920,NA,,NA,FALSE,NA,NA,NA,1123920,Clinostomum marginatum,,Clinostomum,marginatum,,accepted
Cliona chilensis,,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,,,,,,Cliona chilensis,196368,NA,,NA,FALSE,NA,NA,NA,196368,Cliona chilensis,,Cliona,chilensis,,accepted
Clupea harengus,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,Clupeoidei,,Clupeidae,,,,,,,,Clupea harengus,97990,NA,,NA,FALSE,NA,NA,NA,97990,Clupea harengus,,Clupea,harengus,,accepted
Compsomyax subdiaphana,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Clementiinae,,,,,,,Compsomyax subdiaphana,957357,NA,,NA,FALSE,NA,NA,NA,957357,Compsomyax subdiaphana,,Compsomyax,subdiaphana,,accepted
Costantinella micheneri,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,,,,,,Costantinella micheneri,382016,NA,,NA,FALSE,NA,NA,NA,382016,Costantinella micheneri,,Costantinella,micheneri,,accepted
Crepipatella lingulata,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,,,,,,Crepipatella lingulata,143903,NA,,NA,FALSE,NA,NA,NA,143903,Crepipatella lingulata,,Crepipatella,lingulata,,accepted
Cronartium coleosporioides,,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Melampsorineae,,Coleosporiaceae,,,,,,,,Cronartium coleosporioides,334454,NA,,NA,FALSE,NA,NA,NA,334454,Cronartium coleosporioides,,Cronartium,coleosporioides,,accepted
Cryptonatica affinis,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,Naticinae,,,,,,,Cryptonatica affinis,448169,NA,,NA,FALSE,NA,NA,NA,448169,Cryptonatica affinis,,Cryptonatica,affinis,,accepted
Cryptonemia borealis,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Halymeniales,,,Halymeniaceae,,,,,,,,Cryptonemia borealis,504857,NA,,NA,FALSE,NA,NA,NA,504857,Cryptonemia borealis,,Cryptonemia,borealis,,accepted
Curreya pithyophila,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,Didymosphaeriaceae,,,,,,,,Curreya pithyophila,1612339,NA,,NA,FALSE,NA,NA,NA,1612339,Curreya pithyophila,,Curreya,pithyophila,,accepted
Cyanoplax dentiens,,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Tonicellidae,Tonicellinae,,,,,,,Cyanoplax dentiens,71241,NA,,NA,FALSE,NA,NA,NA,71241,Cyanoplax dentiens,,Cyanoplax,dentiens,,accepted
Cyphocaris challengeri,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassoidea,Cyphocarididae,,,,,,,,Cyphocaris challengeri,660847,NA,,NA,FALSE,NA,NA,NA,660847,Cyphocaris challengeri,Lysianassida,Cyphocaris,challengeri,,accepted
Dasya plumosa,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,Dasyoideae,,,,,,,Dasya plumosa,1600895,NA,,NA,FALSE,NA,NA,NA,1600895,Dasya plumosa,,Dasya,plumosa,,accepted
Delectopecten vancouverensis,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Camptonectinae,,,,,,,Delectopecten vancouverensis,882077,NA,,NA,FALSE,NA,NA,NA,882077,Delectopecten vancouverensis,,Delectopecten,vancouverensis,,accepted
Dendronotus frondosus,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Dendronotina,Dendronotoidea,Dendronotidae,,,,,,,,Dendronotus frondosus,423919,NA,,NA,FALSE,NA,NA,NA,423919,Dendronotus frondosus,,Dendronotus,frondosus,,accepted
Desdimelita californica,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,,,,,,Desdimelita californica,1128629,NA,,NA,FALSE,NA,NA,NA,1128629,Desdimelita californica,Hadziida,Desdimelita,californica,,accepted
Deshayesiella spicata,,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Lepidopleurida,Lepidopleurina,,Protochitonidae,,,,,,,,Deshayesiella spicata,932407,NA,,NA,FALSE,NA,NA,NA,932407,Deshayesiella spicata,,Deshayesiella,spicata,,accepted
Dicranum condensatum,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,,,,,,Dicranum condensatum,161854,NA,,NA,FALSE,NA,NA,NA,161854,Dicranum condensatum,,Dicranum,condensatum,,accepted
Dictyosporium pelagicum,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,Dictyosporiaceae,,,,,,,,Dictyosporium pelagicum,350677,NA,,NA,FALSE,NA,NA,NA,350677,Dictyosporium pelagicum,,Dictyosporium,pelagicum,,accepted
Ditrichocorycaeus anglicus,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Cyclopoida,Ergasilida,,Corycaeidae,,,,,,,,Ditrichocorycaeus anglicus,1196579,NA,,NA,FALSE,NA,NA,NA,1196579,Ditrichocorycaeus anglicus,,Ditrichocorycaeus,anglicus,,accepted
Ditrichum zonatum,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,,,,,,Ditrichum zonatum,161974,NA,,NA,FALSE,NA,NA,NA,161974,Ditrichum zonatum,,Ditrichum,zonatum,,accepted
Eleocharis mamillata ssp.,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Eleocharideae,,,,,,Eleocharis mamillata,162249,NA,,NA,FALSE,NA,NA,NA,162249,Eleocharis mamillata,,Eleocharis,mamillata,,accepted
Elphidium bartletti,,Chromista,Foraminifera,,,Globothalamea,Rotaliana,,Rotaliida,,Rotalioidea,Elphidiidae,,,,,,,,Elphidium bartletti,,NA,,NA,FALSE,NA,NA,NA,1365794,Elphidium bartletti,,Elphidium,bartletti,,accepted
Ennucula tenuis,,Animalia,Annelida,,,Clitellata,,,Enchytraeida,,,Enchytraeidae,,,,,,,,Enchytraeus kincaidi,0,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Entomobrya clitellaria,,Animalia,Mollusca,,,Bivalvia,,,Nuculida,,Nuculoidea,Nuculidae,,,,,,,,Ennucula tenuis,202045,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Eubranchulus rupium,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Aeolidina,Fionoidea,Eubranchidae,,,,,,,,Eubranchulus rupium,1668630,NA,,NA,FALSE,NA,NA,NA,1668630,Eubranchulus rupium,,Eubranchulus,rupium,,accepted
Eudorella pacifica,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Cumacea,,,Leuconidae,,,,,,,,Eudorella pacifica,295960,NA,,NA,FALSE,NA,NA,NA,295960,Eudorella pacifica,,Eudorella,pacifica,,accepted
Eulachnus rileyi,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,Lachninae,Eulachnini,,,,,,Eulachnus rileyi,532779,NA,,NA,FALSE,NA,NA,NA,532779,Eulachnus rileyi,Aphidomorpha,Eulachnus,rileyi,,accepted
Euphrasia officinalis,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Rhinantheae,,,,,,Euphrasia officinalis,866675,NA,,NA,FALSE,NA,NA,NA,866675,Euphrasia officinalis,,Euphrasia,officinalis,,accepted
Euphrosine bicirrata,,Animalia,Annelida,,,Polychaeta,Errantia,,Amphinomida,,,Euphrosinidae,,,,,,,,Euphrosine bicirrata,942530,NA,,NA,FALSE,NA,NA,NA,942530,Euphrosine bicirrata,,Euphrosine,bicirrata,,accepted
Eurhynchiastrum diversifolium,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,,,,Eurhynchiastrum diversifolium,1544827,NA,,NA,FALSE,NA,NA,NA,1544827,Eurhynchiastrum diversifolium,,Eurhynchiastrum,diversifolium,,accepted
Eusirus columbianus,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Eusiroidea,Eusiridae,,,,,,,,Eusirus columbianus,1244099,NA,,NA,FALSE,NA,NA,NA,1244099,Eusirus columbianus,Amphilochida,Eusirus,columbianus,,accepted
Euthora cristata,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Kallymeniaceae,,,,,,,,Euthora cristata,564959,NA,,NA,FALSE,NA,NA,NA,564959,Euthora cristata,,Euthora,cristata,,accepted
Fargesia murielae,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Bambusoideae,Arundinarieae,,,,,,Fargesia murielae,480755,NA,,NA,FALSE,NA,NA,NA,480755,Fargesia murielae,,Fargesia,murielae,,accepted
Fissidens viridulus,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Fissidentaceae,,,,,,,,Fissidens viridulus,401904,NA,,NA,FALSE,NA,NA,NA,401904,Fissidens viridulus,,Fissidens,viridulus,,accepted
Frullania chilcootiensis,,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Porellales,,,Frullaniaceae,,,,,,,,Frullania chilcootiensis,163094,NA,,NA,FALSE,NA,NA,NA,163094,Frullania chilcootiensis,,Frullania,chilcootiensis,,accepted
Fryeella gardneri,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Fryeellaceae,,,,,,,,Fryeella gardneri,500286,NA,,NA,FALSE,NA,NA,NA,500286,Fryeella gardneri,,Fryeella,gardneri,,accepted
Gelidium purpurascens,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gelidiales,,,Gelidiaceae,,,,,,,,Gelidium purpurascens,339022,NA,,NA,FALSE,NA,NA,NA,339022,Gelidium purpurascens,,Gelidium,purpurascens,,accepted
Gentiana septemfida,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,Gentianeae,,,,,,Gentiana septemfida,153938,NA,,NA,FALSE,NA,NA,NA,153938,Gentiana septemfida,,Gentiana,septemfida,,accepted
Geoglossum nigritum,,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Geoglossales,,,Geoglossaceae,,,,,,,,Geoglossum nigritum,194559,NA,,NA,FALSE,NA,NA,NA,194559,Geoglossum nigritum,,Geoglossum,nigritum,,accepted
