Check,Action,observationUrl,Taxon_Local_ID,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,occurrenceStatus,previousIdentifications,associatedReferences,taxonID,scientificName,kingdom,phylum,class,order,suborder,infraorder,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,island,country,countryCode,stateProvince,locality,verbatimDepth,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,georeferenceRemarks,identificationRemarks,identificationQualifier,samplingProtocol,eventDate,eventTime,year,month,day,fieldNumber,eventRemarks,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763421,47477,imerss.org:iNat:2763421,,,Peter,,,PRESENT,Dirona albolineata,,WoRMS:581837,Dirona albolineata,Animalia,Mollusca,Gastropoda,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,Dirona,,albolineata,,species,Galiano Island,Canada,CA,British Columbia,,,48.929052,-123.476028,174,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763425,47702,imerss.org:iNat:2763425,,,Peter,,,PRESENT,Pachycerianthus fimbriatus,,WoRMS:283820,Pachycerianthus fimbriatus,Animalia,Cnidaria,Anthozoa,Spirularia,,,,Cerianthidae,Pachycerianthus,,fimbriatus,,species,Galiano Island,Canada,CA,British Columbia,,,48.929052,-123.476028,174,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763457,459608,imerss.org:iNat:2763457,,,Peter,,,PRESENT,Lopholithodes mandtii,,WoRMS:550635,Lopholithodes mandtii,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,Lopholithodes,,mandtii,,species,Galiano Island,Canada,CA,British Columbia,,,49.002339,-123.591042,697,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763473,459608,imerss.org:iNat:2763473,,,Peter,,,PRESENT,Lopholithodes mandtii,,WoRMS:550635,Lopholithodes mandtii,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,Lopholithodes,,mandtii,,species,Galiano Island,Canada,CA,British Columbia,,,49.002339,-123.591042,697,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2797286,47469,imerss.org:iNat:2797286,,,Peter,,,PRESENT,Doris montereyensis,,WoRMS:581816,Doris montereyensis,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,Doris,,montereyensis,,species,Galiano Island,Canada,CA,British Columbia,,,49.013802,-123.590012,1137,Peter,,,,,,,2015-01-01,,2015,1,1,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2797298,47469,imerss.org:iNat:2797298,,,Peter,,,PRESENT,Doris montereyensis,,WoRMS:581816,Doris montereyensis,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,Doris,,montereyensis,,species,Galiano Island,Canada,CA,British Columbia,,,49.013802,-123.590012,1137,Peter,,,,,,,2015-01-01,,2015,1,1,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854085,47669,imerss.org:iNat:2854085,,,Peter,,,PRESENT,Orthasterias koehleri,,WoRMS:255048,Orthasterias koehleri,Animalia,Echinodermata,Asteroidea,Forcipulatida,,,,Asteriidae,Orthasterias,,koehleri,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854136,202640,imerss.org:iNat:2854136,,,Peter,,,PRESENT,Apostichopus californicus,,WoRMS:529363,Apostichopus californicus,Animalia,Echinodermata,Holothuroidea,Synallactida,,,,Stichopodidae,Apostichopus,,californicus,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"Accessioned in RBCM collections as Parastichopus californicus, an unaccepted synonym (WoRMS Editorial Board 2021).",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854408,47669,imerss.org:iNat:2854408,,,Peter,,,PRESENT,Orthasterias koehleri,,WoRMS:255048,Orthasterias koehleri,Animalia,Echinodermata,Asteroidea,Forcipulatida,,,,Asteriidae,Orthasterias,,koehleri,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854421,362749,imerss.org:iNat:2854421,,,Peter,,,PRESENT,Pagurus beringanus,,WoRMS:366657,Pagurus beringanus,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,Pagurus,,beringanus,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854574,202640,imerss.org:iNat:2854574,,,Peter,,,PRESENT,Apostichopus californicus,,WoRMS:529363,Apostichopus californicus,Animalia,Echinodermata,Holothuroidea,Synallactida,,,,Stichopodidae,Apostichopus,,californicus,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"Accessioned in RBCM collections as Parastichopus californicus, an unaccepted synonym (WoRMS Editorial Board 2021).",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854824,1133369,imerss.org:iNat:2854824,,,Peter,,,PRESENT,Triopha modesta,,WoRMS:531268,Triopha modesta,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triopha,,modesta,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"Triopha modesta is recognized as a trans-Pacific species, and is most likely to occur off the coast of British Columbia. Triopha catalinae has been determined to be an Eastern Pacific species (but there is overlap). See Jung et al. 2020",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854829,50146,imerss.org:iNat:2854829,,,Peter,,,PRESENT,Cadlina luteomarginata,,WoRMS:562476,Cadlina luteomarginata,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,Cadlina,,luteomarginata,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"PMLS records list Cadlina luteomarginata complex due to challenges in field identification. However, here we recognize both Cadlina klasmalmbergi and Cadlina luteomarginata based on other confirmed observations. True Cadlina luteomarginata have more conspicuous tubercles and lack yellow glands near the mantle edge. Cadlina klasmalmbergi is more common in BC than C. luteomarginata.",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854836,362749,imerss.org:iNat:2854836,,,Peter,,,PRESENT,Pagurus beringanus,,WoRMS:366657,Pagurus beringanus,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,Pagurus,,beringanus,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854871,786996,imerss.org:iNat:2854871,,,Peter,,,PRESENT,Cyanea ferruginea,,WoRMS:287192,Cyanea ferruginea,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,,,,Cyaneidae,Cyanea,,ferruginea,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854873,786996,imerss.org:iNat:2854873,,,Peter,,,PRESENT,Cyanea ferruginea,,WoRMS:287192,Cyanea ferruginea,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,,,,Cyaneidae,Cyanea,,ferruginea,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854911,50146,imerss.org:iNat:2854911,,,Peter,,,PRESENT,Cadlina luteomarginata,,WoRMS:562476,Cadlina luteomarginata,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,Cadlina,,luteomarginata,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"PMLS records list Cadlina luteomarginata complex due to challenges in field identification. However, here we recognize both Cadlina klasmalmbergi and Cadlina luteomarginata based on other confirmed observations. True Cadlina luteomarginata have more conspicuous tubercles and lack yellow glands near the mantle edge. Cadlina klasmalmbergi is more common in BC than C. luteomarginata.",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2854964,1133369,imerss.org:iNat:2854964,,,Peter,,,PRESENT,Triopha modesta,,WoRMS:531268,Triopha modesta,Animalia,Mollusca,Gastropoda,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triopha,,modesta,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,"Triopha modesta is recognized as a trans-Pacific species, and is most likely to occur off the coast of British Columbia. Triopha catalinae has been determined to be an Eastern Pacific species (but there is overlap). See Jung et al. 2020",,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/3612817,49699,imerss.org:iNat:3612817,,,,,,PRESENT,Pisaster ochraceus,,WoRMS:240755,Pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,,,,Asteriidae,Pisaster,,ochraceus,,species,Galiano Island,Canada,CA,British Columbia,,,48.884828,-123.321018,74,,,,,,,,2016-07-03,,2016,7,3,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/3612850,49699,imerss.org:iNat:3612850,,,,,,PRESENT,Pisaster ochraceus,,WoRMS:240755,Pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,,,,Asteriidae,Pisaster,,ochraceus,,species,Galiano Island,Canada,CA,British Columbia,,,48.884828,-123.321018,74,,,,,,,,2016-07-03,,2016,7,3,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/3734969,127555,imerss.org:iNat:3734969,,,Lauren Magner,,,PRESENT,Pagurus granosimanus,,WoRMS:366694,Pagurus granosimanus,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,Pagurus,,granosimanus,,species,Galiano Island,Canada,CA,British Columbia,,,48.929413,-123.475513,58,Lauren Magner,,,,,,,2015-08-28,,2015,8,28,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/3735102,127555,imerss.org:iNat:3735102,,,Lauren Magner,,,PRESENT,Pagurus granosimanus,,WoRMS:366694,Pagurus granosimanus,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,Pagurus,,granosimanus,,species,Galiano Island,Canada,CA,British Columbia,,,48.929413,-123.475513,58,Lauren Magner,,,,,,,2015-08-28,,2015,8,28,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/63051919,424651,imerss.org:iNat:63051919,,,Jackson W.F. Chu,,,PRESENT,Aphrocallistes vastus,,WoRMS:171632,Aphrocallistes vastus,Animalia,Porifera,Hexactinellida,Sceptrulophora,,,,Aphrocallistidae,Aphrocallistes,,vastus,,species,Galiano Island,Canada,CA,British Columbia,,,48.911364,-123.325508,,Jackson W.F. Chu,,,,,,,2017-06-24,,2017,6,24,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/63051920,424651,imerss.org:iNat:63051920,,,Jackson W.F. Chu,,,PRESENT,Aphrocallistes vastus,,WoRMS:171632,Aphrocallistes vastus,Animalia,Porifera,Hexactinellida,Sceptrulophora,,,,Aphrocallistidae,Aphrocallistes,,vastus,,species,Galiano Island,Canada,CA,British Columbia,,,48.911364,-123.325508,,Jackson W.F. Chu,,,,,,,2017-06-24,,2017,6,24,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/17772044,41521,imerss.org:iNat:17772044,,,,,,PRESENT,Orcinus orca,,WoRMS:137102,Orcinus orca,Animalia,Chordata,Mammalia,Artiodactyla,Whippomorpha,Cetacea,,Delphinidae,Orcinus,,orca,,species,Galiano Island,Canada,CA,British Columbia,,,48.860064,-123.344854,13907,Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,location highly inaccurate; likely observed in Active Pass; coordinates not actually obscured on iNaturalist,,,,2018-09-01,09:21:00,2018,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/17772045,41521,imerss.org:iNat:17772045,,,,,,PRESENT,Orcinus orca,,WoRMS:137102,Orcinus orca,Animalia,Chordata,Mammalia,Artiodactyla,Whippomorpha,Cetacea,,Delphinidae,Orcinus,,orca,,species,Galiano Island,Canada,CA,British Columbia,,,48.860064,-123.344854,13907,Andrew Simon,"interpretation of locality, and/or inference based on local knowledge and species ecology",corrected,location highly inaccurate; likely observed in Active Pass; coordinates not actually obscured on iNaturalist,,,,2018-09-01,09:21:00,2018,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24692041,69925,imerss.org:iNat:24692041,,,Kelly Fretwell,,,PRESENT,Clinocardium nuttallii,,WoRMS:381980,Clinocardium nuttallii,Animalia,Mollusca,Bivalvia,Cardiida,,,Cardioidea,Cardiidae,Clinocardium,,nuttallii,,species,Galiano Island,Canada,CA,British Columbia,,,48.890299,-123.389499,352,Kelly Fretwell,,,,,,,2019-05-04,13:35:00,2019,5,4,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24692042,69925,imerss.org:iNat:24692042,,,Kelly Fretwell,,,PRESENT,Clinocardium nuttallii,,WoRMS:381980,Clinocardium nuttallii,Animalia,Mollusca,Bivalvia,Cardiida,,,Cardioidea,Cardiidae,Clinocardium,,nuttallii,,species,Galiano Island,Canada,CA,British Columbia,,,48.890299,-123.389499,352,Kelly Fretwell,,,,,,,2019-05-04,13:35:00,2019,5,4,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24692043,430211,imerss.org:iNat:24692043,,,Kelly Fretwell,,,PRESENT,Nuttallia obscurata,,WoRMS:397157,Nuttallia obscurata,Animalia,Mollusca,Bivalvia,Cardiida,,,Tellinoidea,Psammobiidae,Nuttallia,,obscurata,,species,Galiano Island,Canada,CA,British Columbia,,,48.890299,-123.389499,352,Kelly Fretwell,,,,,,,2019-05-04,13:36:00,2019,5,4,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24692044,430211,imerss.org:iNat:24692044,,,Kelly Fretwell,,,PRESENT,Nuttallia obscurata,,WoRMS:397157,Nuttallia obscurata,Animalia,Mollusca,Bivalvia,Cardiida,,,Tellinoidea,Psammobiidae,Nuttallia,,obscurata,,species,Galiano Island,Canada,CA,British Columbia,,,48.890299,-123.389499,352,Kelly Fretwell,,,,,,,2019-05-04,13:36:00,2019,5,4,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24771930,126295,imerss.org:iNat:24771930,,,,,,PRESENT,Pentidotea wosnesenskii,,WoRMS:261982,Pentidotea wosnesenskii,Animalia,Arthropoda,Malacostraca,Isopoda,Valvifera,,,Idoteidae,Pentidotea,,wosnesenskii,,species,Galiano Island,Canada,CA,British Columbia,,,48.88462,-123.321132,39,,,,,,,,2019-05-05,22:15:00,2019,5,5,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/24771934,126295,imerss.org:iNat:24771934,,,,,,PRESENT,Pentidotea wosnesenskii,,WoRMS:261982,Pentidotea wosnesenskii,Animalia,Arthropoda,Malacostraca,Isopoda,Valvifera,,,Idoteidae,Pentidotea,,wosnesenskii,,species,Galiano Island,Canada,CA,British Columbia,,,48.88462,-123.321132,39,,,,,,,,2019-05-05,22:15:00,2019,5,5,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/4017128,343269,imerss.org:iNat:4017128,,,Andrew Simon,,,PRESENT,Ruditapes philippinarum,,WoRMS:231750,Ruditapes philippinarum,Animalia,Mollusca,Bivalvia,Venerida,,,Veneroidea,Veneridae,Ruditapes,,philippinarum,,species,Galiano Island,Canada,CA,British Columbia,,,48.876339,-123.31818,78,Andrew Simon,,,,,,,2016-09-01,,2016,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/4017190,343269,imerss.org:iNat:4017190,,,Andrew Simon,,,PRESENT,Ruditapes philippinarum,,WoRMS:231750,Ruditapes philippinarum,Animalia,Mollusca,Bivalvia,Venerida,,,Veneroidea,Veneridae,Ruditapes,,philippinarum,,species,Galiano Island,Canada,CA,British Columbia,,,48.876339,-123.31818,78,Andrew Simon,,,,,,,2016-09-01,,2016,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/4017301,333608,imerss.org:iNat:4017301,,,Andrew Simon,,,PRESENT,Leukoma staminea,,WoRMS:507737,Leukoma staminea,Animalia,Mollusca,Bivalvia,Venerida,,,Veneroidea,Veneridae,Leukoma,,staminea,,species,Galiano Island,Canada,CA,British Columbia,,,48.876319,-123.318282,64,Andrew Simon,,,,,,,2016-09-01,,2016,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/4017343,333608,imerss.org:iNat:4017343,,,Andrew Simon,,,PRESENT,Leukoma staminea,,WoRMS:507737,Leukoma staminea,Animalia,Mollusca,Bivalvia,Venerida,,,Veneroidea,Veneridae,Leukoma,,staminea,,species,Galiano Island,Canada,CA,British Columbia,,,48.876319,-123.318282,64,Andrew Simon,,,,,,,2016-09-01,,2016,9,1,,,,iNaturalist,,,HumanObservation
3 same time; but multiple / separate individuals,retain,https://www.inaturalist.org/observations/56373895,49699,imerss.org:iNat:56373895,,,Andrew Simon,,,PRESENT,Pisaster ochraceus,,WoRMS:240755,Pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,,,,Asteriidae,Pisaster,,ochraceus,,species,Galiano Island,Canada,CA,British Columbia,,,48.900219,-123.341001,90,Andrew Simon,,,,,,,2020-08-13,17:30:00,2020,8,13,,,,iNaturalist,,,HumanObservation
