site,class,date,quadrant,transect_unit,species_code,species_name,percent_cover,height_cm,notes
s005,Closed-Dry,2022-06-20,W,4,Lyslat,Lysimachia latifolia,0.5,,
s005,Closed-Dry,2022-06-20,W,5,Berner,Berberis nervosa,20,,
s005,Closed-Dry,2022-06-20,W,5,Brovul,Bromus vulgaris,0.5,,
s005,Closed-Dry,2022-06-20,W,5,Fessub,Festuca subuliflora,0.5,,
s005,Closed-Dry,2022-06-20,W,5,Gausha,Gaultheria shallon,15,75,
s005,Closed-Dry,2022-06-20,W,5,Hylspl,Hylocomium splendens,25,,
s005,Closed-Dry,2022-06-20,W,5,Kinore,Kindbergia oregana,25,,
s005,Closed-Dry,2022-06-20,W,5,Lyslat,Lysimachia latifolia,0.5,,
s005,Closed-Dry,2022-06-20,W,5,Rhytri,Rhytidiadelphus triquetrus,2,,
s006,Closed-Dry,2022-06-21,E,1,Hypcir,Hypnum circinale,1,,
s006,Closed-Dry,2022-06-21,E,1,Kinore,Kindbergia oregana,90,,
s006,Closed-Dry,2022-06-21,E,1,Rhyrob,Rhytidiopsis robusta,0.5,,
s006,Closed-Dry,2022-06-21,E,1,Scabol,Scapania bolanderi,1,,
s006,Closed-Dry,2022-06-21,E,2,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,E,2,Kinore,Kindbergia oregana,40,,
s006,Closed-Dry,2022-06-21,E,2,Pseele,Pseudotaxiphyllum elegans,0.5,,
s006,Closed-Dry,2022-06-21,E,3,Hypcir,Hypnum circinale,5,,
s006,Closed-Dry,2022-06-21,E,3,Kinore,Kindbergia oregana,50,,
s006,Closed-Dry,2022-06-21,E,3,Scabol,Scapania bolanderi,1,,
s006,Closed-Dry,2022-06-21,E,4,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,E,4,Isosto,Isothecium stoloniferum,0.5,,
s006,Closed-Dry,2022-06-21,E,4,Kinore,Kindbergia oregana,80,,
s006,Closed-Dry,2022-06-21,E,5,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,E,5,Kinore,Kindbergia oregana,90,,
s006,Closed-Dry,2022-06-21,E,5,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,N,1,Bucund,Buckiella undulata,3,,
s006,Closed-Dry,2022-06-21,N,1,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,N,1,Kinore,Kindbergia oregana,87,,
s006,Closed-Dry,2022-06-21,N,2,Bucund,Buckiella undulata,1,,
s006,Closed-Dry,2022-06-21,N,2,Hypcir,Hypnum circinale,1,,
s006,Closed-Dry,2022-06-21,N,2,Kinore,Kindbergia oregana,70,,
s006,Closed-Dry,2022-06-21,N,2,Lopbid,Lophocolea bidentata,0.5,,
s006,Closed-Dry,2022-06-21,N,2,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,N,3,Isosto,Isothecium stoloniferum,0.5,,
s006,Closed-Dry,2022-06-21,N,3,Kinore,Kindbergia oregana,90,,
s006,Closed-Dry,2022-06-21,N,3,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,N,4,Hypcir,Hypnum circinale,5,,
s006,Closed-Dry,2022-06-21,N,4,Isosto,Isothecium stoloniferum,0.5,,
s006,Closed-Dry,2022-06-21,N,4,Kinore,Kindbergia oregana,80,,
s006,Closed-Dry,2022-06-21,N,4,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,N,5,Fessub,Festuca subuliflora,0.5,,
s006,Closed-Dry,2022-06-21,N,5,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,N,5,Kinore,Kindbergia oregana,95,,
s006,Closed-Dry,2022-06-21,S,1,Fessub,Festuca subuliflora,0.5,,
s006,Closed-Dry,2022-06-21,S,1,Kinore,Kindbergia oregana,95,,
s006,Closed-Dry,2022-06-21,S,1,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,S,2,Kinore,Kindbergia oregana,90,,
s006,Closed-Dry,2022-06-21,S,2,Scabol,Scapania bolanderi,1,,
s006,Closed-Dry,2022-06-21,S,3,Hypcir,Hypnum circinale,2,,
s006,Closed-Dry,2022-06-21,S,3,Kinore,Kindbergia oregana,60,,
s006,Closed-Dry,2022-06-21,S,3,Scabol,Scapania bolanderi,1,,
s006,Closed-Dry,2022-06-21,S,4,Dicfus,Dicranum fuscescens,0.5,,
s006,Closed-Dry,2022-06-21,S,4,Hypcir,Hypnum circinale,1,,
s006,Closed-Dry,2022-06-21,S,4,Isosto,Isothecium stoloniferum,55,,
s006,Closed-Dry,2022-06-21,S,4,Kinore,Kindbergia oregana,45,,
s006,Closed-Dry,2022-06-21,S,4,Scabol,Scapania bolanderi,0.5,,
s006,Closed-Dry,2022-06-21,S,5,Corsp,Corallorhiza,0.5,,unidentifiable
s006,Closed-Dry,2022-06-21,S,5,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,S,5,Kinore,Kindbergia oregana,80,,
s006,Closed-Dry,2022-06-21,S,5,Neocor,Neottia cordata,0.5,,
s006,Closed-Dry,2022-06-21,S,5,Ptical,Ptilidium californicum,0.5,,
s006,Closed-Dry,2022-06-21,S,5,Rhyrob,Rhytidiopsis robusta,2,,
s006,Closed-Dry,2022-06-21,W,1,Bucund,Buckiella undulata,5,,
s006,Closed-Dry,2022-06-21,W,1,Kinore,Kindbergia oregana,70,,
s006,Closed-Dry,2022-06-21,W,1,Rhigla,Rhizomnium glabrescens,0.5,,
s006,Closed-Dry,2022-06-21,W,2,Bucund,Buckiella undulata,5,,
s006,Closed-Dry,2022-06-21,W,2,Kinore,Kindbergia oregana,90,,
s006,Closed-Dry,2022-06-21,W,3,Kinore,Kindbergia oregana,95,,
s006,Closed-Dry,2022-06-21,W,4,Hypcir,Hypnum circinale,0.5,,
s006,Closed-Dry,2022-06-21,W,4,Kinore,Kindbergia oregana,95,,
s006,Closed-Dry,2022-06-21,W,5,Isosto,Isothecium stoloniferum,1,,
s006,Closed-Dry,2022-06-21,W,5,Kinore,Kindbergia oregana,90,,
s007,Closed-Dry,2022-06-22,E,1,Achtri,Achlys triphylla,1,,
s007,Closed-Dry,2022-06-22,E,1,Berner,Berberis nervosa,1,,
s007,Closed-Dry,2022-06-22,E,1,Gausha,Gaultheria shallon,90,110,
s007,Closed-Dry,2022-06-22,E,1,Kinore,Kindbergia oregana,60,,
s007,Closed-Dry,2022-06-22,E,1,Ruburs,Rubus ursinus,1,,
s007,Closed-Dry,2022-06-22,E,2,Achtri,Achlys triphylla,5,,
s007,Closed-Dry,2022-06-22,E,2,Berner,Berberis nervosa,3,,
s007,Closed-Dry,2022-06-22,E,2,Gausha,Gaultheria shallon,45,100,
s007,Closed-Dry,2022-06-22,E,2,Kinore,Kindbergia oregana,20,,
s007,Closed-Dry,2022-06-22,E,2,Polmun,Polystichum munitum,50,,
s007,Closed-Dry,2022-06-22,E,3,Achtri,Achlys triphylla,0.5,,
s007,Closed-Dry,2022-06-22,E,3,Gausha,Gaultheria shallon,75,90,
s007,Closed-Dry,2022-06-22,E,3,Kinore,Kindbergia oregana,35,,
s007,Closed-Dry,2022-06-22,E,3,Polmun,Polystichum munitum,45,,
s007,Closed-Dry,2022-06-22,E,4,Achtri,Achlys triphylla,0.5,,
s007,Closed-Dry,2022-06-22,E,4,Gausha,Gaultheria shallon,90,100,
s007,Closed-Dry,2022-06-22,E,4,Kinore,Kindbergia oregana,80,,
s007,Closed-Dry,2022-06-22,E,5,Gausha,Gaultheria shallon,55,70,
s007,Closed-Dry,2022-06-22,E,5,Kinore,Kindbergia oregana,90,,
s007,Closed-Dry,2022-06-22,E,5,Melsub,Melica subulata,0.5,,
s007,Closed-Dry,2022-06-22,E,5,Polmun,Polystichum munitum,7,,
s007,Closed-Dry,2022-06-22,N,1,Achtri,Achlys triphylla,10,,
s007,Closed-Dry,2022-06-22,N,1,Berner,Berberis nervosa,5,,
s007,Closed-Dry,2022-06-22,N,1,Brovul,Bromus vulgaris,1,,
s007,Closed-Dry,2022-06-22,N,1,Gausha,Gaultheria shallon,40,50,
s007,Closed-Dry,2022-06-22,N,1,Kinore,Kindbergia oregana,40,,
s007,Closed-Dry,2022-06-22,N,1,Polmun,Polystichum munitum,2,,
s007,Closed-Dry,2022-06-22,N,2,Achtri,Achlys triphylla,7,,
s007,Closed-Dry,2022-06-22,N,2,Berner,Berberis nervosa,2,,
s007,Closed-Dry,2022-06-22,N,2,Galtri,Galium triflorum,1,,
s007,Closed-Dry,2022-06-22,N,2,Gausha,Gaultheria shallon,30,70,
s007,Closed-Dry,2022-06-22,N,2,Kinore,Kindbergia oregana,25,,
s007,Closed-Dry,2022-06-22,N,2,Polmun,Polystichum munitum,20,,
s007,Closed-Dry,2022-06-22,N,3,Berner,Berberis nervosa,7,,
s007,Closed-Dry,2022-06-22,N,3,Galtri,Galium triflorum,3,,
s007,Closed-Dry,2022-06-22,N,3,Gausha,Gaultheria shallon,60,75,
s007,Closed-Dry,2022-06-22,N,3,Kinore,Kindbergia oregana,60,,
s007,Closed-Dry,2022-06-22,N,3,Polmun,Polystichum munitum,8,,
s007,Closed-Dry,2022-06-22,N,4,Achtri,Achlys triphylla,1,,
s007,Closed-Dry,2022-06-22,N,4,Berner,Berberis nervosa,2,,
s007,Closed-Dry,2022-06-22,N,4,Brovul,Bromus vulgaris,0.5,,
s007,Closed-Dry,2022-06-22,N,4,Gausha,Gaultheria shallon,70,100,
s007,Closed-Dry,2022-06-22,N,4,Kinore,Kindbergia oregana,70,,
s007,Closed-Dry,2022-06-22,N,4,Polmun,Polystichum munitum,25,,
s007,Closed-Dry,2022-06-22,N,5,Achtri,Achlys triphylla,1,,
s007,Closed-Dry,2022-06-22,N,5,Fessub,Festuca subuliflora,0.5,,
s007,Closed-Dry,2022-06-22,N,5,Galtri,Galium triflorum,0.5,,
s007,Closed-Dry,2022-06-22,N,5,Gausha,Gaultheria shallon,60,75,
s007,Closed-Dry,2022-06-22,N,5,Isosto,Isothecium stoloniferum,5,,
s007,Closed-Dry,2022-06-22,N,5,Kinore,Kindbergia oregana,75,,
s007,Closed-Dry,2022-06-22,N,5,Scabol,Scapania bolanderi,0.5,,
s007,Closed-Dry,2022-06-22,S,1,Achtri,Achlys triphylla,0.5,,
s007,Closed-Dry,2022-06-22,S,1,Berner,Berberis nervosa,5,,
s007,Closed-Dry,2022-06-22,S,1,Galtri,Galium triflorum,4,,
s007,Closed-Dry,2022-06-22,S,1,Gausha,Gaultheria shallon,25,80,
s007,Closed-Dry,2022-06-22,S,1,Isosto,Isothecium stoloniferum,1,,
s007,Closed-Dry,2022-06-22,S,1,Kinore,Kindbergia oregana,45,,
s007,Closed-Dry,2022-06-22,S,1,Melsub,Melica subulata,1,,
s007,Closed-Dry,2022-06-22,S,1,Polmun,Polystichum munitum,35,,
s007,Closed-Dry,2022-06-22,S,2,Adebic,Adenocaulon bicolor,1,,
s007,Closed-Dry,2022-06-22,S,2,Brovul,Bromus vulgaris,5,,
s007,Closed-Dry,2022-06-22,S,2,Galtri,Galium triflorum,0.5,,
s007,Closed-Dry,2022-06-22,S,2,Gausha,Gaultheria shallon,15,40,
s007,Closed-Dry,2022-06-22,S,2,Isosto,Isothecium stoloniferum,0.5,,
s007,Closed-Dry,2022-06-22,S,2,Kinore,Kindbergia oregana,90,,
s007,Closed-Dry,2022-06-22,S,2,Melsub,Melica subulata,0.5,,
s007,Closed-Dry,2022-06-22,S,2,Polmun,Polystichum munitum,15,,
s007,Closed-Dry,2022-06-22,S,3,Adebic,Adenocaulon bicolor,1,,
s007,Closed-Dry,2022-06-22,S,3,Berner,Berberis nervosa,0.5,,
s007,Closed-Dry,2022-06-22,S,3,Brovul,Bromus vulgaris,2,,
s007,Closed-Dry,2022-06-22,S,3,Gausha,Gaultheria shallon,20,70,
s007,Closed-Dry,2022-06-22,S,3,Kinore,Kindbergia oregana,25,,
