"scientificName","taxonID","institutionCode","collectionCode","catalogNumber","occurrenceID","materialSampleID","references","recordedBy","recordNumber","gbifID","fieldNumber","eventDate","locality","coordinateUncertaintyInMeters","habitat","verbatimDepth","samplingProtocol","occurrenceRemarks","individualCount","identifiedBy","iNaturalistTaxonId","iNaturalistTaxonName","decimalLatitude","decimalLongitude","dataset"
Amphora cf. vixvisibilis,,,,,GBB2023-011-03-rbcL:ASV563,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-018-03-rbcL:ASV563,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-019-03-rbcL:ASV563,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-022-03-rbcL:ASV563,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-027-03-rbcL:ASV563,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-124-03-rbcL:ASV563,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,1465254,Amphora vixvisibilis,48.995588,-123.586078,2
Amphora cf. vixvisibilis,,,,,GBB2023-161-03-rbcL:ASV563,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,1465254,Amphora vixvisibilis,48.995588,-123.586078,2
Amphora cf. vixvisibilis,,,,,GBB2023-172-03-rbcL:ASV563,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,1465254,Amphora vixvisibilis,48.995588,-123.586078,2
Amphora cf. vixvisibilis,,,,,GBB2023-173-03-rbcL:ASV563,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,1465254,Amphora vixvisibilis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-001-03-rbcL:ASV316,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-006-03-rbcL:ASV316,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-008-03-rbcL:ASV316,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-009-03-rbcL:ASV316,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-011-03-rbcL:ASV316,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-018-03-rbcL:ASV316,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-019-03-rbcL:ASV316,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-022-03-rbcL:ASV316,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-027-03-rbcL:ASV316,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-124-03-rbcL:ASV316,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-161-03-rbcL:ASV316,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-172-03-rbcL:ASV316,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-173-03-rbcL:ASV316,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-001-03-rbcL:ASV695,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-006-03-rbcL:ASV695,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-008-03-rbcL:ASV695,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-009-03-rbcL:ASV695,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-011-03-rbcL:ASV695,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-018-03-rbcL:ASV695,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-019-03-rbcL:ASV695,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-022-03-rbcL:ASV695,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-027-03-rbcL:ASV695,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,1424507,Amphora helenensis,48.940726,-123.501877,2
Amphora helenensis,1424507,,,,GBB2023-124-03-rbcL:ASV695,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-161-03-rbcL:ASV695,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-172-03-rbcL:ASV695,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora helenensis,1424507,,,,GBB2023-173-03-rbcL:ASV695,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,1424507,Amphora helenensis,48.995588,-123.586078,2
Amphora proteus,987479,M,BSMweinzierlcoll,186994 / 461908 / E 5280,http://id.snsb.info/snsb/collection/186994/461908/170321,,,,,2451292661,,NA,"USA, Washington, Port Townsend, U.S.A. Washington",,,,,,,,987479,Amphora proteus,48.116667,-122.75,
Amphora proteus,987479,NHMUK,BOT,Diatom BM Adams TS.630,05727d47-ebd7-418c-b276-c15dd0c85b2a,,,"Anon.","s.n.",4418941321,s.n.,NA,,,,,,,,,987479,Amphora proteus,49.2,-123.17,
Arachnoidiscus ehrenbergii,915661,M,BSMweinzierlcoll,184750 / 462228 / E 5570,http://id.snsb.info/snsb/collection/184750/462228/165739,,,,,2451295445,,NA,"USA, Washington, Port Townsend, Washington, USA, recent",,,,,,,,915661,Arachnoidiscus ehrenbergii,48.117104,-122.76046,
Arachnoidiscus ehrenbergii,915661,iNaturalist,,248975017,https://www.inaturalist.org/observations/248975017,,,"Mark Webber",,,,2024-07-15,,,,,,,,,915661,Arachnoidiscus ehrenbergii,48.643239,-123.346024,1
Arcocellulus cornucervis,1589510,,,,Z2021-18S:ASV777,,,"Mark Webber, Siobhan Schenck & Arjan van Asselt",,,,2021-03-07,"Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')",50,,,,,,,1589510,Arcocellulus cornucervis,48.900714,-123.407906,3
Asterionella bleakeleyi,1425673,iNaturalist,,112011487,https://www.inaturalist.org/observations/112011487,,,"Mark Webber",,,,2022-03-28,,,,,,,,,1425673,Asterionella bleakeleyi,48.994599,-123.585067,1
Asterionella formosa,345288,iNaturalist,,167669456,https://www.inaturalist.org/observations/167669456,,,"Mark Webber",,,,2011-08-19,,,,,,,,,345288,Asterionella formosa,49.509552,-123.291608,1
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2019-08-15_5m_1,,,,,4880035514,,2019-08-15,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2020-09-01_5m_1,,,,,4880035073,,2020-09-01,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2016-05-19_1m_1,,,,,4880034928,,2016-05-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2018-05-15_1m_1,,,,,4880034889,,2018-05-15,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-06-28_5m_1,,,,,4880034787,,2021-06-28,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-05-28_5m_1,,,,,4880034479,,2021-05-28,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-09-02_5m_1,,,,,4880034402,,2021-09-02,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-04-05_5m_1,,,,,4880034168,,2021-04-05,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2016-11-09_1m_1,,,,,4880033760,,2016-11-09,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2018-05-02_1m_1,,,,,4880033624,,2018-05-02,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-08-03_5m_1,,,,,4880033518,,2021-08-03,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2021-05-19_5m_1,,,,,4880033212,,2021-05-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
Asterionellopsis glacialis,428503,Hakai,,,Hakai_phyto_QU39_2020-09-10_5m_1,,,,,4880033138,,2020-09-10,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,428503,Asterionellopsis glacialis,50.0307,-125.0992,
