Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island
Apostichopus californicus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,giant sea cucumber,Samuel Island
Apostichopus californicus,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,very many,open,47,44,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,giant sea cucumber,Saturna Island
Apostichopus californicus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,very many,open,60,60,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,very many,open,48,50,giant sea cucumber,Mayne Island
Artedius harringtoni,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,scalyhead sculpin,Galiano Island
Artedius harringtoni,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,many,open,47,53,scalyhead sculpin,Galiano Island
Artedius harringtoni,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,very many,open,60,60,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,very many,open,42,42,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,few,open,27,28,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,scalyhead sculpin,Prevost Island
Artedius harringtoni,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,many,open,47,45,scalyhead sculpin,Prevost Island
Artedius harringtoni,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,very many,open,60,60,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,scalyhead sculpin,Galiano Island
Artedius harringtoni,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,scalyhead sculpin,Saturna Island
Artedius harringtoni,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,2,open,43,36,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,scalyhead sculpin,Mayne Island
Artedius harringtoni,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,very many,open,60,60,scalyhead sculpin,Mayne Island
Ascidia paratropa,2019-05-04T09:45:00,Andy - do you think this is correct or maybe Ciona?,Campbell Bay,48.85833,-123.26833,few,open,55,45,glassy tunicate,Mayne Island
Ascidia paratropa,2019-05-05T11:30:00,maybe Ciona,Navy Bay,48.82909,-123.24254,few,open,77,50,glassy tunicate,Mayne Island
Ascidia paratropa,2019-05-04T12:00:00,Ciona?,Walker Rock,48.92833,-123.50483,few,open,60,60,glassy tunicate,Mayne Island
Aurelia labiata,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,few,open,60,60,moon jelly,Mayne Island
Balanophyllia elegans,2019-05-04T12:00:00,"this is their ""many""",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,orange cup coral,Galiano Island
Balanophyllia elegans,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,orange cup coral,Galiano Island
Balanophyllia elegans,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,abundant,open,47,53,orange cup coral,Galiano Island
Balanophyllia elegans,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,very many,open,60,60,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,abundant,open,42,42,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,some,open,45,3,orange cup coral,Pender Island
Balanophyllia elegans,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,some,open,27,28,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,43,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very abundant,open,50,60,orange cup coral,Prevost Island
Balanophyllia elegans,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,abundant,open,46,45,orange cup coral,Prevost Island
Balanophyllia elegans,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,1,open,77,50,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,very many,open,60,60,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,orange cup coral,Samuel Island
Balanophyllia elegans,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,very many,open,47,44,orange cup coral,Galiano Island
Balanophyllia elegans,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,orange cup coral,Galiano Island
Balanophyllia elegans,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,orange cup coral,Saturna Island
Balanophyllia elegans,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,abundant,open,47,51,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,abundant,open,60,60,orange cup coral,Mayne Island
Balanophyllia elegans,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,very many,open,48,50,orange cup coral,Mayne Island
Balanus glandula/Balanus crenatus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,abundant,open,31,34,common acorn barnacles,Saturna Island
Balanus nubilus,2019-05-04T12:00:00,"this is there ""many""",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,giant acorn barnacle,Galiano Island
Balanus nubilus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,giant acorn barnacle,Galiano Island
Balanus nubilus,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,47,53,giant acorn barnacle,Galiano Island
Balanus nubilus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,abundant,open,45,3,giant acorn barnacle,Pender Island
Balanus nubilus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,giant acorn barnacle,Prevost Island
Balanus nubilus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,giant acorn barnacle,Prevost Island
Balanus nubilus,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,very many,open,47,45,giant acorn barnacle,Prevost Island
Balanus nubilus,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,1,open,77,50,giant acorn barnacle,Mayne Island
Balanus nubilus,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,few,open,60,60,giant acorn barnacle,Mayne Island
Balanus nubilus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,giant acorn barnacle,Samuel Island
Balanus nubilus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,giant acorn barnacle,Galiano Island
Balanus nubilus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,some,open,31,34,giant acorn barnacle,Saturna Island
Balanus nubilus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,giant acorn barnacle,Mayne Island
Balanus nubilus,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,few,open,60,60,giant acorn barnacle,Mayne Island
Balanus nubilus,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,very many,open,48,50,giant acorn barnacle,Mayne Island
Bathyagonus infraspinata,2019-05-05T12:00:00,"???? logged as ""poacher - perhaps grey starsnout",Navy Bay,48.82909,-123.24254,few,open,60,60,spinycheek starsnout,Mayne Island
Beroe spp.,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,transluscent comb jelly,Mayne Island
Berthella californica,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,California berthella,Mayne Island
Bolinopsis infundibulum,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,very many,open,47,44,lobed sea gooseberry,Galiano Island
Bolinopsis infundibulum,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,2,open,43,36,lobed sea gooseberry,Mayne Island
Bolinopsis infundibulum,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,very many,open,48,50,lobed sea gooseberry,Mayne Island
Boltenia villosa,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,1,open,45,3,hairy tunicate,Pender Island
Boltenia villosa,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,2,open,27,28,hairy tunicate,Mayne Island
Boltenia villosa,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,hairy tunicate,Samuel Island
Boltenia villosa,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,1,open,35,30,hairy tunicate,Mayne Island
Brachyistius frenatus,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,few,open,47,44,kelp perch,Galiano Island
Brachyistius frenatus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,kelp perch,Galiano Island
Bugula californica,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,spiral bryozoan,Pender Island
Bugula californica,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,spiral bryozoan,Samuel Island
Bugula californica,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,some,open,35,30,spiral bryozoan,Mayne Island
Bugula californica,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,spiral bryozoan,Mayne Island
Cadlina luteomarginata,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,present,open,72,33,yellow-rimmed nudibranch,Galiano Island
Cadlina luteomarginata,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,1,open,60,60,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,1,open,45,3,yellow-rimmed nudibranch,Pender Island
Cadlina luteomarginata,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,2,open,27,28,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,14,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,yellow-rimmed nudibranch,Prevost Island
Cadlina luteomarginata,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,few,open,77,50,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,few,open,60,60,yellow-rimmed nudibranch,Mayne Island
Cadlina luteomarginata,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,yellow-rimmed nudibranch,Samuel Island
Cadlina luteomarginata,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,1,open,47,51,yellow-rimmed nudibranch,Mayne Island
Calliostoma canaliculatum,2019-05-05T09:59:00,suspect this to be blue topsnails,Ballingall Islets Park,48.906568,-123.460574,few,open,47,53,channelled topsnail,Galiano Island
Calliostoma ligatum,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,blue topsnail,Pender Island
Calliostoma ligatum,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,blue topsnail,Prevost Island
Callophyllis spp.,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,3,open,27,28,beautiful leaf seaweed,Mayne Island
Callophyllis spp.,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,beautiful leaf seaweed,Saturna Island
Cancer gracilis,2019-05-04T12:00:00,not sure if this should be graceful kelp crab,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,graceful crab,Galiano Island
Cancer gracilis,2019-05-04T12:00:00,not sure if this should be graceful kelp crab?,Montague Harbour,48.896354,-123.40363,many,open,33,53,graceful crab,Galiano Island
Cancer magister,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,1,open,47,44,Dungeness crab,Galiano Island
Cancer oregonensis,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,pygmy rock crab,Pender Island
Cancer oregonensis,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,3,open,27,28,pygmy rock crab,Mayne Island
Cancer oregonensis,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,1,open,43,36,pygmy rock crab,Mayne Island
Cancer productus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,red rock crab,Galiano Island
Cancer productus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,red rock crab,Galiano Island
Cancer productus,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,47,53,red rock crab,Galiano Island
Cancer productus,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,few,open,60,60,red rock crab,Mayne Island
Cancer productus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,red rock crab,Mayne Island
Cancer productus,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,few,open,42,42,red rock crab,Mayne Island
Cancer productus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,red rock crab,Pender Island
Cancer productus,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,red rock crab,Mayne Island
Cancer productus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,14,red rock crab,Mayne Island
Cancer productus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,red rock crab,Prevost Island
Cancer productus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,red rock crab,Prevost Island
Cancer productus,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,red rock crab,Prevost Island
Cancer productus,2019-05-04T12:00:00,,Montague Harbour,48.896354,-123.40363,many,open,33,53,red rock crab,Galiano Island
Cancer productus,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,few,open,77,50,red rock crab,Mayne Island
Cancer productus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,red rock crab,Samuel Island
Cancer productus,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,1,open,35,30,red rock crab,Mayne Island
Cancer productus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,red rock crab,Galiano Island
Cancer productus,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,some,open,43,36,red rock crab,Mayne Island
Cancer productus,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,few,open,60,60,red rock crab,Mayne Island
Caprella alaskana,2019-05-04T12:00:00,,Montague Harbour,48.896354,-123.40363,few,open,33,53,Alaskan skeleton shrimp,Galiano Island
Caryophyllia alaskensis,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,round tan cup coral,Mayne Island
Caulibugula californica,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,some,open,35,30,parasol bryozoan,Mayne Island
Caulibugula californica,2019-05-05T09:39:00,on Neoagarum,Robertson II,48.81378,-123.2099,many,open,31,34,parasol bryozoan,Saturna Island
Caulibugula californica,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,few,open,43,36,parasol bryozoan,Mayne Island
Ceratostoma foliatum,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,leafy hornmouth,Galiano Island
Ceratostoma foliatum,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,47,53,leafy hornmouth,Galiano Island
Ceratostoma foliatum,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,1,open,60,60,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,very many,open,42,42,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-05T11:30:00,with eggs,Conconi Reef,48.825,-123.29,some,open,45,3,leafy hornmouth,Pender Island
Ceratostoma foliatum,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,few,open,27,28,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,43,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,leafy hornmouth,Prevost Island
Ceratostoma foliatum,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,leafy hornmouth,Prevost Island
Ceratostoma foliatum,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,very many,open,77,50,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,few,open,60,60,leafy hornmouth,Mayne Island
Ceratostoma foliatum,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,leafy hornmouth,Samuel Island
Ceratostoma foliatum,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,leafy hornmouth,Galiano Island
Ceratostoma foliatum,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,leafy hornmouth,Mayne Island
Chirolophis nugator,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,2,open,45,3,mosshead warbonnet,Pender Island
Chirolophis nugator,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,mosshead warbonnet,Galiano Island
Chlamys sp.,2019-05-04T12:39:00,small,St. John Point,48.81285,-123.22778,1,open,43,36,pink scallop,Mayne Island
Chone aurantiaca,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,orange feather-duster,Samuel Island
Citharichthys stigmaeus,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,1,open,60,60,speckled sanddab,Mayne Island
Citharichthys stigmaeus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,43,speckled sanddab,Mayne Island
Clathria pennata,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,some,open,27,28,red velvety sponge 1,Mayne Island
Clathria pennata,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,red velvety sponge 1,Prevost Island
Clathria pennata,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,some,open,35,30,red velvety sponge 1,Mayne Island
Clathria pennata,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,few,open,43,36,red velvety sponge 1,Mayne Island
Clathromorphum etc.,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,present,open,47,53,crustose corallines,Galiano Island
Clathromorphum etc.,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,many,open,27,28,crustose corallines,Mayne Island
Clathromorphum etc.,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,crustose corallines,Samuel Island
Clathromorphum etc.,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,some,open,35,30,crustose corallines,Mayne Island
Clathromorphum etc.,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,some,open,31,34,crustose corallines,Saturna Island
Cliona californiana,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow boring sponge,Mayne Island
Cliona californiana,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,many,open,47,45,yellow boring sponge,Prevost Island
Cliona californiana,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,very many,open,77,50,yellow boring sponge,Mayne Island
Cliona californiana,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,yellow boring sponge,Samuel Island
Cliona californiana,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,very many,open,47,44,yellow boring sponge,Galiano Island
Cnemidocarpa finmarkiensis,2019-05-05T09:56:00,logged as shiny orange sea squirt,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,broadbase tunicate,Galiano Island
Cnemidocarpa finmarkiensis,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,47,53,broadbase tunicate,Galiano Island
Cnemidocarpa finmarkiensis,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,broadbase tunicate,Mayne Island
Cnemidocarpa finmarkiensis,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,broadbase tunicate,Pender Island
Cnemidocarpa finmarkiensis,2019-05-04T12:53:00,logged as shiny orange sea squirt,"Edith Point, inside",48.855,-123.25,very many,open,50,14,broadbase tunicate,Mayne Island
Cnemidocarpa finmarkiensis,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,very many,open,47,45,broadbase tunicate,Prevost Island
Cnemidocarpa finmarkiensis,2019-05-05T11:30:00,,Navy Bay,48.82909,-123.24254,few,open,77,50,broadbase tunicate,Mayne Island
Cnemidocarpa finmarkiensis,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,few,open,60,60,broadbase tunicate,Mayne Island
Cnemidocarpa finmarkiensis,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,broadbase tunicate,Samuel Island
Cnemidocarpa finmarkiensis,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,few,open,35,30,broadbase tunicate,Mayne Island
Cnemidocarpa finmarkiensis,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,very many,open,47,44,broadbase tunicate,Galiano Island
Corella willmeriana,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,2,open,35,30,transparent tunicate,Mayne Island
Corella willmeriana,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,transparent tunicate,Saturna Island
Corella willmeriana,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,1,open,43,36,transparent tunicate,Mayne Island
Corynactis californica,2019-05-04T12:00:00,Andy what do you think - not here?,Ballingall Islets Park,48.906568,-123.460574,abundant,open,72,33,strawberry anemone,Galiano Island
Costaria costata,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,seersucker kelp,Prevost Island
Costaria costata,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,few,open,35,30,seersucker kelp,Mayne Island
