Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes
Asparagaceae,Triteleia grandiflora Lindl.,var. howellii,Open,10,,,,,
Asparagaceae,Triteleia hyacinthina (Lindl.) Greene,,Open,23,,,,,
Aspleniaceae,Asplenium trichomanes L.,ssp. trichomanes,Open,4,,,,,
Asteraceae,Achillea millefolium L.,,Open,107,,,,,
Asteraceae,Adenocaulon bicolor Hook.,,Forest,9,,,,,
Asteraceae,Agoseris grandiflora (Nutt.) Greene,"ssp. grandiflora, ssp. leptophylla",Open,20,,,,,
Asteraceae,Agoseris heterophylla (Nutt.) Greene,var. heterophylla,Open,3,,,,,
Asteraceae,Ambrosia chamissonis (Less.) Greene,,Shoreline,38,,,,,
Asteraceae,Anaphalis margaritacea (L.) Benth. & Hook. f.,,Open,12,,,,,
Asteraceae,Anisocarpus madioides Nutt.,,Forest,20,,,,,
Asteraceae,Antennaria racemosa Hook.,,Open,1,,,,,
Asteraceae,Anthemis cotula L.*,,Open,2,,,,,
Asteraceae,Arctium minus (Hill) Bernh.*,,Open,4,,,,,
Asteraceae,Artemisia campestris L.,var. scouleriana,Open,17,,,,,
Asteraceae,Artemisia suksdorfii Piper,,Open,5,,,,,
Asteraceae,Artemisia vulgaris L.*,,Open,1,,,,,
Asteraceae,Bellis perennis L.*,,Open,23,,,,,
Asteraceae,Bidens beckii Torr. ex Spreng.,,Wetland,1,,,,,
Asteraceae,Bidens frondosa L.,,Shoreline,1,,,,,
Asteraceae,Calendula officinalis L.*,,Open,1,,,,,
Asteraceae,Carduus nutans L.*,,Open,1,,,,,
Asteraceae,Centaurea cyanus L.*,,Open,2,,,,,
Asteraceae,Centaurea diffusa Lam.*,,Open,1,,,,,
Asteraceae,Centaurea gerstlaueri Erdner*,,Open,3,,,,,
Asteraceae,Centaurea jacea L.*,,Open,2,,,,,
Asteraceae,Centaurea melitensis L.*,,Open,2,,,,,
Asteraceae,Centaurea montana L.*,,Open,1,,,,,
Asteraceae,Centaurea stoebe L.*,ssp. australis,Open,3,,,,,
Asteraceae,Centaurea varnensis Velen.*,,Open,1,,,,,
Asteraceae,Cichorium intybus L.*,,Open,2,,,,,
Asteraceae,Cirsium arvense (L.) Scop.*,,Open,32,,,,,
Asteraceae,Cirsium brevistylum Cronquist,,Forest,7,,,,,
Asteraceae,Cirsium vulgare (Savi) Ten.*,,Open,67,,,,,
Asteraceae,Conyza canadensis (L.) Cronquist,,Open,3,,,,,
Asteraceae,Coreopsis grandiflora x C. lanceolata *,,Open,1,,,,,
Asteraceae,Coreopsis lanceolata L.*,,Open,2,,,,,
Asteraceae,Cotula coronopifolia L.*,,Shoreline,2,,,,,
Asteraceae,Crepis capillaris (L.) Wallr.*,,Open,10,,,,,
Asteraceae,Crepis nicaeensis Balbis ex Pers.*,,Open,1,,,,,
Asteraceae,Crocidium multicaule Hook.,,Open,2,,,,,
Asteraceae,Erigeron philadelphicus L.,,Forest,1,,,,,
Asteraceae,Erigeron speciosus (Lindl.) DC.,,Open,1,,,,,
Asteraceae,Eriophyllum lanatum (Pursh) J. Forbes,"var. lanatum, var. leucophyllum",Open,33,,,,,
Asteraceae,Filago arvensis L.*,,Open,1,,,,,
Asteraceae,Filago vulgaris Lam.*,,Open,4,,,,,
Asteraceae,Gamochaeta ustulata (Nutt.) Holub,,Open,26,,,,,
Asteraceae,Gnaphalium palustre Nutt.,,Open,4,,,,,
Asteraceae,Gnaphalium uliginosum L.*,,Open,4,,,,,
Asteraceae,Grindelia integrifolia DC.,,Shoreline,143,,,,,
Asteraceae,Hemizonella minima (A. Gray) A. Gray,,Open,1,,,,,
Asteraceae,Hieracium albiflorum Hook.,,Forest,31,,,,,
Asteraceae,Hieracium aurantiacum L.*,,Open,2,,,,,
Asteraceae,Hieracium caespitosum Dumort.*,,Open,2,,,,,
Asteraceae,Hieracium flagellare Willd.*,,Open,1,,,,,
Asteraceae,Hieracium stoloniflorum Waldst. & Kit.*,,Open,1,,,,,
Asteraceae,Hypochaeris glabra L.*,,Open,24,,,,,
Asteraceae,Hypochaeris radicata L.*,,Open,88,,,,,
Asteraceae,Jacobaea maritima (L.) Pelser & Meijden,,Open,1,,,,,
Asteraceae,Jacobaea maritima x J. vulgaris *,,Open,1,,,,,
Asteraceae,Jacobaea vulgaris Gaertn.*,,Open,14,,,,,
Asteraceae,Jaumea carnosa (Less.) A. Gray,,Shoreline,4,,,,,
Asteraceae,Lactuca ludoviciana (Nutt.) Riddell,,Open,1,,,,,
Asteraceae,Lactuca serriola L.*,,Open,9,,,,,
Asteraceae,Lapsana communis L.*,,Open,13,,,,,
Asteraceae,Leontodon autumnalis L.*,,Open,4,,,,,
Asteraceae,Leontodon saxatilis Lam.*,ssp. saxatilis,Open,4,,,,,
Asteraceae,Leucanthemum maximum (Ramond) DC.*,,Open,1,,,,,
Asteraceae,Leucanthemum vulgare Lam.*,,Open,7,,,,,
Asteraceae,Logfia minima (Sm.) Dumort.*,,Open,2,,,,,
Asteraceae,Madia exigua (Sm.) A. Gray,,Open,4,,,,,
Asteraceae,Madia glomerata Hook.,,Open,1,,,,,
Asteraceae,Madia gracilis (Sm.) D.D. Keck,,Open,9,,,,,
Asteraceae,Madia sativa Molina,,Open,5,,,,,
Asteraceae,Matricaria discoidea DC.,,Open,6,,,,,
Asteraceae,Mauranthemum paludosum (Poir.) Vogt & Oberpr.*,,Open,1,,,,,
Asteraceae,Microseris bigelovii (A. Gray) Sch. Bip.,,Open,2,,,,,
Asteraceae,Mycelis muralis (L.) Dumort.*,,Forest,28,,,,,
Asteraceae,Packera indecora (Greene) Á. Löve & D. Löve,,Open,1,,,,,
Asteraceae,Packera macounii (Greene) W.A. Weber & Á. Löve,,Open,4,,,,,
Asteraceae,Petasites frigidus (L.) Fr.,var. palmatus,Wetland,1,,,,,
Asteraceae,Pseudognaphalium stramineum (Kunth) Anderb.,,Open,6,,,,,
Asteraceae,Pseudognaphalium thermale (E.E. Nelson) G.L. Nesom,,Open,6,,,,,
Asteraceae,Psilocarphus tenellus Nutt.,,Open,1,,,,,
Asteraceae,Senecio sylvaticus L.*,,Open,12,,,,,
Asteraceae,Senecio vulgaris L.*,,Open,60,,,,,
Asteraceae,Sericocarpus rigidus Lindl.,,Open,1,,,,,
Asteraceae,Solidago elongata Nutt.,,Open,2,,,,,
Asteraceae,Solidago lepida DC.,var. salebrosa,Open,12,,,,,
Asteraceae,Solidago simplex Kunth,"var. nana, var. simplex",Open,2,,,,,
Asteraceae,Soliva sessilis Ruiz & Pav.*,,Open,12,,,,,
Asteraceae,Sonchus arvensis L.*,ssp. arvensis,Open,16,,,,,
Asteraceae,Sonchus asper (L.) Hill*,ssp. asper,Open,71,,,,,
Asteraceae,Sonchus oleraceus L.*,,Open,102,,,,,
Asteraceae,Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve,,Wetland,1,,,,,
Asteraceae,Symphyotrichum subspicatum (Nees) G.L. Nesom,,Open,6,,,,,
Asteraceae,Tanacetum balsamita L.*,,Open,1,,,,,
Asteraceae,Tanacetum parthenium (L.) Sch. Bip.*,,Open,2,,,,,
Asteraceae,Tanacetum vulgare L.*,,Open,3,,,,,
Asteraceae,Taraxacum erythrospermum Andrz. ex Besser*,,Open,14,,,,,
Asteraceae,Taraxacum officinale F.H. Wigg.*,,Open,68,,,,,
Asteraceae,Tragopogon dubius Scop.*,,Open,4,,,,,
Asteraceae,Tragopogon porrifolius L.*,,Open,4,,,,,
Asteraceae,Tragopogon pratensis L.*,,Open,1,,,,,
Asteraceae,Tripleurospermum inodorum (L.) Sch. Bip.*,,Open,4,,,,,
Athyriaceae,Athyrium filix-femina (L.) Roth ex Mertens,ssp. cyclosorum,Forest,19,,,,,
Berberidaceae,Berberis aquifolium (Pursh) Nutt.,,Open,87,,,,,
Berberidaceae,Berberis nervosa (Pursh) Nutt.,,Forest,20,,,,,
Betulaceae,Alnus rubra Bong.,,Forest,18,,,,,
Betulaceae,Alnus viridis (Chaix) DC.,ssp. sinuata,Forest,8,,,,,
Betulaceae,Betula papyrifera Marshall,,Forest,5,,,,,
Betulaceae,Betula pendula Roth*,,Forest,1,,,,,
Betulaceae,Corylus cornuta Marshall,ssp. californica,Forest,3,,,,,
Blechnaceae,Struthiopteris spicant (L.) Weiss,,Forest,5,,,,,
Boraginaceae,Amsinckia intermedia Fisch. & C.A. Mey.,,Open,3,,,,,
Boraginaceae,Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.,,Open,12,,,,,
Boraginaceae,Amsinckia spectabilis Fisch. & C.A. Mey.,var. spectabilis,Open,5,,,,,
Boraginaceae,Anchusa azurea Mill.*,,Open,2,,,,,
Boraginaceae,Anchusa officinalis L.*,,Open,1,,,,,
Boraginaceae,Borago officinalis L.*,,Open,1,,,,,
Boraginaceae,Buglossoides arvensis (L.) I.M. Johnst.*,,Open,1,,,,,
Boraginaceae,Lycopsis arvensis L.*,,Open,1,,,,,
Boraginaceae,Myosotis arvensis (L.) Hill*,,Open,4,,,,,
Boraginaceae,Myosotis discolor Pers.*,,Open,43,,,,,
Boraginaceae,Myosotis latifolia Poir.*,,Open,1,,,,,
Boraginaceae,Myosotis laxa Lehm.,,Wetland,4,,,,,
Boraginaceae,Myosotis stricta Link ex Roem. & Schult.*,,Open,12,,,,,
Boraginaceae,Myosotis sylvatica Ehrh. ex Hoffm.*,,Forest,1,,,,,
Boraginaceae,Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey*,,Forest,1,,,,,
Boraginaceae,Plagiobothrys scouleri (Hook. & Arn.) I.M. Johnst.,,Shoreline,28,,,,,
Boraginaceae,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,,Open,4,,,,,
Boraginaceae,Symphytum officinale L.*,,Open,1,,,,,
Boraginaceae,Symphytum uplandicum Nyman*,,Open,1,,,,,
Brassicaceae,Alliaria petiolata (M. Bieb.) Cavara & Grande*,,Forest,2,,,,,
Brassicaceae,Arabidopsis thaliana (L.) Heynh.*,,Open,8,,,,,
Brassicaceae,Arabis caucasica Willd.*,,Open,1,,,,,
Brassicaceae,Arabis eschscholtziana Andrz.,,Open,23,,,,,
Brassicaceae,Aubrieta deltoidea (L.) DC.*,,Open,1,,,,,
Brassicaceae,Barbarea orthoceras Ledeb.,,Open,15,,,,,
Brassicaceae,Barbarea vulgaris W.T. Aiton*,,Open,1,,,,,
Brassicaceae,Brassica juncea (L.) Czern.*,,Open,4,,,,,
Brassicaceae,Brassica nigra (L.) W.D.J. Koch*,,Open,3,,,,,
Brassicaceae,Brassica rapa L.*,,Open,4,,,,,
Brassicaceae,Cakile edentula (Bigelow) Hook.*,var. edentula,Shoreline,17,,,,,
Brassicaceae,Cakile maritima Scop.*,ssp. maritima,Shoreline,44,,,,,
Brassicaceae,Camelina microcarpa Andrz. ex DC.*,,Open,1,,,,,
Brassicaceae,Capsella bursa-pastoris (L.) Medik.*,,Open,10,,,,,
Brassicaceae,Cardamine flexuosa With.*,,Forest,6,,,,,
Brassicaceae,Cardamine hirsuta L.*,,Open,66,,,,,
Brassicaceae,Cardamine nuttallii Greene,,Forest,2,,,,,
Brassicaceae,Cardamine occidentalis (S. Watson) Howell,,Wetland,2,,,,,
Brassicaceae,Cardamine oligosperma Nutt.,,Forest,50,,,,,
Brassicaceae,Cardamine pensylvanica Muhl. ex Willd.,,Forest,4,,,,,
Brassicaceae,Draba verna L.*,,Open,30,,,,,
Brassicaceae,Erysimum cheiri (L.) Crantz*,,Open,1,,,,,
Brassicaceae,Hesperis matronalis L.*,,Open,2,,,,,
Brassicaceae,Hornungia procumbens (L.) Hayek,,Shoreline,11,,,,,
Brassicaceae,Lepidium campestre (L.) W.T. Aiton*,,Open,1,,,,,
Brassicaceae,Lepidium densiflorum Schrad.,,Open,3,,,,,
Brassicaceae,Lepidium didymum L.*,,Open,1,,,,,
Brassicaceae,Lepidium draba L.*,,Open,1,,,,,
Brassicaceae,Lepidium heterophyllum Benth.*,,Open,1,,,,,
Brassicaceae,Lepidium latifolium L.*,,Open,1,,,,,
Brassicaceae,Lepidium oxycarpum Torr. & A. Gray,,Shoreline,2,,,,,
Brassicaceae,Lepidium perfoliatum L.*,,Open,1,,,,,
Brassicaceae,Lepidium virginicum L.,ssp. menziesii,Shoreline,72,,,,,
Brassicaceae,Lobularia maritima (L.) Desv.*,,Open,2,,,,,
Brassicaceae,Lunaria annua L.*,,Forest,3,,,,,
Brassicaceae,Nasturtium officinale W.T. Aiton*,,Wetland,2,,,,,
Brassicaceae,Raphanus raphanistrum L.*,,Open,3,,,,,
Brassicaceae,Raphanus sativus L.*,,Open,2,,,,,
Brassicaceae,Rorippa curvisiliqua (Hook.) Bessey ex Britton,,Wetland,2,,,,,
Brassicaceae,Rorippa palustris (L.) Besser,ssp. palustris,Wetland,1,,,,,
Brassicaceae,Sinapis arvensis L.*,,Open,3,,,,,
Brassicaceae,Sisymbrium altissimum L.*,,Open,1,,,,,
Brassicaceae,Sisymbrium officinale (L.) Scop.*,,Open,3,,,,,
Brassicaceae,Teesdalia nudicaulis (L.) W.T. Aiton*,,Open,5,,,,,
Brassicaceae,Thlaspi arvense L.*,,Open,1,,,,,
Brassicaceae,Turritis glabra L.,,Open,49,,,,,
Buddleja,Buddleja davidii Franch.*,,Open,1,,,,,
Cabombaceae,Brasenia schreberi J.F. Gmel.,,Wetland,2,,,,,
Cactaceae,Opuntia fragilis (Nutt.) Haw.,,Shoreline,27,,,,,
Campanulaceae,Campanula medium L.*,,Open,2,,,,,
Campanulaceae,Campanula persicifolia L.*,,Open,1,,,,,
Campanulaceae,Campanula rapunculoides L.*,,Open,1,,,,,
Campanulaceae,Campanula rotundifolia L.,,Open,14,,,,,
Campanulaceae,Campanula scouleri Hook. ex A. DC.,,Forest,4,,,,,
Campanulaceae,Githopsis specularioides Nutt.,,Open,1,,,,,
Campanulaceae,Lobelia dortmanna L.,,Wetland,1,,,,,
Campanulaceae,Triodanis perfoliata (L.) Nieuwl.,,Wetland,6,,,,,
Caprifoliaceae,Lonicera ciliosa (Pursh) Poir. ex DC.,,Forest,52,,,,,
Caprifoliaceae,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray,,Forest,56,,,,,
Caprifoliaceae,Lonicera involucrata (Richardson) Banks ex Spreng.,var. involucrata,Forest,9,,,,,
Caprifoliaceae,Symphoricarpos albus (L.) S.F. Blake,var. laevigatus,Forest,94,,,,,
Caryophyllaceae,Agrostemma githago L.*,,Open,1,,,,,
Caryophyllaceae,Arenaria serpyllifolia L.*,var. serpylilfolia,Open,5,,,,,
Caryophyllaceae,Cerastium arvense L.,ssp. strictum,Open,106,,,,,
Caryophyllaceae,Cerastium fontanum Baumg.*,ssp. vulgare,Open,12,,,,,
Caryophyllaceae,Cerastium glomeratum Thuill.*,,Open,82,,,,,
Caryophyllaceae,Cerastium pumilum Curtis*,,Open,71,,,,,
Caryophyllaceae,Cerastium semidecandrum L.*,,Open,47,,,,,
Caryophyllaceae,Cerastium tomentosum L.*,,Open,1,,,,,
Caryophyllaceae,Dianthus armeria L.*,ssp. armeria,Open,5,,,,,
Caryophyllaceae,Dianthus barbatus L.*,ssp. barbatus,Open,1,,,,,
Caryophyllaceae,Holosteum umbellatum L.*,ssp. umbellatum,Open,2,,,,,
Caryophyllaceae,Honckenya peploides (L.) Ehrh.,ssp. major,Shoreline,11,,,,,
Caryophyllaceae,Lychnis coronaria (L.) Desr.*,,Open,4,,,,,
Caryophyllaceae,Moehringia macrophylla (Hook.) Fenzl,,Forest,5,,,,,
Caryophyllaceae,"Moenchia erecta (L.) P. Gaertn., B. Mey. & Scherbius*",,Open,2,,,,,
Caryophyllaceae,Sabulina macra (A. Nelson & J.F. Macbr.) Dillenb. & Kadereit,,Open,17,,,,,
Caryophyllaceae,Sagina apetala Ard.*,,Shoreline,17,,,,,
Caryophyllaceae,Sagina decumbens (Elliott) Torr. & A. Gray,ssp. occidentalis,Shoreline,88,,,,,
Caryophyllaceae,Sagina maxima A. Gray,ssp. crassicaulis,Shoreline,31,,,,,
Caryophyllaceae,Sagina procumbens L.*,,Shoreline,12,,,,,
Caryophyllaceae,Scleranthus annuus L.*,,Open,1,,,,,
Caryophyllaceae,Silene antirrhina L.,,Open,16,,,,,
Caryophyllaceae,Silene douglasii Hook.,,Open,1,,,,,
Caryophyllaceae,Silene gallica L.*,,Open,28,,,,,
Caryophyllaceae,Silene latifolia Poir.*,,Open,2,,,,,
Caryophyllaceae,Silene menziesii Hook.,,Forest,12,,,,,
Caryophyllaceae,Silene scouleri Hook.,ssp. scouleri,Open,5,,,,,
Caryophyllaceae,Spergula arvensis L.*,,Shoreline,2,,,,,
Caryophyllaceae,Spergularia canadensis (Pers.) G. Don,var. occidentalis,Shoreline,7,,,,,
Caryophyllaceae,Spergularia macrotheca (Hornem.) Heynh.,var. macrotheca,Shoreline,55,,,,,
Caryophyllaceae,Spergularia rubra (L.) J. Presl & C. Presl*,,Shoreline,35,,,,,
Caryophyllaceae,Spergularia salina J. Presl & C. Presl,,Shoreline,7,,,,,
Caryophyllaceae,Stellaria borealis Bigelow,"ssp. borealis, ssp. sitchana",Wetland,6,,,,,
Caryophyllaceae,Stellaria crispa Cham. & Schltdl.,,Forest,10,,,,,
Caryophyllaceae,Stellaria graminea L.*,,Open,1,,,,,
Caryophyllaceae,Stellaria longifolia Muhl. ex Willd.,,Wetland,2,,,,,
Caryophyllaceae,Stellaria longipes Goldie,ssp. longipes,Wetland,2,,,,,
Caryophyllaceae,Stellaria media (L.) Vill.*,,Open,86,,,,,
Caryophyllaceae,Stellaria nitens Nutt.,,Open,14,,,,,
Caryophyllaceae,Stellaria pallida (Dumort.) Crépin*,,Open,21,,,,,
Caryophyllaceae,Vaccaria hispanica (Mill.) Rauschert*,,Open,1,,,,,
Celastraceae,Paxistima myrsinites (Pursh) Raf.,,Forest,21,,,,,
Ceratophyllaceae,Ceratophyllum demersum L.,,Wetland,5,,,,,
Convolvulaceae,Calystegia lucana (Ten.) G. Don*,,Open,1,,,,,
Convolvulaceae,Calystegia sepium (L.) R. Br.,,Shoreline,4,,,,,
Convolvulaceae,Calystegia soldanella (L.) R. Br.,,Shoreline,1,,,,,
Convolvulaceae,Convolvulus arvensis L.*,,Open,3,,,,,
Convolvulaceae,Cuscuta epithymum Murray*,var. epithymum,Shoreline,1,,,,,
Convolvulaceae,Cuscuta pacifica Costea & M.A.R. Wright,var. pacifica,Shoreline,8,,,,,
Cornaceae,Cornus occidentalis (Torr. & A. Gray) Coville,,Forest,2,,,,,
Cornaceae,Cornus stolonifera Michx.,,Forest,3,,,,,
Cornaceae,Cornus unalaschkensis Ledeb.,,Forest,2,,,,,
Crassulaceae,Crassula connata (Ruiz & Pav.) A. Berger,,Shoreline,2,,,,,
Crassulaceae,Crassula tillaea Lester-Garl.*,,Shoreline,9,,,,,
Crassulaceae,Sedum acre L.*,,Shoreline,3,,,,,
Crassulaceae,Sedum album L.*,,Shoreline,9,,,,,
Crassulaceae,Sedum divergens S. Watson,,Open,1,,,,,
Crassulaceae,Sedum lanceolatum Torr.,,Shoreline,93,,,,,
Crassulaceae,Sedum oreganum Nutt.,,Open,2,,,,,
Crassulaceae,Sedum spathulifolium Hook.,,Shoreline,79,,,,,
Cucurbitaceae,Marah oregana (Torr. & A. Gray) Howell,,Open,5,,,,,
Cupressaceae,Juniperus scopulorum Sarg.,,Open,61,,,,,
Cupressaceae,Thuja plicata Donn ex D. Don,,Forest,24,,,,,
Cyperaceae,Bolboschoenus maritimus (L.) Palla,ssp. paludosus,Wetland,8,,,,,
Cyperaceae,Carex aquatilis Wahlenb.,"var. aquatilis, var. dives",Wetland,4,,,,,
Cyperaceae,Carex arcta Boott,,Wetland,3,,,,,
Cyperaceae,Carex aurea Nutt.,,Wetland,3,,,,,
Cyperaceae,Carex canescens L.,,Wetland,2,,,,,
Cyperaceae,Carex canescens L.*,,Wetland,2,,,,,
Cyperaceae,Carex cusickii Mack. ex Piper & Beattie,,Wetland,4,,,,,
Cyperaceae,Carex densa (L.H. Bailey) L.H. Bailey,,Open,1,,,,,
Cyperaceae,Carex echinata Murray,"ssp. echinata, ssp. phyllomanica",Wetland,2,,,,,
Cyperaceae,Carex exsiccata L.H. Bailey,,Wetland,5,,,,,
Cyperaceae,Carex hendersonii L.H. Bailey,,Wetland,4,,,,,
Cyperaceae,Carex hoodii Boott,,Open,1,,,,,
Cyperaceae,Carex inops L.H. Bailey,ssp. Inops,Open,17,,,,,
Cyperaceae,Carex interior L.H. Bailey,,Wetland,2,,,,,
Cyperaceae,Carex kelloggii W. Boott,"var. impressa, var. kelloggii, var. limnophila",Wetland,5,,,,,
Cyperaceae,Carex laeviculmis Meinsh.,,Wetland,1,,,,,
Cyperaceae,Carex lasiocarpa Ehrh.,,Wetland,1,,,,,
Cyperaceae,Carex leporina L.,,Wetland,2,,,,,
Cyperaceae,Carex leptalea Wahlenb.,,Wetland,2,,,,,
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,
Cyperaceae,Carex lyngbyei Hornem.,,Shoreline,15,,,,,
Cyperaceae,Carex macrocephala Willd. ex Spreng.,,Shoreline,5,,,,,
Cyperaceae,Carex obnupta L.H. Bailey,,Wetland,12,,,,,
