area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed
ogi,Amaryllidaceae,Allium crenulatum,Allium crenulatum,L. Clark collection Bald Cone North Pender. Not relocated at site. Accidental possibly single plant of usually high elevation species.,,,
ogi,Amaryllidaceae,Allium geyeri var. tenerum,Allium geyeri tenerum,"Owl Island near Prevost Island. Rock Outcrop. 8 clumps in two spots at one site only with Grindelia stricta, rocky point near saltspray zone. Sinclair, MD, FL.",,,
ogi,Amaryllidaceae,Allium vineale,Allium vineale,Meadows and old fields occasional escape. Mayne and Galiano.,,,
ogi,Amaryllidaceae,Galanthus nivalis,Galanthus nivalis,"Galiano location Active pass Rd and in Cemetary. Persisting in old, abandoned gardens and flower beds.",,,
ogi,Amaryllidaceae,Narcissus pseudonarcissus,Narcissus pseudonarcissus,Persisting from cultivation,,,
ogi,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,Dry woods and exposed rocky places; Galiano and Valdez. DeCourcy also.,,,
ogi,Apiaceae,Angelica genuflexa,Angelica genuflexa,"HLR Bodega Ridge, Galiano 1995 ( id? Poss lucida), TRA Mayne date?location?",,,
ogi,Apiaceae,Anthriscus caucalis,Anthriscus caucalis,"FL Prevost Island 2004, Port Browning, N Pender 2003, A&OC De Courcy 1980, Calder Virago Point, Galiano 1961, HJ Bellhouse Park, Galiano 1999. Cabbage Island Erickson-McGee iNaturalist report 2020. Widespread on small islets throughout.",,,AS
ogi,Apiaceae,Anthriscus cerefolium,Anthriscus cerefolium,"K Wall inaturalist observation Panda Bay, N Pender 2020.",,,
ogi,Apiaceae,Carum carvi,Carum carvi,HJ Bedwell Harbour salt marsh and beach 1979.,,,
ogi,Apiaceae,Cicuta douglasii,Cicuta douglasii,"HJ Galiano Sphagnum bog 1975, JKH N Pender 1896",,,
ogi,Apiaceae,Conioselinum pacificum,Conioselinum gmelinii,"Beaches and sandy shorelines, all islands.",,,
ogi,Apiaceae,Conium maculatum,Conium maculatum,"HJ Narvaez Bay driveways, Saturna 2020. Shore access, Active Pass Drive, Galiano. Shark Pl. N Pender 2020.",,,
ogi,Apiaceae,Daucus carota,Daucus carota,"Roadsides, cultivated ground, meadows, all islands.",,,
ogi,Apiaceae,Daucus pusillus,Daucus pusillus,"Dry, open places, grassy bluffs, all islands.",,,
ogi,Apiaceae,Eryngium planum,Eryngium planum,"Escaping along Hooson Road, N Pender.",,,
ogi,Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,"Roadside, North Pender.",,,
ogi,Apiaceae,Heracleum maximum,Heracleum maximum,"HJ Winter Cove, Saturna in shorline in Rosa nutkana thicket 1989.",,,
ogi,Apiaceae,Lomatium grayi,Lomatium grayi,"HJ sea cliffs below Bodega Ridge, Galiano 1982. Now treated as Lomatium papilioniferum J.A. Alexander & W. Whaley. BC material was previously misapplied as Lomatium grayi. Lomatium grayi s.s. occurs only in SE Idaho, Colorado, Utah, Wyoming and New Mexico (Alexander et al. 2018).",,Lomatium papilioniferum?,AS
ogi,Apiaceae,Lomatium nudicaule,Lomatium nudicaule,"Seaside meadows, grassy shorelines and banks, all islands.",,,AS
ogi,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,"Grassy bluffs, rocky meadows, all islands.",,,AS
ogi,Apiaceae,Oenanthe sarmentosa,Oenanthe sarmentosa,"Pools and streams in shady woods, lake edges and ditches, all islands.",,,
ogi,Apiaceae,Osmorhiza berteroi,Osmorhiza berteroi,"Open woodlands, trails, all islands.",,,
ogi,Apiaceae,Pastinaca sativa,Pastinaca sativa,"TRA Higgs Point, S Pender 1957",,,
ogi,Apiaceae,Perideridia montana,Perideridia gairdneri,"Straley Georgeson Bay Road, Galiano 1989. HJ Moss balds north slope of Mt Sutile, Galiano 2003. HJ Brown Ridge, Saturna 1986.",,,
ogi,Apiaceae,Petroselinum crispum,Petroselinum crispum,"FL Sturdies Bay ferry dock, Galiano, sandstone ledges and scree above beach; growing with Tanacetum parthenium, 2014. On Lomer & Penny's non-established list.",,,
ogi,Apiaceae,Sanicula bipinnatifida,Sanicula bipinnatifida,"HLR Dionisio Point, Galiano 1993. HJ East Point, Saturna 1994, HJ&MF Brown Ridge, Saturna 1995.",,,
ogi,Apiaceae,Sanicula crassicaulis,Sanicula crassicaulis,"Dry transitional forest, rocky slopes above salt water, all islands. Vars crassicaulis and tripartata both reported for Galiano.",,,
ogi,Apiaceae,Torilis arvensis,Torilis arvensis,"HJ Saturna vineyard fields, roadsides Saturna 2020. HJ Village Bay Ferry terminal, Mayne 2020. AS Galiano 2020.",,,
ogi,Apiaceae,Torilis japonica,Torilis japonica,"HJ Mt Sutil grassy bluffs, Galiano 1976. HJ Saturna Brown Ridge 2003. AS Tapovan Peace Park 2016. FL Valdez Island 2008.",,,
ogi,Apiaceae,Yabea microcarpa,Yabea microcarpa,"HJ Brown Ridge and Mt Fisher Saturna, Calder Mt Norman, S Pender 1961, AS Galiano 2016",,,AS
ogi,Apocynaceae,Apocynum androsaemifolium,Apocynum androsaemifolium,"HJ Mt Fisher, Saturna 1982, Hydro Cut Montague, Galiano 1984, Heck Hill, Mayne 1982.",,,AS
ogi,Apocynaceae,Vinca major,Vinca major,"Abandoned garden persistant, Saturna, Mayne, Galiano.",,,AS
ogi,Apocynaceae,Vinca minor,Vinca minor,"Neglected lots and roadsides; a garden escapee, Mayne, Galiano, N Pender.",,,AS
ogi,Aquifoliaceae,Ilex aquifolium,Ilex aquifolium,"Adventive in moist woods, Galiano, Mayne, Saturna, N Pender",,,AS
ogi,Araceae,Lemna minor,Lemna minor,"Quiet standing water, lakes and ponds throughout. All islands. Many reports may be in error (name misapplied to native L. minuta) Re-check.",,,
ogi,Araceae,Lemna minuta,Lemna minuta,HLR ER 128 Sphagnum Bog Galiano 2019,,,
ogi,Araceae,Lemna trisulca,Lemna trisulca,"Quiet ponds and lake margins. Known from Saturna, Galiano and N Pender.",,,
ogi,Araceae,Lemna turionifera,Lemna turionifera,AS Mt Sutil ravine lake Galiano 2017.,,,
ogi,Araceae,Lysichiton americanus,Lysichiton americanus,"Fens, wet spots, drainage channels. Common Galiano and North Pender. Absent S Pender, Mayne and Saturna.",,,AS
ogi,Araceae,Spirodela polyrrhiza,Spirodela polyrhiza,"Quiet standing water, lakes and ponds. Known from Saturna, Galiano and S Pender.",,,
ogi,Araceae,Wolffia columbiana,Wolffia columbiana,"Calm, standing water , Lakes Saturna, Galiano, North Pender. Expect all islands.",,,AS
ogi,Araliaceae,Hedera helix,Hedera helix,"Escaping into lowland, mesic forest, all islands.",,,
ogi,Araliaceae,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,"HLR report Prevost Island. CDC 2008 update: Formerly not considered part of the flora in BC, this species is now considered historic (possibly extirpated) native taxon.",,,
ogi,Asparagaceae,Asparagus officinalis,Asparagus officinalis,"Occasionally escaping, waste ground. Collected from Mayne and Galiano.",,,
ogi,Asparagaceae,Brodiaea coronaria,Brodiaea coronaria,"Dry, open, grassy slopes and rocky outcrops. All islands.",,,
ogi,Asparagaceae,Camassia leichtlinii ssp. suksdorfii,Camassia leichtlinii suksdorfii,"South facing bluffs, shelves isolated from grazing. All islands.",,,
ogi,Asparagaceae,Camassia quamash ssp. maxima,Camassia quamash maxima,Rare on islands; occuring with C. leichtlinii.,,,
ogi,Asparagaceae,Chionodoxa luciliae,Scilla luciliae,"Reported as Scilla luciliae (Boissier) Speta Bellhouse Park, Galiano Colwell 2016. 100+ years persistant Saturna Beach area, Saturna. On Lomer & Penny's non-established list.",not in FPNW2,,
ogi,Asparagaceae,Hyacinthoides hispanica,Hyacinthoides hispanica,"Persisting from cultivation along with H. non-scripta. Straley Sturdies Bay, Galiano 1983.",,,
ogi,Asparagaceae,Hyacinthoides massartiana,Hyacinthoides × massartiana,"Persisting from cultivation, AS Montague Harbour, Galiano 2017.",,,
ogi,Asparagaceae,Maianthemum dilatatum,Maianthemum dilatatum,"Moist to dry open forest Mayne, Galiano and North Pender. Rare on Saturna and South Pender.",,,AS
ogi,Asparagaceae,Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum amplexicaule,"HJ Creek draining into Georgeson Bay, Galiano 1980. L Baile Mt Elizabeth Park, N Pender 2020.",,,AS
ogi,Asparagaceae,Maianthemum stellatum,Maianthemum stellatum,"Mayne. Marshy ground with aspen, Edith Point",,,AS
ogi,Asparagaceae,Muscari armeniacum,Muscari armeniacum,Magner Galiano 2015. habitat?,,,
ogi,Asparagaceae,Ornithogalum umbellatum,Ornithogalum umbellatum,Persisting from cultivation. Galiano location?,,,
ogi,Asparagaceae,Triteleia grandiflora,Triteleia grandiflora,Tweedale dry shoreline forest Linklater Road Galiano 2018. Possibly T. howellii? HJ - We were never able to find another individual at this location. AS,,,AS
ogi,Asparagaceae,Triteleia hyacinthina,Triteleia hyacinthina,"Grassy slopes on bluffs, all islands.",,,AS
ogi,Aspleniaceae,Asplenium trichomanes,Asplenium trichomanes,"Otter Bay woods below road North Pender. Ledges and cliffs Breezy Bay and west side Boot Cove, Saturna. Huggins trail off McCoskrie Road, Galiano. Several iNaturalist reports Galiano.",,,
ogi,Asteraceae,Achillea millefolium,Achillea millefolium,"Roadsides, disturbed ground, all islands.",,mention the mess / native infrataxa?,AS
ogi,Asteraceae,Adenocaulon bicolor,Adenocaulon bicolor,"Moist, shady woods, all islands.",,,AS
ogi,Asteraceae,Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla,"Grassy bluffs, all islands.",,,AS
ogi,Asteraceae,Agoseris heterophylla,Agoseris heterophylla,"Grassy bluffs and ridges, all islands.",,,
ogi,Asteraceae,Ambrosia chamissonis,Ambrosia chamissonis,"Sandy beaches, shoreline dunes, all islands.",,,
ogi,Asteraceae,Anaphalis margaritacea,Anaphalis margaritacea,"Open woods and roadsides, all islands.",,,AS
ogi,Asteraceae,Anisocarpus madioides,Anisocarpus madioides,"Dry, open Douglas-fir woodlands, all islands.",,,AS
ogi,Asteraceae,Anthemis arvensis,Anthemis arvensis,"HJ N Pender 1981, FN N Pender 2006.",,,
ogi,Asteraceae,Anthemis cotula,Anthemis cotula,"Roadsides, waste ground, all islands.",,,
ogi,Asteraceae,Arctium minus,Arctium minus,"Waste ground, roadside, all islands.",,,AS
ogi,Asteraceae,Artemisia absinthium,Artemisia absinthium,"TRA Mayne date? location? Cullen Mortimer Spit, S Pender iNaturalist observation 2020.",,,
ogi,Asteraceae,Artemisia campestris var. scouleriana,Artemisia campestris pacifica,"Open, grassy shoreline cliffs, all islands.",,,AS
ogi,Asteraceae,Artemisia suksdorfii,Artemisia suksdorfii,"Bluffs and beaches, all islands.",,,AS
ogi,Asteraceae,Bellis perennis,Bellis perennis,"Lawns, meadows, pastures, waste ground, all islands.",,,AS
ogi,Asteraceae,Bidens amplissima,Bidens amplissima,"HJ Pond edge,Blackbird Hill, Scirpus wetland, Winter Cove Park, Saturna. Chatwin Spotlight Cove Galiano 2012. Chytyk same 2012. AS ER128 Galiano 2020.",,,
ogi,Asteraceae,Bidens cernua,Bidens cernua,"AS Divina Road, Galiano 2016. AS Cook Rd Galiano 2020.",,,
ogi,Asteraceae,Bidens frondosa,Bidens frondosa,"HJ Fen in Winter Cove, Saturna 1998.",,,
ogi,Asteraceae,Carthamus creticus,Carthamus creticus,"Collected once in pasture, Mayne HJ. Not persisting. On Lomer & Penny's non-established list.",not in FPNW2,,
ogi,Asteraceae,Centaurea cyanus,Centaurea cyanus,"Roadsides, and waste places;Saturna, Galiano, especially widespread N Pender",,,
ogi,Asteraceae,Centaurea melitensis,Centaurea melitensis,"Samuel Island and Georgeson Island. Steep, grassy south-facing slopes just above salt water. HJ Tumbo Island 2007. Collection same places HLR. Also Fenneman Tumbo 2007.",,,
ogi,Asteraceae,Centaurea nigra,Centaurea nigra,HJ Farm field North Pender 1981.,,,
ogi,Asteraceae,Cichorium intybus,Cichorium intybus,"Roadsides, farm fields, meadows, all islands.",,,
ogi,Asteraceae,Cirsium arvense,Cirsium arvense,"Roadsides, disturbed ground, fields, all islands.",,,
ogi,Asteraceae,Cirsium brevistylum,Cirsium brevistylum,"Roadsides, disturbed ground, fields, all islands.",,,
ogi,Asteraceae,Cirsium vulgare,Cirsium vulgare,"Disturbed ground, fields and roadside, all islands.",,,
ogi,Asteraceae,Conyza canadensis,Erigeron canadensis,"Waste places and disturbed soil, farm yards, all islands.",,,
ogi,Asteraceae,Cotula coronopifolia,Cotula coronopifolia,"TRA S Pender date? Location?, HJ Tumbo Island, Cabbage Island 1993.",,,
ogi,Asteraceae,Crepis capillaris,Crepis capillaris,"Roadsides, waste places, all islands.",,,
ogi,Asteraceae,Crepis nicaeensis,Crepis nicaeensis,Mayne location? Collection at CAN. Collector? Removed from BC checklist -no specimines 70+ years.,,,
ogi,Asteraceae,Crepis vesicaria ssp. taraxacifolia,Crepis vesicaria taraxacifolia,"Eastham lists for Mayne, location? Not present GD.",,,
ogi,Asteraceae,Crocidium multicaule,Crocidium multicaule,"JP,GD,HJ Kendrick Island 1998. HJ steep, seepy rock faces, Saturna 1974,1983. HJ Mt Sutil 1978.",,,
ogi,Asteraceae,Doronicum pardalianches,Doronicum pardalianches,AS Montague Harbour parking lot 2017.,,,
ogi,Asteraceae,Echinops sphaerocephalus,Echinops sphaerocephalus,"AS Mt Sutil, Galiano 2018.",,,
ogi,Asteraceae,Eriophyllum lanatum var. leucophyllum,Eriophyllum lanatum leucophyllum,"Grassy bluffs and ledges, all islands.",,,
ogi,Asteraceae,Eutrochium maculatum var. bruneri,Eutrochium maculatum bruneri,Eastham lists in Prelim Flora of VI and QCI for Saturna. No collection vouchers known.,,,
ogi,Asteraceae,Filago arvensis,Filago arvensis,HLR Blunden Island 2005.,,,
ogi,Asteraceae,Filago pyramidata,Filago pyramidata,Note HJ 1974 collection in H&C2018. I generally treated Filago from islands as F. germanica = F. vulgaris,,,
ogi,Asteraceae,Galinsoga quadriradiata,Galinsoga quadriradiata,"HJ large garden, Mayne 1994, Winery fields, Saturna 2002. AS Galiano 2018.",,,
ogi,Asteraceae,Gamochaeta ustulata,Gamochaeta ustulata,"Roadside vernal pools, disturbed ground, all islands.",,,
ogi,Asteraceae,Gnaphalium palustre,Gnaphalium palustre,"Roadside vernal pools, disturbed ground, all islands.",,,
ogi,Asteraceae,Gnaphalium uliginosum,Gnaphalium uliginosum,"Roadside vernal pools, disturbed ground, all islands.",,,
ogi,Asteraceae,Grindelia hirsutula,Grindelia hirsutula,"K&J Miskelly Galiano 2017. location? Saleh MacClure Rd, Galiano 1970.",,,
ogi,Asteraceae,Grindelia integrifolia,Grindelia integrifolia,"Coastal bluffs, beaches, salt marshes and meadows, all islands. =G. stricta on Galiano list?",,,
ogi,Asteraceae,Grindelia squarrosa,Grindelia squarrosa,AC re-id HJ collections A143 and 629 Mayne and Galiano as G. s.,,,
ogi,Asteraceae,Hieracium albiflorum,Hieracium albiflorum,"Dry, open coniferous forest and margins, all islands.",,,
ogi,Asteraceae,Hieracium aurantiacum,Pilosella aurantiaca,"Roadsides, waste ground, Saturna, Galiano. Doesn't appear to spread easily in area.",,,
ogi,Asteraceae,Hypochaeris glabra,Hypochaeris glabra,"Roadside, disturbed and waste ground, all islands.",,,AS
ogi,Asteraceae,Hypochaeris radicata,Hypochaeris radicata,"Lawns, cultivated ground, waste ground, all islands.",,,AS
ogi,Asteraceae,Jacobaea maritima,Jacobaea maritima,"Persisting along rocky shoreline, Boot Cove, Saturna. Galiano location?",,,
ogi,Asteraceae,Jacobaea vulgaris,Jacobaea vulgaris,"Roadside and logging roads, widespread all islands, spreading aggressivly. Cinnabar moths too.",,,
ogi,Asteraceae,Jaumea carnosa,Jaumea carnosa,"Salt marshes and mud flats Saturna, Cabbage, Tumbo. JP N Pender 1996.",,,
ogi,Asteraceae,Lactuca serriola,Lactuca serriola,"Roadsides, fields and waste places, all islands.",,,
ogi,Asteraceae,Lapsana communis,Lapsana communis,"Roadside, disturbed ground, forest edges, all islands.",,,
ogi,Asteraceae,Leontodon autumnalis,Scorzoneroides autumnalis,"RLT Helen Point, Mayne 1978. Straley Mayne 1987, TRA N Pender 1958.",,,
ogi,Asteraceae,Leontodon saxatilis,Leontodon saxatilis,"Lawns, roadsides and waste places, all islands.",,,
ogi,Asteraceae,Leucanthemum vulgare,Leucanthemum vulgare,"Fields, roadsides, and waste places, all islands.",,,
ogi,Asteraceae,Luina hypoleuca,Luina hypoleuca,FL Prevost Island 2004.,,,
ogi,Asteraceae,Madia exigua,Madia exigua,"Roadsides, grassy ridges, all islands.",,,AS
ogi,Asteraceae,Madia glomerata,Madia glomerata,"Roadsides, dry open places, all islands.",,,
ogi,Asteraceae,Madia gracilis,Madia gracilis,"Grassy bluffs and ledges, all islands.",,,AS
ogi,Asteraceae,Madia sativa,Madia sativa,"Roadsides, all islands.",,,AS
ogi,Asteraceae,Matricaria discoidea,Matricaria discoidea,"Roadsides, disturbed ground, all islands.",,,
ogi,Asteraceae,Mycelis muralis,Mycelis muralis,"Open, mesic forest, all islands.",,,AS
ogi,Asteraceae,Petasites frigidus var. palmatus,Petasites frigidus palmatus,Roadside and moist forest Galiano.,,,
ogi,Asteraceae,Petasites hybridus,Petasites hybridus,"FL shoreline Greenburn Lake, S Pender 2006.",,,
ogi,Asteraceae,Petasites japonicus,Petasites japonicus,"HJ Piggot Bay ditch, Mayne 1980. Also Indian Reserve, Galiano, Thieves Bay, N Pender.",,,
ogi,Asteraceae,Pseudognaphalium stramineum,Pseudognaphalium stramineum,"HJ Logging road, Mt Park on Mayne 1975, Dinner Point Mayne 1980, Mt Sutil gravel pit Galiano 1981, salt marsh Parker Island 1981, Winter Cove Park roadside also East Point helicopter pad Saturna 1983. FL Ferry Terminal N Pender 2003. Bedwell Harbour shoreline, S Pender 2019.",,,
ogi,Asteraceae,Pseudognaphalium thermale,Pseudognaphalium thermale,"Logged areas, roadsides, disturbed ground, all islands.",,,
ogi,Asteraceae,Psilocarphus tenellus,Psilocarphus tenellus,"FL Gowland Point Rd and foot of Higgs Road, S Pender 2003, 2006. HJ old dump area Saturna 2020.",,,
ogi,Asteraceae,Santolina chamaecyparissus,Santolina chamaecyparissus,"TRA N Pender. HJ Lighthouse Point, Prevost Island, persisting but not apparently established.",not in FPNW2,,
ogi,Asteraceae,Senecio sylvaticus,Senecio sylvaticus,"Disturbed soil and waste places, all islands.",,,
ogi,Asteraceae,Senecio vulgaris,Senecio vulgaris,"Roadsides, waste ground, cultivated ground, all islands",,,
ogi,Asteraceae,Silybum marianum,Silybum marianum,"HJ Highways yard N Pender 1979. Garden Port Washington, N Pender 1981.",,,
ogi,Asteraceae,Solidago lepida var. lepida,Solidago lepida lepida,"Grassy places and open woods, all islands. Generally rare on Gulf Islands.",,,
ogi,Asteraceae,Soliva sessilis,Soliva sessilis,"Headley Lovers Leap view point Galiano 2019, HJ Winter Cove Park picnic area Saturna 2016. Cruickshank Portland Island 2016 Naturalist observation.",,,
ogi,Asteraceae,Sonchus arvensis ssp. uliginosus,Sonchus arvensis uliginosus,"Landward edges of salt marshes, beach shoreline, all islands.",,,
ogi,Asteraceae,Sonchus asper,Sonchus asper,"Disturbed ground, cultivated ground, all islands.",,,
ogi,Asteraceae,Sonchus oleraceus,Sonchus oleraceus,"Disturbed ground, cultivated ground, all islands.",,,
ogi,Asteraceae,Symphyotrichum chilense,Symphyotrichum chilense,"AW Galiano 1975, HJ DL3 Galiano 1982. BT (?name) Porlier Pass Road, Galiano 1966. S. chilensis x subspicatum reported for Galiano, documentation?",,,
ogi,Asteraceae,Symphyotrichum novi-belgii var. novi-belgii,Symphyotrichum novi-belgii novi-belgii,"AS Lion's park, Galiano 2016. established? On Lomer & Penny's non-established list. Established garden escape in Metro Vancouver (including various cultivars or derivatives). Most weedy plants encountered in SW BC that look like S. chilense or S. subspicatum, or S. douglasii are this species (J. Fenneman, pers. comm. 2017).",not in FPNW2,,
ogi,Asteraceae,Symphyotrichum subspicatum,Symphyotrichum subspicatum,All specimines need re-examination.,,,
ogi,Asteraceae,Tanacetum parthenium,Tanacetum parthenium,"FL Galiano, HJ N Pender. Escaping in waste areas; HJ Otter Bay Ferry Landing, waste areas Magic Lake and Neptune Estates 1975. FL notes growing on sandstone ledges above shore at Sturdies Bay ferry terminal.",,,AS
ogi,Asteraceae,Tanacetum vulgare,Tanacetum vulgare,"Roadside and waste places, Saturna, Galiano.",,,AS
ogi,Asteraceae,Taraxacum erythrospermum,Taraxacum erythrospermum,"Lawns, roadsides, waste areas, grassy bluffs, all islands.",,Taraxacum needs attention; but probably beyond scope for this project,AS
ogi,Asteraceae,Taraxacum officinale,Taraxacum officinale,"Lawns cultivated ground and disturbed places, all islands.",,Taraxacum needs attention; but probably beyond scope for this project,AS
ogi,Asteraceae,Tragopogon porrifolius,Tragopogon porrifolius,"Roadside, fields, all islands.",,,
ogi,Asteraceae,Tragopogon pratensis,Tragopogon pratensis,"HJ Roadside and fields, Saturna 1976.",,,
ogi,Asteraceae,Tripleurospermum inodorum,Tripleurospermum inodorum,"HJ vacant lot Magic Lake, N Pender 1981.",,,
ogi,Asteraceae,Tussilago farfara,Tussilago farfara,Robinson inland cliffs North Galiano 2019. Not on later lists? Photo on inaturalist looks convincing.,,no longer on iNat; must have been reidentified...?; remove AS,AS
ogi,Asteraceae,Uropappus lindleyi,Uropappus lindleyi,"Steep, rocky slopes, Saturna, Galiano, N Pender.",,,AS
ogi,Athyriaceae,Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina cyclosorum,"Common throughout in moist forest, wetland edges, seepy spots.",,,AS
ogi,Balsaminaceae,Impatiens capensis,Impatiens capensis,"Rocky shoreline and beach Winter Cove, Saturna HJ 1994. Zika Galiano 2004. iNaturalist report Morning Beach, Galiano 2020.",,,
ogi,Balsaminaceae,Impatiens glandulifera,Impatiens glandulifera,"Zika 50 m from trailhead on Grace Trail, west of Georgeson Bay Road, northeast slope of Mount Galiano, southeast end of Galiano.",,,
ogi,Berberidaceae,Achlys triphylla,Achlys triphylla,"Shady, moist woods, occasionally in open, moist places and along streams. Forming dense stands under Alder regen. All islands.",,,AS
ogi,Berberidaceae,Berberis aquifolium,Berberis aquifolium,"Woods, thickets, and open exposed slopes, all islands.",,,AS
ogi,Berberidaceae,Berberis nervosa,Berberis nervosa,"Dry, open woods, all islands.",,,AS
ogi,Betulaceae,Alnus rubra,Alnus rubra,"Lowland early second growth, forest edges. All islands",,,AS
ogi,Betulaceae,Betula papyrifera,Betula papyrifera,Rare on islands. Galiano. Single occurance Samuel Island.,,,AS
ogi,Betulaceae,Corylus cornuta ssp. californica,Corylus cornuta californica,"TRA Gallager Bay Rd, Mayne.Check id of HJ collection same place.",,,AS
ogi,Blechnaceae,Struthiopteris spicant,Struthiopteris spicant,"All islands, common in mesic to subhygric forest, usually with North exposure.",,,
ogi,Boraginaceae,Amsinckia intermedia,Amsinckia menziesii intermedia,"HJ Dinner Point, Mayne 1980. HJ Saturna 1975.",,,
ogi,Boraginaceae,Amsinckia lycopsoides,Amsinckia lycopsoides,Macoun Mayne 1913.,,,
ogi,Boraginaceae,Amsinckia menziesii,Amsinckia menziesii,"Dry, open places, rocky islets, all islands.",,,AS
ogi,Boraginaceae,Amsinckia retrorsa,Amsinckia menziesii menziesii,"HJ Oaks Bluff, N Pender 1979, HJ Bellhouse Point 1984. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.",,removed from the BC Flora FL,FL
ogi,Boraginaceae,Amsinckia spectabilis,Amsinckia spectabilis,HJ Cabbage Island. 1995.,,,
ogi,Boraginaceae,Borago officinalis,Borago officinalis,"AS Cable Bay Farm, Galiano 2018. Persisting in old gardens and flower beds Saturna.",,,
ogi,Boraginaceae,Cynoglossum officinale,Cynoglossum officinale,"AS Mt Heck,Mayne 2020.",,,
ogi,Boraginaceae,Echium vulgare,Echium vulgare,"Clement roadside Sturdies Bay, Galiano 1978. AW same location?, Galiano 1975. HJ Primal Point, Galiano 1975.",,,
ogi,Boraginaceae,Myosotis arvensis,Myosotis arvensis,"Macoun Mayne 1914, roadsides and waste areas, Mayne, Galiano, N Pender.",,,AS
ogi,Boraginaceae,Myosotis discolor,Myosotis discolor,"Grassy bluffs, rocky meadows and disturbed open places, all islands.",,,AS
ogi,Boraginaceae,Myosotis laxa,Myosotis laxa,"Moist soils, fen edges and shallow water, all islands.",,,AS
ogi,Boraginaceae,Myosotis micrantha,Myosotis stricta,"A&OC Tumbo Island 1976, FL Oaks Bluff, N Pender 2006.",,,
ogi,Boraginaceae,Myosotis scorpioides,Myosotis scorpioides,"HJ wet farm fields, Galiano 1975",,,AS
