Taxon,Author,Author of Sub Species or Variety,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,,,,
Andreaea megistospora,B.M. Murr.,,none,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015) ,reported,undocumented,1998-11-11,W. B. Schofield ,UBC  ,s.n.,,,,,,158341,,,,,
Andreaea nivalis ,Hook.,,snow rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015),reported,undocumented,1983-09-29,W. B. Schofield,UBC  ,s.n.,,,,,,158343,,,,,
Andreaea rupestris ,Hedw.,,black rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S5 (2015),reported,undocumented,2009-05-11,W. R. Buck,UBC  ,s.n.,,,,,,158346,,,,,
Anoectangium aestivum ,"(Hedwig) Mitten, J. Linn. ",,summer-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4 (2015) ,reported,undocumented,1984-09-25,W. B. Schofield ,UBC  ,s.n.,,,,in BC: Amphidium lapponicum (Hedw.) Schimp. ,,158394,,,,,
Antitrichia californica ,Sull. in Lesq.,,none,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Leucodontaceae,,native,S4 (2015),reported,undocumented,2003-06-19,W. B. Schofield ,UBC  ,s.n.,,,,,,67846,,,,,
Antitrichia curtipendula,(Hedw.) Brid.,,pendulous wing-moss,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Leucodontaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2017-02-21,elsemikkelsen,https://www.inaturalist.org/observations/9211340,https://static.inaturalist.org/photos/12458891/medium.jpg?1513710609,,126107,,,,,
Arctoa fulvella ,(Dicks.) Bruch & Schimp. B18, ,tawny fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,1981-08-26,J. Spence,UBC ,s.n.,,,,,,158575,,,,,
Atrichum selwynii ,Aust.,,Selwyn's smoothcap moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5? (2015) ,reported,undocumented,1983-09-06,W. B. Schofield ,UBC  ,s.n.,,,,,,55331,,,,,
Atrichum undulatum,(Hedw.) P. Beauv.,,Catherine's moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16893131,https://static.inaturalist.org/photos/25520575/medium.jpg?1537848701,,124155,,,,,
Aulacomnium androgynum,(Hedw.) Schwaegr. ,,drumsticks,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2019-04-15,judithofsquamish,https://www.inaturalist.org/observations/22544482,https://static.inaturalist.org/photos/34928973/medium.jpeg?1555388195,,124384,,,,,
Aulacomnium palustre,(Hedw.) Schwaegr.,,ribbed bog moss,Plantae,Bryophyta,,,Bryopsida,,,Rhizogoniales,,,Aulacomniaceae,,native,S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,,154189,,,,,
Barbula convoluta ,Hedw.,,lesser bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015) ,reported,undocumented,1974-08-10,W. B. Schofield ,UBC  ,s.n.,,,,,,159168,,,,,
Barbula unguiculata ,Hedw.,,bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015),reported,undocumented,1961-02-25,W. B. Schofield ,UBC  ,s.n.,,,,,,159173,,,,,
Bartramia ithyphylla,Brid.,,stiff apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S5? (2015) ,reported,undocumented,1983-09-29,W. B. Schofield ,UBC  ,s.n.,,,,,,317945,,,,,
Bartramia pomiformis,Hedw.,,common apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2015,confirmed,documented,2005-04-20,W. B. Schofield ,UBC  ,s.n.,2012-04-21,judithofsquamish,https://www.inaturalist.org/observations/9060413,https://static.inaturalist.org/photos/12232794/medium.jpeg?1512531826,,320575,,,,,
Blindia acuta ,(Hedw.) Bruch & Schimp. B63,,sharp-leaved blindia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S5 (2015),reported,undocumented,1980-08-19,J. van Velzen ,UBC  ,s.n.,,,,,,156309,,,,,
Brachydontium olympicum ,(Britt. in Frye) McIntosh &  Spence,,Olympic brachydontium moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S2? (2015),reported,undocumented,1983-09-29,J. Spence & W. B. Schofield ,UBC  ,s.n.,,,,,,156319,,,,,
Brachythecium albicans,(Hedw.) Schimp. in B.S.G.,,whitish feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2015) ,reported,undocumented,2003-06-19,W. B. Schofield ,UBC  ,s.n.,,,,,,123771,,,,,
Brachythecium collinum ,(Schleich. ex C. Müll.) Schimp. in B.S.G. ,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,,159389,,,,,
Brachythecium erythrorrhizon ,Schimp. in B.S.G.,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S3S4 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,,159392,,,,,
Brachythecium frigidum,(C. Müll.) Besch.,,cold brachythecium moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S5? (2015),reported,undocumented,2001-05-22,W. B. Schofield ,UBC  ,s.n.,,,,,,123270,,,,,
Brachythecium holzingeri,(Grout) Grout,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S2S3 (2011) ,reported,undocumented,1998-06-19,W. B. Schofield ,UBC  ,s.n.,,,,, ,159396,,,,,
Brachythecium hylotapetum,B. Hig. & N. Hig.,,woodsy ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1969-08-22,M. Fries ,WTU,WTU-B-005995,,,,,,159397,,,,,
Brachythecium nelsonii ,Grout,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S3S4 (2011) ,reported,undocumented,2001-10-07,W. B. Schofield ,UBC  ,s.n.,,,,,,159400,,,,,
Brachythecium oedipodium ,(Mitt.) Jaeg.,,short-leaved ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011),reported,undocumented,1978-10-14,W. B. Schofield,UBC  ,s.n.,,,,,,159401,,,,,
Brachythecium plumosum,(Hedw.) Schimp. ,,rusty ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1983-09-06,W. B. Schofield ,UBC  ,s.n.,,,,,,159403,,,,,
Brachythecium reflexum,(Starke in Web. & Mohr) Schimp.,,cedar moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,see notes,reported,undocumented,1976-09-23,W. B. Schofield,UBC  ,s.n.,,,,,"one of the 2 BC varieties is listed; FNA name updated to Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen, Arctoa, however Brachythecium reflexum on Nature Serve",159404,,,,,
Brachythecium rutabulum ,(Hedw.) Schimp. .,,rough-stalked feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1980-08-19,J. van Velzen ,UBC  ,s.n.,,,,,,159407,,,,,
Brachythecium salebrosum,(Web. & Mohr) Schimp. ,,smooth-stalked feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011),reported,undocumented,1980-04-16,W. B. Schofield  ,UBC  ,s.n.,,,,,,159408,,,,,
Brachythecium starkei ,(Brid.) Schimp. ,,Starke`s feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,unknown,SU (2015),reported,undocumented,1998-11-11,W. B. Schofield ,UBC  ,s.n.,,,,,,159409,,,,,
Brachythecium velutinum ,(Hedw.) Schimp. B88,,velvet feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,see notes,reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,one of the 2 BC varieties is listed,154134,,,,,
Brotherella roellii  ,(Ren. & Card. in Röll) Fleisch.,,Roell`s brotherella moss,Plantae,Bryophyta,,,Bryopsida,, ,Hypnales,,,Sematophyllaceae,,native,S1S2 (2011),reported,undocumented,1980-04-16,W. B. Schofield  & T.T. McIntosh,UBC  ,s.n.,,,,,,159482,,,,,
Bryoerythrophyllum recurvirostrum ,(Hedwig) P. C. Chen,,red beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1974-08-10,W. B. Schofield ,UBC  ,s.n.,,,,,"on NatureServe, FNA map shows it in BC & I.T.I.S. accepts",273647,,,,,
Bryum argenteum,Hedw.,,silvery bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,new 2019,documented,,,,,2019-04-13,benkeen,https://www.inaturalist.org/observations/22436491,https://static.inaturalist.org/photos/34751179/medium.jpg?1555195113,,123390,,,,,
Bryum caespiticium,Hedw.,,tufted thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,,159521,,,,,
Bryum calobryoides ,Spence,,beautiful bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S1S3 (2015),reported,undocumented,1983-09-29,J. Spence ,UBC  ,s.n.,,,,,,159522,,,,,
Bryum lisae ,De Not.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,1981-08-26,J. Spence ,UBC  ,s.n.,,,,,,159542,,,,,
Bryum meesioides ,Kindb. in Mac.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,1981-08-26,J. Spence,UBC  ,s.n.,,,,,,159546,,,,,
Bryum miniatum,Lesq.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,1962-07-01,R. R. Ireland ,WTU,WTU-B-008997,,,,,,159548,,,,,
Bryum muehlenbeckii,Bruch & Schimp. in B.S.G.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3S4 (2011),reported,undocumented,1983-09-29,J. Spence ,UBC  ,s.n.,,,,,,623038,,,,,
Bryum pallescens ,Schleich. ex Schwaegr.,,tall-clustered thread moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3 (2015)  ,reported,undocumented,1980-08-18,J. van Velzen ,UBC  ,s.n.,,,,,,67865,,,,,
Bryum pseudotriquetrum,"(Hedw.) G. Gaertn., B. Mey. & Scherb.",,common green bryum m+D158oss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S5 (2015),confirmed,documented,1977-08-05,,RBCM,VC011732,2012-05-21,judithofsquamish,https://www.inaturalist.org/observations/32682511,https://static.inaturalist.org/photos/51279136/medium.jpeg?1568438668,,159553,,,,,
Bryum salinum,I. Hagen ex Limpr,,saltmarsh bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,"name accepted by I.T.I.S., however NatureServe name is Ptychostomum salinum (Hag. ex Limpr.) J.R. Spence saltmarsh moss",159562,,,,,
Buckiella undulata,(Hedw.) Ireland,,waved silk-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,native,S4 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113052,https://static.inaturalist.org/photos/7647964/medium.jpeg?1494086886,,123497,,,,,
Buxbaumia aphylla ,(Funck) Bednarek-Ochyra & Ochyra,,slender fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,2001-10-07,W. B. Schofield ,UBC  ,s.n.,,,,,"on NatureServe, I.T.I.S.accepts,FNA map shows it in BC",159610,,,,,
Buxbaumia piperi ,Best,,none,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,native,S4S5 (2011),reported,undocumented,1983-09-29,W. B. Schofield ,UBC  ,s.n.,,,,,,124857,,,,,
Callicladium haldanianum ,(Grev.) Crum,,beautiful branch moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,native,S3 (2015),reported,undocumented,1962-09-22,W. B. Schofield ,UBC  ,s.n.,,,,,,159659,,,,,
Calliergon stramineum ,(Brid.) Kindb.,,calliergon moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Calliergonaceae,,native,S4S5 (2015),reported,undocumented,1982-09-02,W. B. Schofield ,UBC  ,s.n.,,,,,,159667,,,,,
Calliergonella cuspidata,(Hedw.) Loeske,,pointed spear-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S5? (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2019-08-24,kmfret,https://www.inaturalist.org/observations/31812204,https://static.inaturalist.org/photos/49825032/medium.jpeg?1567196679,,159669,,,,,
Campylium stellatum,(Hedw.) C. Jens.,,yellow starry fen moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S5 (2015),reported,undocumented,1983-08-11,J. Spence ,UBC  ,s.n.,,,,,,239729,,,,,
Campylopus atrovirens ,De Not.,,campylopus moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015)  ,reported,undocumented,2003-08-20,W. B. Schofield ,UBC  ,s.n.,,, ,,,159784,,,,,
Campylopus tallulensis ,Sull. & Lesq. ,,rusty swan-neck moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1984-06-23,M. R. Schofield ,UBC  ,s.n.,,,,,herbarium record Campylopus flexuosus,159802,,,,,
Ceratodon purpureus,(Hedw.) Brid. ,,redshank,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2019-04-29,judithofsquamish,https://www.inaturalist.org/observations/24123452,https://static.inaturalist.org/photos/37310616/medium.jpeg?1556594576,,123117,,,,,
Claopodium bolanderi,Best,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Thuidiaceae,,native,S4S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield ,UBC  ,s.n.,,,,,,160663,,,,,
Claopodium crispifolium,(Hook.) Ren. & Card. ,,rough moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Thuidiaceae,,native,S4S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18173058,https://static.inaturalist.org/photos/27776966/medium.jpeg?1541525622,,128661,,,,,
Climacium dendroides,(Hedw.) Web. & Mohr ,,tree climacium moss,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Climaciaceae,,native,S4S5 (2015),confirmed,documented,1970-00-17,W. B. Schofield ,UBC  ,s.n.,2019-04-17,benkeen,https://www.inaturalist.org/observations/22639218,https://static.inaturalist.org/photos/35078049/medium.jpg?1555552843,,123751,,,,,
Conostomum tetragonum ,(Hedw.) Lindb,,helmet-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2011) ,reported,undocumented,1982-07-22,J. Spence ,UBC  ,s.n.,,,,,,160833,,,,,
Cynodontium jenneri ,(Schimp. in Howie) Stirt.,,Jenner's dog-tooth,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011) ,reported,undocumented,1991-07-15,R. J. Belland ,UBC  ,s.n.,,,,,,161409,,,,,
Cyrtomnium hymenophyllum ,(Bruch & Schimp. in B.S.G.) Holm,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015)  ,reported,undocumented,1983-08-11,John Spence,UBC  ,s.n.,,,,, ,161572,,,,,
Dendroalsia abietina ,(Hook.) Britt,,none,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Leucodontaceae,,native,S3S4 (2015),reported,undocumented,2009-05-11,W. R. Buck ,NY,NY: 01105211,,,,,,55340,,,,,
Dichelyma uncinatum,Mitt.,,dichelyma moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Fontinalaceae,,native,S3S4 (2015),reported,undocumented,1970-00-17,W. B. Schofield ,UBC  ,s.n.,,,,,,161818,,,,,
Dichodontium olympicum ,Ren. & Card.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1983-09-29,W. B. Schofield,UBC  ,s.n.,,,,,,161819,,,,,
Dichodontium pellucidum,(Hedwig) Schimper,,transparent fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015) ,confirmed,documented,1983-08-11,J. Spence,UBC  ,s.n.,2019-06-28,judithofsquamish,https://www.inaturalist.org/observations/27979253,https://static.inaturalist.org/photos/43584038/medium.jpeg?1561953630,,161820,,,,,
Dicranella heteromalla, (Hedw.) Schimp,,silky forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011)  ,reported,undocumented,2009-05-11,W. R. Buck ,NY,NY: 01105227,,,,,,67876,,,,,
Dicranella palustris,(Dickson) E.F. Warb.,,marsh forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,2001-10-07,W. B. Schofield ,UBC  ,s.n.,,,,,,161837,,,,,
Dicranella rufescens,(With.) Schimp.,,rufous forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015),reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,,161838,,,,,
Dicranodontium denudatum,(Brid.) Britt. ,,denuded dicranodontium moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015)   ,reported,undocumented,1981-03-01,W. B. Schofield,UBC  ,s.n.,,,,,,161845,,,,,
Dicranoweisia cirrata,(Hedw.) Lindb. ex Milde,,common pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015)  ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2018-09-26,benkeen,https://www.inaturalist.org/observations/16933780,https://static.inaturalist.org/photos/25621900/medium.jpg?1538011246,,67949,,,,,
Dicranoweisia crispula,(Hedw.) Lindb. ex Milde,,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,2003-06-19,W. B. Schofield,UBC  ,s.n.,,,,,,154135,,,,,
Dicranum bonjeanii ,De Not.,,crisped fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1961-08-04,E.B. Peterson ,UBC  ,s.n.,,,,,,161852,,,,,
Dicranum fulvum,Hooker,,boulder broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2011),new 2018,documented,,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16872761,https://static.inaturalist.org/photos/25483556/medium.jpg?1537805153,,161858,,,,,
Dicranum fuscescens ,Turn.,,dusky fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield,UBC  ,s.n.,,,,,,123177,,,,,
Dicranum howellii ,Ren. & Card.,,Howell's dicranum moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1977-08-02, ,RBCM,VC011804,,,,,"on NatureServe, FNA & iNaturalist accept this grows in BC",161860,,,,,
Dicranum muehlenbeckii ,Bruch & Schimp.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,1982-07-22,J. Spence,UBC  ,s.n.,,,,,,161865,,,,,
Dicranum pallidisetum,(Bail. in Holz.) Irel.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,2001-05-22,W. B. Schofield,UBC  ,s.n.,,,,,,161867,,,,,
Dicranum scoparium,Hedw.,,broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16875100,https://static.inaturalist.org/photos/25487966/medium.jpg?1537809904,,123134,,,,,
Dicranum tauricum,Sapeh,,fragile fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,2017-02-21,elsemikkelsen,https://www.inaturalist.org/observations/9211015,https://static.inaturalist.org/photos/12458503/medium.jpg?1513708869,,161872,,,,,
Didymodon vinealis,(Brid.) Zand.,,soft-tufted beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield,UBC  ,s.n.,,,,,,161892,,,,,
Ditrichum heteromallum ,(Hedw.) Britt.,,curve-leaved ditrichum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011) ,reported,undocumented,2001-05-22,W. B. Schofield,UBC  ,s.n.,,,,,,161968,,,,,
Drepanocladus aduncus ,(Hedw.) Warnst.,,Knieff's hook-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S5? (2015)  ,reported,undocumented,1970-00-17,W. B. Schofield,UBC  ,s.n.,,,,,,154182,,,,,
