iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Nelima paessleri,428584,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,,Nelima,Nelima paessleri,Nelima paessleri,Native,S5? (2019) ,new 2019,,,SQUAMISH,2019-08-10,benkeen,,https://www.inaturalist.org/observations/30574465,https://static.inaturalist.org/photos/47772563/medium.jpeg?1565478476,,,harvestman spider
Neriene litigiosa,209814,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Neriene,Neriene litigiosa,Neriene litigiosa,Native,S5 (2018),new 2018,,,SQUAMISH,2014-08-11,rileypollom,,https://www.inaturalist.org/observations/15732244,https://static.inaturalist.org/photos/23490411/medium.jpeg?1534793396,,,Sierra dome spider
Neriene radiata,225815,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Neriene,Neriene radiata,Neriene radiata,Native,S5 (2018),new 2019,,,SQUAMISH,2015-08-16,benkeen,,https://www.inaturalist.org/observations/31020732,https://static.inaturalist.org/photos/48506029/medium.jpeg?1566082547,,,filmy dome spider
Parasteatoda tepidariorum,120583,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Parasteatoda,Parasteatoda tepidariorum,Parasteatoda tepidariorum,Exotic,SNA,new 2015,,,SQUAMISH,2011-09-03,elsemikkelsen,,https://www.inaturalist.org/observations/9504728,https://static.inaturalist.org/photos/12951469/medium.jpg?1516163879,,,common house spider
Paroligolophus agrestis,527483,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Oligolophinae,,Paroligolophus,Paroligolophus agrestis,Paroligolophus agrestis,Exotic,SNA (2019),new 2019,,,SQUAMISH,2015-10-01,benkeen,,https://www.inaturalist.org/observations/33786682,https://static.inaturalist.org/photos/53102569/medium.jpeg?1570080268,,,a species of harvestman
Phalangium opilio,84644,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,,Phalangium,Phalangium opilio,Phalangium opilio,Exotic,SNA (2019) ,new 2018,,,SQUAMISH,2014-08-17,citizen1,,https://www.inaturalist.org/observations/15742959,https://static.inaturalist.org/photos/23509923/medium.jpg?1534816590,,,European harvestman
Phidippus johnsoni,58421,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phidippus,Phidippus johnsoni,Phidippus johnsoni,Native,S5 (2018) ,new 2018,,,SQUAMISH,2014-03-30,elsemikkelsen,,https://www.inaturalist.org/observations/20484636,https://static.inaturalist.org/photos/31612398/medium.jpg?1550566583,,,red-backed jumping spider
Philodromus dispar,227754,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,Philodromus,Philodromus dispar,Philodromus dispar,Exotic,SNA,new 2019,,,SQUAMISH,2015-05-04,benkeen,,https://www.inaturalist.org/observations/24650673,https://static.inaturalist.org/photos/38117602/medium.jpg?1557120013,,,Eurasian running crab spider
Pholcus phalangioides,67328,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,,Pholcus,Pholcus phalangioides,Pholcus phalangioides,Exotic,SNA,new 2018,,,SQUAMISH,2014-07-05,carl1986,,https://www.inaturalist.org/observations/15715950,https://static.inaturalist.org/photos/23462388/medium.jpg?1534749218,,,long-bodied cellar spider
Platycryptus californicus,228315,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Platycryptus,Platycryptus californicus,Platycryptus californicus,Native,S4S5 (2018),new 2019,,,SQUAMISH,2015-06-05,benkeen,,https://www.inaturalist.org/observations/26512328,https://static.inaturalist.org/photos/41174058/medium.jpeg?1559851392,,,California flattened jumping spider
Salticus scenicus,68901,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Salticini,Salticus,Salticus scenicus,Salticus scenicus,Exotic,SNA,new 2019,,,SQUAMISH,2015-05-03,benkeen,,https://www.inaturalist.org/observations/24554896,https://static.inaturalist.org/photos/37969210/medium.jpg?1557016325,,,zebra jumping spider
Segestria pacifica,199807,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Segestriidae,,,Segestria,Segestria pacifica,Segestria pacifica,Native,S4S5 (2018),new 2019,,,SQUAMISH,2015-05-27,elsemikkelsen,,https://www.inaturalist.org/observations/33632551,https://static.inaturalist.org/photos/52836924/medium.jpg?1569808300,,,none
Steatoda grossa,61997,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Steatoda,Steatoda grossa,Steatoda grossa,Exotic,SNA,new 2018,,,SQUAMISH,2014-10-06,benkeen,,https://www.inaturalist.org/observations/17297292,https://static.inaturalist.org/photos/26248846/medium.jpg?1538951495,,,false black widow
Armadillidium vulgare,56083,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Armadillidiidae,,,Armadillidium,Armadillidium vulgare,Armadillidium vulgare,,not in CDC records,new 2019,,,SQUAMISH,2019-03-26,benkeen,,https://www.inaturalist.org/observations/21649681,https://static.inaturalist.org/photos/33518644/medium.jpg?1553648482,,,common pill woodlouse
Balanus glandula,81610,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Balanus,Balanus glandula,Balanus glandula,,not in CDC records,new 2019,,,SQUAMISH,2019-03-27,jennyheron,,https://www.inaturalist.org/observations/21683084,https://static.inaturalist.org/photos/33573910/medium.jpg?1553733834,,,Pacific acorn barnacle
Eualus pusiolus,459515,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,Eualus pusiolus,Eualus pusiolus,,not in CDC records,reported ,1973-12-05,,SQUAMISH,,,015-00165-001,,,historical record Lions Bay ,,doll eualid
Harpaphe haydeniana,47737,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Leptodesmidea,Xystodesmoidea,Xystodesmidae,Xystodesminae,Xystodesmini,Harpaphe,Harpaphe haydeniana,Harpaphe haydeniana,,not in CDC records,reported ,,,SQUAMISH,2019-04-14,benkeen,,https://www.inaturalist.org/observations/22489646,https://static.inaturalist.org/photos/34839456/medium.jpg?1555283463,,,yellow-spotted millipede
Hemigrapsus nudus,48342,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,Varuninae,,Hemigrapsus,Hemigrapsus nudus,Hemigrapsus nudus,,SNR,new 2019,,,SQUAMISH,2019-03-17,benkeen,,https://www.inaturalist.org/observations/21331359,https://static.inaturalist.org/photos/32989410/medium.jpg?1552854101,,,purple shore crab
Hemigrapsus oregonensis,69170,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,Varuninae,,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,,SNR,new 2019,,,SQUAMISH,2019-09-02,benkeen,,https://www.inaturalist.org/observations/32016759,https://static.inaturalist.org/photos/50172669/medium.jpeg?1567463072,,,yellow shore crab
Munida quadrispina,334674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,,Munida,Munida quadrispina,Munida quadrispina,Native,SNR,reported ,0000-00-00,,SQUAMISH,,,976-00029-003,,,historical record Horseshoe Bay,,four-spined squat lobster  
Oniscus asellus,48284,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Oniscidae,,,Oniscus,Oniscus asellus,Oniscus asellus,,not in CDC records,reported ,,,SQUAMISH,2019-04-30,benkeen,,https://www.inaturalist.org/observations/24243684,https://static.inaturalist.org/photos/37491367/medium.jpg?1556676478,,,common shiny woodlouse
Polyphemus pediculus,483930,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Onychopoda,,,Polyphemidae,,,Polyphemus,Polyphemus pediculus,Polyphemus pediculus,,not in CDC records,reported ,1950-09-25,,SQUAMISH,,,983-00183-003,,,"historical record Squamish-Clowholm Lake; note: (iNaturalist-""found in Europe""",,none
Acalypta lillianis,361595,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Tingoidea,Tingidae,Tinginae,Tingini,Acalypta,Acalypta lillianis,Acalypta lillianis,,not in CDC records,reported,1961-04-13,J. Scudder,SQUAMISH,,,SEM-UBC TIN-0031,,,,,none
Acleris effractana,453394,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris effractana,Acleris effractana,Native,SNR (2017),new 2019,,,SQUAMISH,2019-09-26,benkeen,,https://www.inaturalist.org/observations/33469143,https://static.inaturalist.org/photos/52570248/medium.jpeg?1569564859,,,hook-winged tortrix moth
Acleris macdunnoughi,212340,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris macdunnoughi,Acleris macdunnoughi,,not in CDC records,new 2019,,,SQUAMISH,2019-09-22,benkeen,,https://www.inaturalist.org/observations/33239851,https://static.inaturalist.org/photos/52192741/medium.jpg?1569208691,,,MacDunnough's acleris
Acleris nivisellana,212345,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris nivisellana,Acleris nivisellana,Native,SNR (2017),new 2019,,,SQUAMISH,2019-09-18,benkeen,,https://www.inaturalist.org/observations/32985304,https://static.inaturalist.org/photos/51771675/medium.jpeg?1568853476,,,snowy-shouldered acleris moth
Acleris variegana,212354,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris variegana,Acleris variegana,Exotic,SNA (2017),new 2019,,,SQUAMISH,2019-09-16,benkeen,,https://www.inaturalist.org/observations/32875622,https://static.inaturalist.org/photos/51597079/medium.jpeg?1568693086,,,garden rose tortrix
Acronicta insita,1063932,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,,Acronicta,Acronicta insita,Acronicta dactylina,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-07-01,benkeen,,https://www.inaturalist.org/observations/28007418,https://static.inaturalist.org/photos/43629952/medium.jpeg?1562003145,,,fingered dagger
Acronicta oblinita,129428,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,,Acronicta,Acronicta oblinita,Acronicta oblinita,Native,S4S5 (2017),new 2015,,,SQUAMISH,2015-07-15,judithofsquamish,,https://www.inaturalist.org/observations/6017065,https://static.inaturalist.org/photos/7528859/medium.jpeg?1493516710,,,smeared dagger
Adalia bipunctata,52506,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Adalia,Adalia bipunctata,Adalia bipunctata,Native,S5 (2017) ,confirmed,1963-04-07,G.J. Spencer,SQUAMISH,2019-05-26,judithofsquamish,SEM-UBC COL-10324,https://www.inaturalist.org/observations/25856434,https://static.inaturalist.org/photos/40094868/medium.jpeg?1558928434,,,two-spotted ladybug
Adelphagrotis stellaris,366775,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Adelphagrotis,Adelphagrotis stellaris,Adelphagrotis stellaris,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-08-12,benkeen,,https://www.inaturalist.org/observations/30734369,https://static.inaturalist.org/photos/48033318/medium.jpeg?1565673083,,,none
Aeshna canadensis,56082,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna canadensis,Aeshna canadensis,Native,S5 (2015) ,reported,1998-08-20,R.D. Kenner,SQUAMISH,,,SEM-UBC ODO-9001,,,,,Canadian darner
Aeshna interrupta,67725,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna interrupta,Aeshna interrupta,Native,S5 (2015),reported,2000-09-30,R.D. Kenner,SQUAMISH,,,SEM-UBC ODO-4100,,,,,variable darner
Aeshna juncea,93434,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna juncea,Aeshna juncea,Native,S5 (2015),reported,1989-09-24,not online,SQUAMISH,,,ENT991-056343,,,,,common hawker
Aeshna palmata,67726,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna palmata,Aeshna palmata,Native,S5 (2015) ,reported,1989-09-03,F. Berry,SQUAMISH,,,SEM-UBC ODO-7100,,,,,paddle-tailed darner
Aeshna tuberculifera,93448,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna tuberculifera,Aeshna tuberculifera,Native,S4 (2015),reported,1989-09-03,F. Berry,SQUAMISH,,,SEM-UBC ODO-7150,,,,,black-tipped darner
Aeshna umbrosa,67727,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Aeshna,Aeshna umbrosa,Aeshna umbrosa,Native,S5 (2015),reported,1998-08-20,R.D. Kenner,SQUAMISH,,,SEM-UBC ODO-7183,,,,,shadow darner
Agoliinus guttatus,457254,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Aphodiinae,Aphodiini,Aphodius,Agoliinus guttatus,Agoliinus guttatus,Native,SNR ,reported,1955-08-10,R. Stace-Smith,SQUAMISH,,,SEM-UBC COL-27518,,,,,none
Agonopterix canadensis,212738,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Depressariidae,Depressariinae,,Agonopterix,Agonopterix canadensis,Agonopterix canadensis,,SNR (2017)  ,new 2019,,,SQUAMISH,2019-04-25,benkeen,,https://www.inaturalist.org/observations/23096150,https://static.inaturalist.org/photos/35806902/medium.jpg?1556252640,,,Canadian Agonopterix moth
Agrotina,210553,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,,,Agrotina,,n/a,new 2019,,,SQUAMISH,2019-08-30,benkeen,,https://www.inaturalist.org/observations/31830201,https://static.inaturalist.org/photos/49859958/medium.jpeg?1567224855,,,a subtribe of owlet moths
Agrotis vancouverensis,212878,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Agrotis,Agrotis vancouverensis,Agrotis vancouverensis,Native,S4S5 (2017) ,new 2019,,,SQUAMISH,2019-06-04,benkeen,,https://www.inaturalist.org/observations/26427832,https://static.inaturalist.org/photos/41037400/medium.jpeg?1559715106,,,Vancouver dart moth
Alucita montana,213109,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Alucitoidea,Alucitidae,,,Alucita,Alucita montana,Alucita montana,,SNR (2017) ,new 2015,,,SQUAMISH,2019-04-29,benkeen,,https://www.inaturalist.org/observations/24156149,https://static.inaturalist.org/photos/37357010/medium.jpg?1556604323,,,Montana six-plume moth
Ampedus rhodopus,456234,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Ampedini,Ampedus,Ampedus rhodopus,Ampedus rhodopus,Native,SU (2017),new 2019,,,SQUAMISH,2019-05-11,benkeen,,https://www.inaturalist.org/observations/24958062,https://static.inaturalist.org/photos/38610112/medium.jpg?1557609100,,,a click beetle
Amphipyra pyramidoides,119340,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Amphipyrinae,Amphipyrini,Amphipyra,Amphipyra pyramidoides,Amphipyra pyramidoides,Native,S4S5 (2017) ,new 2019,,,SQUAMISH,2019-11-17,benkeen,,https://www.inaturalist.org/observations/35803245,https://static.inaturalist.org/photos/56502224/medium.jpeg?1574045087,,,American copper underwing
Anania hortulata,55638,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Pyraustinae,Pyraustini,Anania,Anania hortulata,Anania hortulata,Native,SNA (2019) ,new 2019,,,SQUAMISH,2019-07-09,benkeen,,https://www.inaturalist.org/observations/28525409,https://static.inaturalist.org/photos/44473617/medium.jpeg?1562713567,,,small magpie
Anania tertialis,453075,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Pyraustinae,Pyraustini,Anania,Anania tertialis,Anania tertialis,Native,SNR (2017) ,new 2014,,,SQUAMISH,2014-07-26,elsemikkelsen,,https://www.inaturalist.org/observations/9236733,https://static.inaturalist.org/photos/12501754/medium.jpg?1513986746,,,Guenee's pearl
Anaplectoides prasina,213514,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Anaplectoides,Anaplectoides prasina,Anaplectoides prasina,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-07-28,benkeen,,https://www.inaturalist.org/observations/29742644,https://static.inaturalist.org/photos/46433910/medium.jpeg?1564351243,,,green arches
Anaspis rufa,213538,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Scraptiidae,Anaspidinae,,Anaspis,Anaspis rufa,Anaspis rufa,Native,S5 (2017),new 2017, ,,SQUAMISH,2017-07-06,elsemikkelsen,,https://www.inaturalist.org/observations/7447350,https://static.inaturalist.org/photos/9684578/medium.jpg?1502464006,,,false flower beetle
Anax junius,67731,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Anax,Anax junius,Anax junius,Native,S4 (2015),reported,2001-08-14,R.D. Kenner,SQUAMISH,,,SEM-UBC ODO-8139,,,,,common green darner
Andrena frigida,198991,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrena,Andrena frigida,Andrena frigida,Native,S3S5 (2016),reported,1965-05-09,G.J. Spencer,SQUAMISH,,,SEM-UBC HYM-11288,,,,,frigid mining bee
Andrena prunorum,57667,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrena,Andrena prunorum,Andrena prunorum,Native,S5 (2016) ,new 2016,,,SQUAMISH,2016-05-20,gwenlh,,https://www.inaturalist.org/observations/9646496,https://static.inaturalist.org/photos/13175763/medium.jpg?1517172139,,,prunus miner
Andropolia aedon,213602,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Andropolia,Andropolia aedon,Andropolia aedon,Native,S5 (2016),new 2019,,,SQUAMISH,2019-08-17,benkeen,,https://www.inaturalist.org/observations/30995269,https://static.inaturalist.org/photos/48464387/medium.jpeg?1566058106,,,none
Anisolabis maritima,127193,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,Neodermaptera,Anisolabidoidea,Anisolabididae,Anisolabidinae,,Anisolabis,Anisolabis maritima,Anisolabis maritima,,not in CDC records,new 2019,,,SQUAMISH,2019-08-24,benkeen,,https://www.inaturalist.org/observations/31432471,https://static.inaturalist.org/photos/49191755/medium.jpeg?1566682227,,,maritime earwig
Antheraea polyphemus,47919,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,Saturniini,Antheraea,Antheraea polyphemus,Antheraea polyphemus,Native,SNR,confirmed,1922-07-15,G.J. Spencer,SQUAMISH,2013-06-20,hillanddale,SEM-UBC SAT-0057,https://www.inaturalist.org/observations/6113066,https://static.inaturalist.org/photos/7649647/medium.jpeg?1494092146,,,polyphemus moth
Anthidium manicatum,62453,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,Anthidiini,Anthidium,Anthidium manicatum,Anthidium manicatum,Exotic,SNA (2016) ,new 2017,,,SQUAMISH,2017-07-22,gwenlh,,https://www.inaturalist.org/observations/9724384,https://static.inaturalist.org/photos/13302859/medium.jpg?1517716665,,,European wool carder bee
Anthocharis sara,59124,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,Anthocharidini,Anthocharis,Anthocharis sara,Anthocharis sara,Native,S5 (2013),reported,1933-04-23,not online,SQUAMISH,,,ENT991-121762,,,historical record West Vancouver,,Sara orangetip
