Group,Scientific.name,Taxonomic.level,Common.name ,Hulquminum.name.Thom.2011,Hulquminum.name.Luschim.2021,Alt.Hulquminum.name.Cowichan.dialect.1.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.2.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.3.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.4.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.5.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.2.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.2.Turner.2014,Alt.Hulquminum.name.Island.1.Turner.2014,Alt.Hulquminum.name.Island.2.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.meaning.Turner.2014,French.name.Thom.2011,Ecosystem.guide.content.Thom.2011,Ecosystem.guide.value.Fd.Thom.2011,Ecosystem.guide.value.Md.Thom.2011,Ecosystem.guide.value.Sp.Thom.2011,Ecosystem.guide.value.Mt.Thom.2011,Ecosystem.guide.value.Tr.Thom.2011,Ecosystem.guide.value.Id.Thom.2011,Turner 2014; Turner & Charlie (2021); Luschim 2021,Curator.notes
Birds,Dendragapus fuliginosus,species,blue grouse (dusky grouse) ,miit',,,,,,,,,,,,,,,,le tétras sombre,"The male miit' has prominent eye feathers that are generally yellow until mating season when they become orange to red. When displaying, the male can show yellow neck colourings. The male is usually a dusky or sooty grey and the female is usually much the same but a little more brown. Miit' is one of the larger grouse and is also one of the preferred food species, thought of as a delicacy, as are its eggs (tth'utth'uxals). ",1,1,1,1,1,1,Thom 2011,Thom (2011) lists Dendragapus obscurus
Birds,Branta bernicla,species,brant,xul'tul'ts,,,,,,,,,,,,,,,,le bernache cravant,"Xul'tul'ts nests in the far North and winters along the BC coast. Xul'tul'ts is a small goose that can be found in bays and estuaries. They stay near the ocean to feed on eelgrass and other aquatic plants. Unlike exu, they don't fly in an organizaed V formation but rather in irregular bunches. Xul'tul'ts was once a preferred food. They are not as common in the Gulf Islands area but are now more plentiful to the north of us here on Vancouver Island. ",1,1,0,1,1,0,Thom 2011,
Birds,Branta canadensis,species,Canada goose,exu,,,,,,,,,,,,,,,,la bernache du Canada,"Exu can be found nesting in fields, wetlands and park areas. The population has been on the rise and they can be found in urban areas as well as wetlands. Exu is a common food source. The term sliim is used to describe the V formation in which they fly. ",1,1,1,1,1,0,Thom 2011,
Birds,Aythya valisineria ,species,canvasback,lamélwelh,,,,,,,,,,,,,,,,le fuligule à dos blanc,"These large ducks winter along the coast but breed in the Interior, Alberta and Alaska. Lamélwelh is used for food. ",1,1,1,1,1,0,Thom 2011,
Birds,Gavia immer,species,common loon,swakwun,,,,,,,,,,,,,,,,le plongeon huard,"Swakwun is a large bird that has a black head with a bearded white collar around its neck. The winter coloration is much more drab–a dusky grey with lighter neck and underside. Swakwun nests inland on large lakes with a good supply of small fish. They generally spend winter on the ocean feeding alone but often loosely congregate at night. Swakwun is thought to have a mournful cry, much the same as one would moan from aching and suffering from severe arthritis. Culturally there are places you don't use because they are frequented by swakwun: you don't want to pick up its suffering. Some will eat swakwun and some won't.",1,1,1,1,1,1,Thom 2011,
Birds,Mergus merganser,species,common merganser,"xwaaqw', qumut",,,,,,,,,,,,,,,,le grand harle,"Wwaaqw'/Qumut is one of the largest ducks. Males (qumut) have a dark head and females (xwaaqw') have a reddish-brown head with a small crest off of the back of the head. They can be found on streams, rivers and estuaries. They nest in woodlands and after hatching make their way downstream. In many areas, xwaaqw'/qumut have a time to be eaten and times they are not. They can pick up the taste of decaying fish in their meat so are not eaten after the kw'a'luhw runs are finished. For some people, xwaaqw'/qumut have great spiritual significance. ",1,0,1,0,1,0,Thom 2011,
Birds,Uria aalge,species,common murre,sxeetth,,,,,,,,,,,,,,,,le guillemot marmette,"Sxeetth is a large bird, black on its upper body and white underneath. It only comes ashore to nest on cliff ledges. It prefers protected waters off straits, inlets, bays and channels, especially in areas of upwelling and mixing, and in areas where slhewut' are spawning. When flying, the flock flies close to the water and in a straight line like a train. Sxeetth is an important food source especially in winter. Even the brains are used. Sxeetth come when you need them the most. Lights are fastened on the end of the canoe so you can see them at night. When there are lots of them, you can hear them hum. The feathers of sxeetth are very valuable. ",1,1,1,1,1,0,Thom 2011,
Birds,Aquila chrysaetos ,species,golden eagle,ts'usqun,,,,,,,,,,,,,,,,l'aigle royal,Ts'usqun is generally dark in colour with light to golden head feathers (no white). Ts'usqun juveniles can have small white patches at the base of the tail. Both adults and juveniles can have white bands on the underside of their wings. Adults have grey bands on dark tips on tail feathers. Ts'usqun is not a fisherman and is more likely to be found in mountain areas and prefers to nest in high cliff areas. Feathers from ts'usqun are very highly prized–even more prized than yuxwule' feathers. The black-tipped feathers are the most prized. It is thought to be a great accomplishment to attain feathers without doing any harm to the bird. ,0,1,1,1,1,0,Thom 2011,
Birds,Bubo virginianus ,species,great horned owl,tsiitmuhw,,,,,,,,,,,,,,,,le grand-duc d'Amérique,"Tsiitmuhw is one of the largest owls common to the area. They nest in old nests of other large birds and sometimes in tree cavities. Tsiitmuhw frequents wooded areas, especially those that border open areas, and hunt small mammals for food. Tsiitmuhw generally roost in shaded areas towards the centre of the tree. Some animals have special value to the Hul'qumi'num people because they can be strong indicators. They can even tell you something is going to happen, give you a warning. Tsiitmuhw has great significance but you have to be open and able to hear the message. ",0,1,1,1,1,1,Thom 2011,
Birds,Lophodytes cucullatus,species,hooded merganser,hwuhwts'i'qw,,,,,,,,,,,,,,,,le harle couronné,"Hwuhwts'i'qw can be found in streams, ponds and sloughs. It is smaller than xwaaqw' but has a much more prominent head crest. Males have black head crest with a large white spot. Females have a similar head crest that is brown and less prominent. Hwuhwts'i'qw frequent estuaries and protected bays and inlets. Hwuhwts'i'qw may have uses other than food but the Elders consulted at the time of publication could only refer to its use as food.",1,1,0,1,1,1,Thom 2011,
Birds,Podiceps auritus,species,horned grebe ,shhw'un'ets,,,,,,,,,,,,,,,,le grèbe esclavon,"Shhw'un'ets breeds in the northern interior and winters along the coast. Small white wing patches are visible when flying on the trailing edge of the wing. Shhw'un'ets is one of the smaller of the grebes in the Gulf Islands area, and favours inshore marine waters such as bays, inlets, coves and estuaries. Shhw'un'ets refers to the way the bottom or hind end slides in water. ",1,1,0,1,1,0,Thom 2011,
Birds,Anas platyrhynchos,species,mallard,tunuqsun,,,,,,,,,,,,,,,,le canard colvert,"Tunuqsun is one of the most common ducks. They can be found on marshes, deltas, farm fields, ponds and lakes. The male has a vibrant green head and coloured chest. The female is light brown. Both sexes have distinct royal blue wing markings. If you knew where tunuqsun were when they molted, you could easily collect the feathers. Tunuqsun is sometimes preferred for eating as it is not as rich as sea ducks.The blue feathers are used to make a 'bird', much like a badminton bird, used in a game. The object of the game is to use a small paddle and see who can keep the 'bird' in the air the longest. ",1,1,1,1,1,1,Thom 2011,
Birds,Colaptes cafer ,species,northern flicker,tth'iqt,,,,,,,,,,,,,,,,le pic flamboyant,"Tth'iqt tend to winter south of Canada but are quite common in southwestern BC. The underside of the wing and tail feathers in the males are red and very distinct. Tth'iqt are common to woodlands, suburban and riparian areas. Tth'iqt has strong spiritual significance and if you listen, tth'iqt can tell you about what is around you–such as if something is disturbing the area and often whether it is two-legged or four-legged. ",0,1,1,1,1,1,Thom 2011,
Birds,Pandion haliaetus,species,osprey,th'ihwth'uhw,,,,,,,,,,,,,,,,le balbuzard pêcheur,"Th'ihwth'uhw are expert fisherman that can catch trout-sized fish in lakes, rivers, and the ocean. Osprey often patrol beaches and wetlands watching for fish. You can often tell when they see prey and then dive. Th'ihwth'uhw can lose their catch to watchful and observant yuxwele'. Th'ihwth'uhw is used for spiritual purposes. ",0,1,1,1,1,1,Thom 2011,
Birds,Ardea herodias fannini,species,Pacific great blue heron,smuqw'a',,,,,,,,,,,,,,,,le grand héron du Pacifique ,"Smuqw'a' are found in shallow waters along rivers, marshes, streams and estuaries. They are generally a shallow water hunter that catch small fish, frogs and other bite-sized morsels. Smuqw'a' hunt during the day and travel to the estuary during the low tides and back to the rivers during high tides. They also hunt effectively at night. If you listen to the smuqw'a' when it calls, you can hear it say its own name. Smuqw'a' is like a sentry and can warn you when someone or something is coming, especially at night. They have excellent vision even at night. Sxwiem Smuqw'a'–or story-telling heron–explains why he is the way he is. ",0,1,1,1,1,1,Thom 2011,
Birds,Gavia pacifica ,species,Pacific loon,hwikw'us,,,,,,,,,,,,,,,,le plongeon du Pacifique ,"Hwikw'us nests inland on lakes and winters farther out in the ocean, sometimes in flocks numbering in the thousands when food is abundant. Hwikw'us is pale on the head and on the back of its neck. It has white stripes on the side of its neck, and a black front patch. In winter, their body is dusky grey-brown, the neck and chest are white and it has a dark chinstrap. Hwikw'us is more often seen in their winter plumage here, which is somewhat grey in colour. They are really good eating but their feathers are hard to pluck. ",1,1,1,1,1,0,Thom 2011,
Birds,Bonasa umbellus,species,ruffed grouse,stihwum,,,,,,,,,,,,,,,,la gélinotte huppée ,"Stihwum is generally smaller than the blue grouse, and is the most widespread species of grouse in North America. You can often hear the male's deep accelerating drumming. Stihwum lives in mixed woodland. Stihwum are easy to catch in the autumn after most of the leaves have fallen off of the trees. Crabapple trees are one of their favourites at that time of year. You can hear them after dark and sneak up to the trees; when you look up the tree in the moonlight, you can see their silhouette and they are easier to catch.",1,1,1,0,1,0,Thom 2011,
Birds,Chen caerulescens,species,snow goose,tl'ekw'uxun,,,,,,,,,,,,,,,,l'oie des neiges,"Tl'ekw'uxun nests in the far North and travels south in the winter. There is a small population that winters on southern Vancouver Island and the Lower Mainland and down into the Puget Sound area. Tl'ekw'uxun winters in wetlands, marshes, bays and farm fields. Tl'ekw'uxun were once caught for food but they are very seldom seen today. Tl'ekw'uxun is also now used as the name for the domestic goose. ",1,1,1,1,1,0,Thom 2011,
Birds,Nyctea scandiaca,species,snowy owl ,muqmeqe',,,,,,,,,,,,,,,,le harfang des neiges,"Muqmeqe' nest and breed in the high Arctic but winter south as far south as the northern U.S. It frequents log-covered beaches, offshore barren islands, bare rocky headlands, sand dunes and structures such as jetties, log booms and wharves. Muqmeqe' usually hunt from a perch. Muqmeqe' has the ability to forecast cold weather. Meqe' is the word for snow. ",0,1,1,1,1,1,Thom 2011,
Birds,Melanitta perspicillata,species,surf scoter,kw'al-hw,,,,,,,,,,,,,,,,la macreuse à front blanc,"The kw'al-hw male is almost completely black with a white spot on the back of its head and forehead. The female is a uniform blackish brown. Kw'al-hw will give a small flip of their wings before diving. In the winter they can be found in large flocks close to shore; in late winter and spring, they are often seen where slhewut' are spawning. The name kw'al-hw comes from the word qwakw which is the thump-thump-thump sounds it makes when it takes off. ",1,1,1,1,1,1,Thom 2011,
Birds,Cygnus buccinator,species,trumpeter swan,s-hwuw'qun,,,,,,,,,,,,,,,,le cygne trompette," S-hwuw'qun are migratory but can winter locally while others may simply pass though in mid-October and again in February. They are often seen in estuaries and farmers' fields throughout the fall and winter. They can be identified by their low-pitched trumpeting call, and black bill and feet. They have wingspans of 2 metres. S-hwuw'qun has strong spiritual uses. ",1,1,1,1,1,1,Thom 2011,
Birds,Aechmophorus occidentalis,species,western grebe,skwulkwulth,,,,,,,,,,,,,,,,le grèbe élégant,"Skwulkwulth breeds in the interior and winters along the coast. They can be found in large flocks numbering in the hundreds in the winter, and in the thousands in the early spring in areas where herring are spawning. They prefer sheltered waters such as bays, inlets, harbours, lagoons and estuaries. Skwulkwulth is one of the preferred waterfowl for eating. If you listen closely to the sounds the bird makes, it will say its own name. When catching skwulkwulth, you must act quickly and keep them from diving or you are unlikely to catch them. ",1,1,1,1,1,0,Thom 2011,
Birds,Melanitta fusca,species,velvet scoter,ts'e'wi'uxun,,,,,,,,,,,,,,,,la macreuse brune,"The male ts'e'wi'uxun is almost completely black but has a white patch under its eye as well as under-wing patches. The female is brown with two faint brown spots on the face. They nest in the far north and winter along the west coast. Ts'e'wi'uxun is the largest of the scoters and has a much more distinct wing flip before diving. One of the ts'e'wi'uxun identifying marks is the white patch on its wing. Its name comes from ts'e'wi–a shell (such as a clam shell) much the same as the colour on its wing. S-xi'kwun is the clam-breaker in its throat or neck, finishing the name. ",1,1,1,1,1,1,Thom 2011,
Birds,Aix sponsa,species,wood duck,qwiwílh,,,,,,,,,,,,,,,,le canard branchu,"Considered by many to be the most beautiful of North American waterfowl, qwiwílh is a perching duck that normally nests in cavities in trees. Unlike most other ducks, it has sharp claws to aid in perching. Qwiwílh has spiritual uses. ",1,1,1,1,1,1,Thom 2011,
Bryophytes,Bryophyta,division,mosses ,,q'uts'i',q’əә́ts’əәyʔ,,,,,"(gen. name for mosses, old man’s beard lichen, etc.)",,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Conifers,Juniperus communis,species,common juniper,p-tth'une'yulhp / s-Ihelhuq'tsus p-tth'une'yulhp,slhelhuq'tsus p-tth'une'yulhp,,,,,,,t’thəl’éeltəl,,heart medicine',,,,,,le genevrier commun/le genevrier des rocheuses,"P-tth'une'yulhp is not a common tree on the coast. Slhelhuq'tsus p-tth'une'yulhp is the term for the low-lying bush species, growing to only 5' with branches on the ground. The larger ones can grow to tall trees, with very old specimens 1.5 metres wide at the base being found on Kuper Island and at Genoa Bay. It grows in open-canopy shrub communities on very shallow, water-shedding sites of rock outcrops, and is characteristic of moisture-deficient sites. When you bruise the branches, it has a very strong smell (the root word ptth'uthun means strong odour). The wood also has a strong smell. It is valuable for trade because of its aromatic property. It can be used in thin strips under the lid of a box to give it a scent. As a medicine, the berries and leaves can be boiled and used in a bath to take arthritis pain away. ",1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Conifers,Pseudotsuga menziesii,species,Douglas-fir,ts'sey',ts'sey',ts’sey’,,,,,wood or log,,,,,,,,,le douglas taxifolie,"Ts'sey is a very common tree found in dry to moist areas in lowlands and rocky forests. There are two different types–one in the interior and one out on the coast. There are two different types of ts'sey' that are identified for their differing properties and uses. The cambium (fresh inner growth) is used as well. People are careful when they harvest ts'sey', not taking any with thin bark, only ones with thick bark, so as not to kill the tree. The fine slivers from the inside bark are called s-ts'i- tsum. ",1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Conifers,Pseudotsuga menziesii menziesii,species,Douglas-fir,ts'sey',ts'sey',ts’sey’,,,,,wood or log,,,,,,,,,le douglas taxifolie,"Ts'sey is a very common tree found in dry to moist areas in lowlands and rocky forests. There are two different types–one in the interior and one out on the coast. There are two different types of ts'sey' that are identified for their differing properties and uses. The cambium (fresh inner growth) is used as well. People are careful when they harvest ts'sey', not taking any with thin bark, only ones with thick bark, so as not to kill the tree. The fine slivers from the inside bark are called s-ts'i- tsum. ",1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Conifers,Abies grandis,species,grand fir,t'a'hw,t'a'hw,,,,,,,,,,,,,,,le sapin de vancouver,"T'a'hw is usually found in mixed coniferous forests, often in association with ts'sey' and xpey'. It can grow up to 80 metres tall. Its needles have two white bands underneath and grow in flat sprays. Young fresh t'a'hw needles that are light green in colour and still soft in texture are edible from spring to summer. Very special ones that grow in the junction of valleys are highly valued. The pitch (smuqw'iws) can be used to make a tea and to stop leaks in a canoe. The Silver Fir (stth'ux t'a'hw) has similar uses. The sap has several uses as well as the cambium. T'a'hw from select areas has more potent medicinal properties as well. The Alpine Fir is called tsa'luqw t'a'hw. ",1,1,1,1,1,1,Thom 2011; Luschim 2021,Thom 2011 lists the same Hul'qumi'num name as Turner & Charlie (2021)
Conifers,Taxus brevifolia,species,Pacific yew,,tuxwa'ts,təxwátsəłp,təxwáʔtsəłp,,,,bow tree; (“bow tree/ plant”; cf. tuxwu’ts “bow”),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,secondary significance of Cowichan name derived from Turner & Charlie (2021)
Conifers,Juniperus maritima,species,seaside juniper,p-tth'une'yulhp / s-Ihelhuq'tsus p-tth'une'yulhp,ptth'une'yulhp,p’ət’thənə́y-ełp,,,,,rank-smelling/skunk-like plant',,,,,,,,,le genevrier commun/le genevrier des rocheuses,"P-tth'une'yulhp is not a common tree on the coast. Slhelhuq'tsus p-tth'une'yulhp is the term for the low-lying bush species, growing to only 5' with branches on the ground. The larger ones can grow to tall trees, with very old specimens 1.5 metres wide at the base being found on Kuper Island and at Genoa Bay. It grows in open-canopy shrub communities on very shallow, water-shedding sites of rock outcrops, and is characteristic of moisture-deficient sites. When you bruise the branches, it has a very strong smell (the root word ptth'uthun means strong odour). The wood also has a strong smell. It is valuable for trade because of its aromatic property. It can be used in thin strips under the lid of a box to give it a scent. As a medicine, the berries and leaves can be boiled and used in a bath to take arthritis pain away. ",1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,Thom (2011) and Turner (2014) list Juniperus scopulorum; some recognize Juniperus maritima in the Salish Sea; Thom 2011 lists the same Hul'qumi'num name as Turner & Charlie (2021)
Conifers,Pinus contorta,species,shore pine,,qw'iyul'ushulhp,qwənəłp,,,,,pine; (‘dancing- plant’),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,secondary significance of Cowichan name derived from Turner & Charlie (2021)
Conifers,Picea sitchensis,species,sitka spruce,tth'qw'ulhp,,tsqw’ə́łp,?ts’qwəłp,,,,"(cf. tth’uqw’ ‘get poked, shot’)",,,,,,,,,l'epinnette de sika,"Tth'qw'ulhp is most commonly found in areas that are moist but well-drained. It grows in the coastal forest with thq'iinlhp, xpey' and pashuluqw, with a forest floor often covered in mosses, horsetails and blueberries. Tth'qw'ulhp translated to 'poked/punctured'. It feels like you will be poked or punctured after you grab a branch with needles on it, hence the name tth'qw'ulhp. The wood is among the strongest for its weight. ",1,1,1,1,0,0,Thom 2011; Turner 2014; Luschim 2021,significance of Cowichan name derived from Turner & Charlie (2021)
Conifers,Tsuga heterophylla,species,western hemlock,thq'iinlhp,thq'iinlhp,,,,,,,,,,,t’ththqínłp,st’thq'eyn-łp,,,la pruche de l'ouest,"Thq'iinlhp tolerates shade and grows abundantly underneath mature trees, where it provides an important source of food for deer and elk. Their shallow root system makes them susceptible to blowing over. They are often found growing out of old tree stumps or decaying logs. Large boughs from thq'iinlhp, like those of the cedar, are tied into bundles and placed in areas where herring spawn. After spawning, the boughs–laden with herring eggs–are collected for food. The herring eggs take some flavour from the boughs. Thq'iinlhp has a milder taste then some of the other conifers. The wood from thq'iinlhp is good for carving things like hooks, and has value for trade for this purpose. ",1,1,1,1,1,0,Thom 2011; Turner 2014; Luschim 2021,Thom 2011 lists the same Hul'qumi'num name as Turner & Charlie (2021)
Conifers,Thuja plicata,species,western red cedar,xpey',xpey',xpeyʔ,,,,,wood,,,,,,,,,le thuya geant,"Xpey' generally grows in moist areas of the forest, near creeks or rivers. It is a share-tolerant tree, but can also be found growing in logged areas as well. Xpey' is considered the sun'tl'e' (eldest) of all the trees. Every part is used. Baskets and clothing are made from its bark, and houses from the wood. There are at least four main kinds of xpey': nuhw-lha lus (canoe grain), light wood, swamp cedar (dark, with more resin), and 'uy'alus (clear grain for planks). The tree has very important cultural and spiritual values as well. ",0,0,1,1,0,0,Thom 2011; Turner 2014; Luschim 2021,Thom 2011 lists the same Hul'qumi'num name as Turner & Charlie (2021)
Conifers,Pinus monticola,species,western white pine,,ts'qe'ulhp,qw’əqw’əyíʔləshəłp,t’thqéʔəłp,,,,dancing tree [Note: see also P. contorta],,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Conifers,Cupressus nootkatensis,species,yellow cedar,pashaluqw,,páshələqw,,,,,"(El60) (? cf. Local Coast Salish elements with limited distribution, incl. Stl’atl’imx, Nlaka’pamux: paxlaqw ‘yellow-cedar’ – Kuipers 2002)",,,,,,,,,le cyprès de nootka,"Pashaluqw is most frequently found at higher elevations on Vancouver Island. It prefers rocky moist areas. The father north you go, the lower down in elevation pashaluqw grows. Pashaluqw is considered one of the finer fibre materials. The pounded bark is softer and makes finer strands than xpey'. It makes a wooly fabric that is waterproof after it is spun and knit. Using pashaluqw, especially for clothing, is a sign of that a family had the ability to travel high into the mountains to collect the bark. The wood is a preferred choice for carving today as it is easy to carve yet still holds detail.",0,1,1,1,1,0,Thom 2011; Turner 2014,Thom (2011) lists Callitropsis nootkatensis; Turner (2014) lists Chamaecyparis nootkatensis
Ferns and Allies,Pteridium aquilinum,species,bracken fern,suqeen,suqeen,,,,,,,,,,,,,,,la grande fougère,"Suqeen is a common tall (3-5 m) fern that occurs in meadows, forest openings and riparian areas. They can be found in a wide variety of areas from wet stream banks to dry mountain slopes. A multi-use plant, suqeen (plant portion) is often used as a cleaning absorptive, and as an absorptive used when gutting fish, deer and elk. Suqeen can also be used for emergency bedding or to flavour freshly caught game as you bring it home. The root (se'uq) can be used to make a flour for making bread. ",1,1,0,1,0,0,Thom 2011; Luschim 2021,
Ferns and Allies,Struthiopteris spicant,species,deer fern,,,sthxélem,,,,,,,,,,,,,,,,,,,,,,Turner 2014,Turner (2014) lists as Blechnum spicant; now recognized as Struthiopteris spicant
Ferns and Allies,Equisetum arvense,species,horsetail,,sxum'xum',sxə́m’xəm’,,,,,,,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,Turner (2014) lists Equisetum ssp.
Ferns and Allies,Athyrium filix-femina,species,lady fern,,,lə́q’ləq’ʔey’,,,,,,,,,,,,,,,,,,,,,,Turner 2014,
