Group,Scientific.name,Common.name ,Hulquminum.name,French.name,Ecosystem.guide.content,Ecosystem.guide.value.Fd,Ecosystem.guide.value.Md,Ecosystem.guide.value.Sp,Ecosystem.guide.value.Mt,Ecosystem.guide.value.Tr,Ecosystem.guide.value.Id
Plants,Abies grandis,grand fir,T'a'hw,le sapin de vancouver,"T'a'hw is usually found in mixed coniferous forests, often in association with ts'sey' and xpey'. It can grow up to 80 metres tall. Its needles have two white bands underneath and grow in flat sprays. Young fresh t'a'hw needles that are light green in colour and still soft in texture are edible from spring to summer. Very special ones that grow in the junction of valleys are highly valued. The pitch (smuqw'iws) can be used to make a tea and to stop leaks in a canoe. The Silver Fir (stth'ux t'a'hw) has similar uses. The sap has several uses as well as the cambium. T'a'hw from select areas has more potent medicinal properties as well. The Alpine Fir is called tsa'luqw t'a'hw. ",1,1,1,1,1,1
Plants,Lomatium nudicaule,indian consumption plant,Q'uxmin,le lomatium nudicaule,"A member of the carrot family, q'uxmin grows in open areas, grasslands, ocean frontage and rocky bluffs. It is a small plant with oval-shaped leaves. It develops seed clusters that have a distinctive strong, pleasant smell. Loss of habitat has decimated many of the areas in which it was once harvested. The plant is locally becoming much more scarce because of the way properties are being developed. Most of the plants used today are traded or collected from other areas. Q'uxmin has strong medicinal values, and is said to have strong antibiotic properties. Q'uxmin also has food and spiritual values.",1,1,1,0,1,0
Plants,Veratrum viride,indian hellebore,Qwun'ulhp,le veratre vert,"Qwun'ulhp prefers wet areas and open or shaded forest sites, meadows and open areas. The leaves have an elliptical shape ending in a point with strong elongated ribbing. The presence of qwun'ulhp is an indicator for Devil's Club and other plants. Qwun'ulhp is extremely toxic and ingesting it can lead to death. This medicine is only used externally by people knowledgeable in how to use the plant safely. ",0,1,1,1,0,1
Plants,Juniperus scopulorum/Juniperus communis,"juniper (common,rocky mountain)",P-tth'une'yulhp/S-Ihelhuq'tsus P-tth'une'yulhp,le genevrier commun/le genevrier des rocheuses,"P-tth'une'yulhp is not a common tree on the coast. Slhelhuq'tsus p-tth'une'yulhp is the term for the low-lying bush species, growing to only 5' with branches on the ground. The larger ones can grow to tall trees, with very old specimens 1.5 metres wide at the base being found on Kuper Island and at Genoa Bay. It grows in open-canopy shrub communities on very shallow, water-shedding sites of rock outcrops, and is characteristic of moisture-deficient sites. When you bruise the branches, it has a very strong smell (the root word ptth'uthun means strong odour). The wood also has a strong smell. It is valuable for trade because of its aromatic property. It can be used in thin strips under the lid of a box to give it a scent. As a medicine, the berries and leaves can be boiled and used in a bath to take arthritis pain away. ",1,1,1,1,1,1
Plants,Arctostaphylos uva-ursi,kinnikinnick (bearberry),Tl'ikw'iyelhp,le raisin d'ours,"Tl'ikw'íyelhp is common in many areas including rocky mountain slopes with lots of exposure. It is a small (rarely over 15cm in height), evergreen plant that forms a dense mat over the ground. Tl'ikw'íyelhp leaves have been used for medicines as well as a type of smoking tobacco but are not widely used today. The berry (tl'ikw'el) is edible but pulpy and not that palatable. The plant has other medicinal and spiritual uses that cannot be elaborated on. ",1,1,1,0,0,0
Plants,polypodium glycyrrhiza,licorice fern,Tlu'siip,la fougere a la reglisse,"Tlu'siip can be found in wet, mossy areas on rocks and logs, or on tree trunks and branches (usually of ts'alhulhp). Tlu'siip is a good medicine and the root or rhizome has a strong licorice flavour. The preferred plants for use are usually found on ts'alhulhp or kwulala'ulhp trees, and is a good lozenge when found on these trees. The root/rhizome, when growing on a rock, is a good tea. This rock-root/rhizome, mixed with rose hip and wild mint, makes a strong medicinal tea to help in weight gain. ",1,1,1,0,1,0
Plants,Rose mutkana,nootka rose,Qel'qulhp,le rosier de nootka,"Qel'qulhp can be found in a wide variety of habitats on the edges of meadows, open fields and roadways. They can form dense thickets that can overtake open habitats. The flowers develop into rose hips–a seedy, waxy fruit. Qel'qulhp is the name for the plant; qelq is the flower. The flowers–particularly the petals– are edible. The rose hips are also edible and are said to be very rich in vitamin C. Rose hips have medicinal and spiritual values, and can be used to make tea or jelly. Their shoots (the'thqi) when short and pinkish red are very good eating, particularly sweet if growing in the sun. ",1,1,1,0,0,0
Plants,Holodiscus discolor,oceanspray (ironwood),Qethulhp,la spiree discolor,"Qethulhp is a common shrub in dry to moderately dry areas including open forests, ocean shores and rocky bluffs. Although considered a shrub, qethulhp is one of the hardest woods available in the Gulf Islands area. It has clusters of white flowers that droop from the branches and have a faint, sweet sugary scent. Qethulhp is sometimes referred to as 'ironwood'. It is often used when a strong wood that is unlikely to break or wear is needed–such as for a digging stick, strong hoop or barbecue stick for salmon. When the flower is in bloom, it indicates a good time to catch deer to put away: they will be fat, but not too fat to store. ",0,1,1,1,1,1
Plants,Mahonia nervosa/Mahonia aquifolium,oregon grape (dull)/oregon garpe (tall),Suniiulhp/Lulutth'sulhp,le mahonia a nervures saillantes/le mahonia a feuilles de houx,"Suniiulhp (dull Oregon grape) is particularly common in second-growth closed-canopy forests of ts'sey'. Lulutth'sulhp (tall Oregon grape) is found in drier, more open and often rocky sites than suniiulhp. Both plants have yellow flowers and blue berries. Suniiulhp and lulutth'ulhp berries are tart and sour and not often eaten. The berries are used in a children's game, seeing who can put the most berries in their mouth without responding to the sour taste and making a face. The plant's bark and berries have medicinal values. Suniiulhp has medicinal and spiritual uses, including the green flower for stomach trouble, and the roots for yellow paint. ",1,1,1,0,0,0
Plants,Malus Fusca,pacific crabapple,Qwa'up-ulhp,le pommier du pacifique,"Qwa'up-ulhp grows in moist, open woodlands, and near marshes, the ocean and water courses. Althought qwa'up-ulhp has many uses, one of the imporant ones is as a club. Its very tightly intertwined (sqaytth'ulus) grain means that it wouldn't fall apart upon impact. This quality also made it suitable for use as a wedge or digging stick, and can be helpful in peeling cedar bark. The fruit is very tasty and makes a good winter jam or preserve that if eaten regularly can keep your body healthy. ",1,1,1,1,1,1
Plants,Chimaphila umbellata,prince's pine,Quq-unalhp,l'herbe a peigne,"Quq-unalhp is generally found in coniferous forests in the shaded understory where there is well-drained soil. It is a relatively small plant that has waxy leaves with jagged edges. The plant itself has medicinal values and is an indicator plant for other harder-to-find species. While nearly any object can be traded, intellectual and spiritual knowledge also has important exchange value. Quality knowledge, including knowledge about medicine, food, spiritual matters, are not scattered freely but are an important part of Coast Salish ways of life. ",1,1,1,0,1,1
Plants,Goodyera oblongues,rattlesnake plantain,Sh-qulii-qep'nuts,la goodyerie a feuilles oblongues,"Sh-qulii-qep'nuts is a member of the orchid family that grows in mossy areas beneath coniferous forests. Second-growth stands with shaded mossy coverage are good places to look for it. You usually find sh-qulii-qep'nuts in clusters or groups of clusters. The name sh-qulii-qep'nuts is plural and means that the bottom of the plant is lightly attached to the ground or many small things sitting down. Interestingly, there is no singular form of the name for this plant. This plant has another proper name which is only used in specific, spiritual contexts. ",1,1,0,1,1,0
Plants,Alnus rubra,red alder,Kwulala'ulhp,l'aulne rouge,"Kwulala'ulhp is a very fast-growing tree that thrives on logged sites, slides, creeks, rivers, beaches, and often dominating riparian areas. Kwulalu-alus is the Hul'q'umi'num word for orange. In the early spring, you can remove the outer bark and scrape off the pulpy new inner growth between the wood and the bark called cambium (sxa'mathus). Sxamu is what you scratch off and eat. When fresh, sxam'us–one of the preferred saps for eating–leaves behind an orange colour. It can be made into a dye. Only young trees sould be harvested from for medicine and great care must be taken not to take too much from any one plant or to run into heavy bark. The little cones (t'um'ekw'un, the general name for seeds and cones) are put under a baby's pillow to make them stronger. ",1,1,1,1,0,0
Plants,Thuja plicata,red cedar,Xpey',le thuya geant,"Xpey' generally grows in moist areas of the forest, near creeks or rivers. It is a share-tolerant tree, but can also be found growing in logged areas as well. Xpey' is considered the sun'tl'e' (eldest) of all the trees. Every part is used. Baskets and clothing are made from its bark, and houses from the wood. There are at least four main kinds of xpey': nuhw-lha lus (canoe grain), light wood, swamp cedar (dark, with more resin), and 'uy'alus (clear grain for planks). The tree has very important cultural and spiritual values as well. ",0,0,1,1,0,0
Plants,Sambucus racemosa,red aelderberry,Tth'iwuq',le sureau rouge,"Tth'iwuq' occurs in riparian areas, preferring wet areas with some shade. 
Tth'iwuq' forms a large cluster or red waxy berries that are rather pulpy with multiple seeds inside. The berries of 
tth'iwuq' are edible, but they are not the most palatable of the berries. The plant itself has medicinal values. It is recommended that the berries be cooked before being used.


",1,1,1,0,0,0
Plants,Ribes sanguineum,red flowering currant,Sqwuliius/Hwihwukw',le groseillier sanguin,"Hwi-hwukw' prefers dry open areas on mountainsides at mid to low elevations. Sqwuliius is the plant when it is in flower. Hwi-hwukw' is the plant with berries. If you want to find or attract hummingbirds, this is a good plant to have around. ",1,1,0,0,1,0
Plants,Vaccinium parvifolium,red huckleberry,Sqw'uqwtsus,l'airelle rouge,"Sqw'uqwtsus can be found in mixed forests, coniferous forests and logged slopes. It is the most common of the huckleberry family. It has a small but plump red berry with a sweet and sometimes slightly tart taste. Sqw'uqwtsus often grows on old stumps or fallen logs, from subalpine to seashore. The name sqw'uqwtsus comes from the practice of putting cloth down underneath a bush full of huckleberries and striking the branches to knock off the ripe berries. Sqw'uqw refers to striking; tsus literally refers to fingers–referring to the branches or 'fingers' of the shrub or tree.",1,1,0,0,0,0
Plants,Gaultheria shallon,Salal (berries),T'eqe',les baies de salal,"T'eqe' is an abundant plant throughout the area and is one of the most dominant plants on the west coast of Vancouver Island. The berries of t'eqe' are not the sweetest of berries but they are common throughout the coast. If you are lost in a remote area and in need of food, t'eqe' is one of the most common late-summer berries. The berries can be easily dried and preserved. ",1,1,0,0,1,0
Plants,Rubus spectabilis,salmonberry,Lila',la ronce elegante,"Lila' is a common small shrub on the West Coast. It occurs in riparian areas near rivers, lakes, creeks and by the ocean. Lila' has magenta flowers and large orange or red raspberry-like berries that are sweet and quite edible. They are among the earliest berries to ripen (May-June). Lila' berries are sweet-tasting and good for flavouring. The sprouts (the'thqi) are also eaten, and are plentiful and sweet. ",1,0,0,0,0,0
Plants,Amelanchier alnifolia,saskatoon,"Tushnetsulhp, Tushnets",l'amelanchier a feuilles d'aulne,"There are several types of tushnetsulhp, most often differentiated by their appearance and use. A tolerant species can live in higher drier habitat like high bluffs or p'hwulhp meadows or in low riparian areas in the valley bottoms. If you prefer sweeter berries, it is often better to find exposed areas where tushnets get lots of sun. Tushnetsulhp is the name used for the plant. Tushnets is the berry that can be made into moist cakes and traded for from the Interior. The branches or stalks are used where you need strong, light flexible wood for making hoops for dip nets or for baby boards. The wood is steamed to make permanent bends. ",1,1,0,1,1,0
Plants,Equisetum hyemale,scouring rush,Hwkw'ul'a,la prele d'hiver,"Hwkw'ul'a can be found in wet areas along rivers, sandy areas, gravely areas and dry river beds. It has dark green tubular stalks with segments in each stalk. Hwkw'ul'a can contain a small amount of fluid within its hollow tube. Even if hwkw'ul'a is in tepid water, the water inside can be consumed. The skin of hwkw'ul'a can also be used as a fine sand paper to shine smaller items such as knitting needles. ",1,1,1,1,0,0
Plants,Picea sitchensis,sitka spruce,Tth'qw'ulhp,l'epinnette de sika,"Tth'qw'ulhp is most commonly found in areas that are moist but well-drained. It grows in the coastal forest with thq'iinlhp, xpey' and pashuluqw, with a forest floor often covered in mosses, horsetails and blueberries. Tth'qw'ulhp translated to 'poked/punctured'. It feels like you will be poked or punctured after you grab a branch with needles on it, hence the name tth'qw'ulhp. The wood is among the strongest for its weight. ",1,1,1,1,0,0
Plants,Symphoricarpos albus,snowberry,"P'up'q'iyasulhp, P'up'q'iyas, T'ets'ulhp",la symphorine blanche,"P'up'q'iyas grows in open dry to moist grasslands and open forests, ravines and disturbed areas. It bears white waxy berries that are an important winter food source for quail, pheasant, and grouse, but are considered poisonous to humans. P'up'q'iyasulhp is the name for the plant itself and p'up'q'iyas refers to the berries. Both the plant and berries have many uses. If you can find straight-stemmed plants, they are called t'e-ts'ulhp and are used as spreaders or holders for drying or smoking meat and fish. ",0,1,1,1,0,0
Plants,Shepherdia canadensis,soapberry,Sxwesum,la shepherdie du canada,"Sxwesum is a small shrub that prefers drier open areas (such as rocky p'hwulhp meadows) and thickets that get full exposure to the sun. Sxwesum's small, shiny red berries can be whipped up with water to make ""Indian ice cream"". The berries can also be dried and used for trade. ",1,1,0,0,1,0
Plants,Urtica dioica,stinging nettle,Tth'uxtth'ux,la grande ortie ,"Tth'uxtth'ux grows 1-2 m tall and is quite abundant in riparian areas, meadows and roadsides. The stem and leaves are very hairy; some of the hairs are stinging hairs which break off and inject irritating chemicals. The pain and itching from this sting can last from a few minutes up to a week. Tth'uxtth'ux has very strong fibres that can be made quite thin. If you remove the woody portion of tth'uxtth'ux, the fibre can be twisted and wound together to form a long thin strong line that can be used for fishing. The young sprouts are very good eating in the springtime. ",1,1,1,1,0,0
Plants,Ribes bracteosum,stink currant,Sp'eetth',le gadellier bracteole,"You can usually find sp'eetth' along creek or river edges, lakes or wherever there is water. It is the plant that holds the odour–not the berries. Sp'eetth' berries are edible; children are generally allowed to eat them. They can be a nice and juicy berry at the right time. ",1,0,0,0,0,0
Plants,Ribes lacustre,swamp gooseberry,T'emhw,le gadellier lacustre,"Some caution should be used when harvesting t'emhw as a scratch or puncture from the spines of the plant can give a strong reaction. T'emhw is found in wet or swampy areas in wooded or riparian areas from low to subalpine elevations. There are several uses for t'emhw: the berry is sometimes eaten, the plant itself has medicinal values and some of the characteristics of the plant have special spiritual uses. ",1,1,1,0,0,0
Plants,Rubus parviflorus,thimbleberry,T'uqwum',la ronce a petites fleurs,"T'uqwum' is a common berry and roadside shrub often found in areas that have been cleared. It is very common in low elevations and valley bottoms but can be found in subalpine areas and the shoots (called lhequ for this specific plant, the'thqi for edible shoots generally) are preferred by many. T'uqwum' berries are quite sweet, and the shoots (lhequ) are sprouts preferred by many. T'uqwum' is also an indicator plant for when to pick 15 cm cedars to split and make the ribs for cedar-root baskets. Selection of the cedars and timing (a brief 2-week window) are important, as the stiffeners are difficult to split and require cedars collected at the right time. ",1,0,0,0,0,1
Plants,Lilium columbianum,tiger lily,Sxamelexwthelh,le lis de columbie-britannique,"Tiger lilies can be found in forests, meadows and recently-cleared areas, from subalpine to low elevations. The bulbs are eaten, and can be harvested at any time but mainly when its flowers are out. Its use as a material has a spiritual element, and has been traded in this respect. ",1,0,1,1,1,0
Plants,Rubus ursinus,trailing blackberry,Sqw''iil'muhw,la ronce sauvage,"Sqw''iil'muhw is a long thin vine that likes to crawl through underbrush in shaded areas of mixed and coniferous forests. The thorns are small and generally much less prevalent than the introduced blackberry that is more common in populated areas. Sqw''iil'muhw berries are often the preferred berries even though they are smaller than and not as plentiful as the introduced blackberries. Sqw''iil'muhw berries are much more flavourful. The leaves, when they turn dark red, make a really flavourful, potent tea. The leaves must be picked in a way that does not kill the vine. ",1,1,0,1,1,0
Plants,Sagittaria latifolia,wapato,Sqewth,le sagittaire a larges feuilles,"Sqewth grows in wet or swampy areas, lowlands, marshes and estuaries. Sqewth has distinctive arrowhead-shaped leaves. Sqewth are often submerged or partially submerged so they have to be dislodged from the bottom for harvesting. Some families from Vancouver Island Coast Salish communities had family-owned plots for sqewth, and these were located primarily on the Mainland. Others could access these through in-laws or trade. Sqewth has a good tasting, starchy potato-like root. It has to be harvested before the ducks come in or it will be gone. ",1,0,0,0,1,0
Plants,Rumex occidentalis,western dock,T'umasu,la patience occidentale,"T'umasu grows in wet areas such as wet meadows, bogs, marshes and river banks, as well as in salty wet places such as tide flats and beaches. They turn reddish-brown in mid-summer. This is played with by kids who peel them off and play with the stem. T'umasu has several medicinal values. ",0,1,1,1,0,0
Plants,Cormus nuttallii,western dogwood,Kwi'txulhp,le cornouiller de nuttall,"Kwi'txulhp can be identified by the large creamy white flowers that have made it such a distinctive tree. It can also be identified out of season by the small swoops in the branches. Kwi'txulhp is usually found in riparian areas with well-drained soil. Kwi'txulhp wood has many uses and is well known for being a very hard wood, especially when the wood is dry. The wood is used for a huge variety of tools, including wedges, handles, hafts–even as a pry-bar. The bark is used for drying and tanning. The inner sap can be boiled and used as a wash to kill ringworm infections. ",0,1,1,1,1,0
Plants,Tsuga heterophylla,western hemlock,Thq'iinlhp,la pruche de l'ouest,"Thq'iinlhp tolerates shade and grows abundantly underneath mature trees, where it provides an important source of food for deer and elk. Their shallow root system makes them susceptible to blowing over. They are often found growing out of old tree stumps or decaying logs. Large boughs from thq'iinlhp, like those of the cedar, are tied into bundles and placed in areas where herring spawn. After spawning, the boughs–laden with herring eggs–are collected for food. The herring eggs take some flavour from the boughs. Thq'iinlhp has a milder taste then some of the other conifers. The wood from thq'iinlhp is good for carving things like hooks, and has value for trade for this purpose. ",1,1,1,1,1,0
Plants,Spiraea douglasii ssp. douglasii,western spiraea (steeplebush),T'eets'ulhp,la spiree de douglas,"T'eets'ulhp grows in sunny moist areas, lake margins, stream banks, swamps, bogs and wet meadows but can be tolerant of dry conditions. It forms dense, impenetrable thickets. T'eets'ulhp can be used as a fish spreader for drying or smoking fish. Select usable stalks that are long, limber and ideally slightly curved. The spreader keeps the fish from curling as it dries. ",0,0,0,1,0,0
Plants,Lonicera ciliosa,western trumpet honeysuckle,Qit'a'uylhp,le chevrefeuille cilie,"Qit'a'uylhp is a vine that climbs on trees and shrubs. They flower as the top of the vine reaches the upper reaches of the understory. The flowers are orange-yellow and trumpet-shaped. Qit'a'uylhp flowers are edible and the nectar can be consumed by biting the bulbous base of the flower and drawing out the nectar, when they are at their most orange in colour. Another use is as a shampoo. The plant is referred to as the swing of the ghost people, the deceased. It also has spiritual significance. ",1,1,1,1,1,0
