Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,Notes,ID,Stats Code
Amphitetras antediluviana,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Biddulphia,unlisted,unlisted,new 2011,observed,,,,,,2011-01-05,Mark Webber,https://www.inaturalist.org/observations/4876139,,521743,ALG
Biddulphia biddulphiana,(J.E. Smith) Boyer,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Biddulphia,unlisted,unlisted,new 2008,observed,,,,,,2008-07-19,Mark Webber,https://www.inaturalist.org/observations/4876149,,372546,ALG
Isthmia nervosa,Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Isthmia,unlisted,unlisted,new 2008,observed,,,,,,2008-07-20,Mark Webber,https://www.inaturalist.org/observations/5197632,,348140,ALG
Attheya longicornis,"(Gardner & Crawford, 1994)",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Attheyaceae,,,Attheya,unlisted,unlisted,new 2009,observed,,,,,,2009-07-12,Mark Webber,https://www.inaturalist.org/observations/40715776,,988154,ALG
Attheya septentrionalis,(Østrup) R.M.Crawford,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Attheyaceae,,,Attheya,unlisted,unlisted,new 2009,observed,,,,,,2009-12-16,Mark Webber,https://www.inaturalist.org/observations/9291446,,623138,ALG
Chaetoceros affinis,Lauder,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2004,observed,,,,,,2004-07-28,Mark Webber,https://www.inaturalist.org/observations/4876445,,423795,ALG
Chaetoceros concavicornis,L.A. Mangin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2006,observed,,,,,,2006-01-13,Mark Webber,https://www.inaturalist.org/observations/4876451,,521748,ALG
Chaetoceros curvisetus,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2006,observed,,,,,,2006-01-02,Mark Webber,https://www.inaturalist.org/observations/4876455,,504135,ALG
Chaetoceros decipiens,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2008,observed,,,,,,2008-11-09,Mark Webber,https://www.inaturalist.org/observations/4876188,,446735,ALG
Chaetoceros didymus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2006,observed,,,,,,2006-01-01,Mark Webber,https://www.inaturalist.org/observations/4849241,,448287,ALG
Chaetoceros laciniosus,F. Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2009,observed,,,,,,2009-08-11,Mark Webber,https://www.inaturalist.org/observations/4876214,,521745,ALG
Chaetoceros lorenzianus,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2008,observed,,,,,,2008-11-15,Mark Webber,https://www.inaturalist.org/observations/4876441,,521747,ALG
Chaetoceros radicans,F. Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2006,observed,,,,,,2006-01-21,Mark Webber,https://www.inaturalist.org/observations/4876457,,521749,ALG
Chaetoceros socialis,H.S. Lauder,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,unlisted,unlisted,new 2008,observed,,,,,,2008-11-15,Mark Webber,https://www.inaturalist.org/observations/4876466,,411126,ALG
Leptocylindrus danicus,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,unlisted,unlisted,new 2012,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/50001446,,521678,ALG
Leptocylindrus minimus,Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,unlisted,unlisted,new 2012,observed,,,,,,2012-07-30,Mark Webber,https://www.inaturalist.org/observations/4849113,,469827,ALG
Corethron hystrix,Hensen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Corethrales,,,Corethraceae,,,Corethron,unlisted,unlisted,new 2006,observed,,,,,,2006-01-06,Mark Webber,https://www.inaturalist.org/observations/49989060,,484134,ALG
Aulacodiscus sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Aulacodiscaceae,,,Aulacodiscus,unlisted,unlisted,new 2010,observed,,,,,,2010-12-29,Mark Webber,https://www.inaturalist.org/observations/4874758,,521736,ALG
Coscinodiscus granii,L.F. Gough,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,unlisted,unlisted,new 2009,observed,,,,,,2009-08-02,Mark Webber,https://www.inaturalist.org/observations/9291001,,570485,ALG
Coscinodiscus radiatus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,unlisted,unlisted,new 2009,observed,,,,,,2009-12-15,Mark Webber,https://www.inaturalist.org/observations/40704549,,424382,ALG
Coscinodiscus wailesii,Gran & Angst 1931,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,unlisted,unlisted,new 2019,observed,,,,,,2019-09-18,Mark Webber,https://www.inaturalist.org/observations/44884072,,549788,ALG
Actinoptychus senarius,(Ehrenberg) Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Hemipeltaceae,,,Actinoptychus,unlisted,unlisted,new 2010,observed,,,,,,2010-09-12,Mark Webber,https://www.inaturalist.org/observations/4874664,,475747,ALG
Cymbella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Cymbellaceae,,,Cymbella,unlisted,unlisted,new 2006,observed,,,,,,2006-01-10,Mark Webber,https://www.inaturalist.org/observations/5197569,,123878,ALG
Gomphonema acuminatum,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,unlisted,unlisted,new 2004,observed,,,,,,2004-07-21,Mark Webber,https://www.inaturalist.org/observations/9291305,,333685,ALG
Gomphonema sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,unlisted,unlisted,new 2004,observed,,,,,,2004-07-21,Mark Webber,https://www.inaturalist.org/observations/4849029,,123886,ALG
Asterionellopsis glacialis,(Castracane) Round,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Asterionellopsis,unlisted,unlisted,new 2004,observed,,,,,,2004-07-25,Mark Webber,https://www.inaturalist.org/observations/4848898,,428503,ALG
Fragilaria capucina,Desmazières,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Fragilaria,unlisted,unlisted,new 2004,observed,,,,,,2004-07-20,Mark Webber,https://www.inaturalist.org/observations/5197628,,345512,ALG
Cerataulina pelagica,(Cleve) Hendey,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Cerataulina,unlisted,unlisted,new 2008,observed,,,,,,2008-07-11,Mark Webber,https://www.inaturalist.org/observations/9290781,,448296,ALG
Eucampia zodiacus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Eucampia,unlisted,unlisted,new 2004,observed,,,,,,2004-07-23,Mark Webber,https://www.inaturalist.org/observations/4848935,,468045,ALG
Hobaniella longicruris,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,incertae sedis,,,incertae sedis,,,Hobaniella,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50022381,,1269705,ALG
Licmophora sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Licmophoraceae,,,Licmophora,unlisted,unlisted,new 2003,observed,,,,,,2003-08-01,Mark Webber,https://www.inaturalist.org/observations/4848883,,203613,ALG
Ditylum brightwellii,(T. West) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Lithodesmidales,,,Lithodesmiaceae,,,Ditylum,unlisted,unlisted,new 2011,observed,,,,,,2011-11-19,Mark Webber,https://www.inaturalist.org/observations/4848365,,424387,ALG
Achnanthes subconstricta,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Mastogloiales,,,Achnanthaceae,,,Achnanthes,unlisted,unlisted,new 2010,observed,,,,,,2010-07-26,Mark Webber,https://www.inaturalist.org/observations/50191595,,1100778,ALG
Melosira moniliformis,C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,unlisted,unlisted,new 2012,observed,,,,,,2012-07-13,Mark Webber,https://www.inaturalist.org/observations/4873148,,359966,ALG
Melosira nummuloides,C. Agardh.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,unlisted,unlisted,new 2010,observed,,,,,,2010-12-26,Mark Webber,https://www.inaturalist.org/observations/50020707,,460262,ALG
Eupyxidicula turris,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Stephanopyxidaceae,,,Stephanopyxis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848947,reported as Stephanopyxis turris,484129,ALG
Stephanopyxis nipponica,Gran & Yendo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Stephanopyxidaceae,,,Stephanopyxis,unlisted,unlisted,new 2020,observed,,,,,,2020-03-28,Mark Webber,https://www.inaturalist.org/observations/45809431,,488075,ALG
Diploneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Naviculales,,,Diploneidaceae,,,Diploneis,unlisted,unlisted,new 2006,observed,,,,,,2006-01-22,Mark Webber,https://www.inaturalist.org/observations/50195051,,345801,ALG
Membraneis challengeri,(Grunow) Paddock,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Naviculales,,,Naviculaceae,,,Membraneis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50275774,,521233,ALG
Navicula septentrionalis,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,unlisted,unlisted,new 2008,observed,,,,,,2008-07-23,Mark Webber,https://www.inaturalist.org/observations/4874617,,1269159,ALG
Plagiotropis lepidoptera,(W.Gregory) Kuntze,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Naviculales,,,Plagiotropidaceae,,,Plagiotropis,unlisted,unlisted,new 2008,observed,,,,,,2008-11-19,Mark Webber,https://www.inaturalist.org/observations/50272686,,485228,ALG
Pleurosigma normanii,Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Naviculales,,,Pleurosigmataceae,,,Pleurosigma,unlisted,unlisted,new 2007,observed,,,,,,2007-07-13,Mark Webber,https://www.inaturalist.org/observations/4873106,,4873106,ALG
Paralia sulcata,(Ehrenberg) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Paraliales,,,Paraliaceae,,,Paralia,unlisted,unlisted,new 2006,observed,,,,,,2006-01-15,Mark Webber,https://www.inaturalist.org/observations/4873115,,203738,ALG
Rhabdonema arcuatum,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Rhabdonematales,,,Rhabdonemataceae,,,Rhabdonema,unlisted,unlisted,new 2006,observed,,,,,,2006-11-26,Mark Webber,https://www.inaturalist.org/observations/4856581,,553701,ALG
Dactyliosolen fragilissimus,(Bergon) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Dactyliosolen,unlisted,unlisted,new 2020,observed,,,,,,2020-04-25,Mark Webber,https://www.inaturalist.org/observations/50047033,,429201,ALG
Guinardia delicatula,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/4873172,,429202,ALG
Guinardia striata,(Stolterfoth) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,unlisted,unlisted,new 2007,observed,,,,,,2007-01-23,Mark Webber,https://www.inaturalist.org/observations/4873173,,416666,ALG
Neocalyptrella robusta,(G. Norman ex Ralfs) Hernández-Becerril & Meave del Castillo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Neocalyptrella,unlisted,unlisted,new 2010,observed,,,,,,2010-12-26,Mark Webber,https://www.inaturalist.org/observations/4873124,,493946,ALG
Rhizosolenia setigera f. pungens,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Rhizosoleniales,,,Rhizosoleniaceae,,,Rhizosolenia,unlisted,unlisted,new 2009,observed,,,,,,2009-12-16,Mark Webber,https://www.inaturalist.org/observations/50055224,,1271514,ALG
Trigonium arcticum,(Brightwell) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Stellarimales,,,Trigoniaceae,,,Trigonium,unlisted,unlisted,new 2013,observed,,,,,,2013-01-08,Mark Webber,https://www.inaturalist.org/observations/50128873,,841425,ALG
Eupyxidicula turris,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Archaegladiopsophycidae,,Stephanopyxales,,,Stephanopyxidaceae,,,Eupyxidicula,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848947,,1268528,ALG
Striatella unipunctata,(Lyngbye) C. Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Striatellales,,,Striatellaceae,,,Striatella,unlisted,unlisted,new 2006,observed,,,,,,2006-11-26,Mark Webber,https://www.inaturalist.org/observations/4856581,,372659,ALG
Thalassionema nitzschioides,(Grunow) Mereschkowsky,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Thalassionematales,,,Thalassionemataceae,,,Thalassionema,unlisted,unlisted,new 2006,observed,,,,,,2006-01-15,Mark Webber,https://www.inaturalist.org/observations/50170636,,359995,ALG
Thalassiosira punctigera,(Castracane) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Thalassionematales,,,Thalassionemataceae,,,Thalassiosira,unlisted,unlisted,new 2010,observed,,,,,,2010-12-28,Mark Webber,https://www.inaturalist.org/observations/50064842,,488947,ALG
Amphora sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Thalassiophysales,,,Catenulaceae,,,Amphora,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/4874677,,325558,ALG
Halamphora coffaeiformis,(C. Agardh) Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Thalassiophysales,,,Catenulaceae,,,Amphora,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/4874695,,521731,ALG
Skeletonema japonicum,Zingone & Sarno,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Skeletonemataceae,,,Skeletonema,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/50050643,,521234,ALG
Cyclotella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Stephanodiscaceae,,,Cyclotella,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,https://www.inaturalist.org/observations/49991081,,345199,ALG
Detonula pumila,(Castracane) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/5197581,,468053,ALG
Minidiscus sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Minidiscus,unlisted,unlisted,new 2005,observed,,,,,,2005-07-24,Mark Webber,https://www.inaturalist.org/observations/4873137,,521677,ALG
Planktoniella sol,(G.C. Wallich) Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Planktoniella,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/4873113,,521675,ALG
Thalassiosira angustelineata,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,unlisted,unlisted,new 2010,observed,,,,,,2010-08-19,Mark Webber,https://www.inaturalist.org/observations/9291115,,470489,ALG
Thalassiosira gravida,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,unlisted,unlisted,new 2010,observed,,,,,,2010-11-03,Mark Webber,https://www.inaturalist.org/observations/50061997,reported as Thalassiosira rotula,970151,ALG
Hobaniella longicruris,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Triceratiales,,,Triceratiaceae,,,Odontella,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50022381,reported as Odontella longicruris,472093,ALG
Odontella aurita,(Lyngbye) C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Triceratiales,,,Triceratiaceae,,,Odontella,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50022943,,359948,ALG
Dictyocha crux,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,unlisted,unlisted,new 2006,observed,,,,,,2006-07-13,Mark Webber,https://www.inaturalist.org/observations/5197588,,534455,ALG
Dictyocha fibula,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,unlisted,unlisted,new 2005,observed,,,,,,2005-01-20,Mark Webber,https://www.inaturalist.org/observations/4849190,,424389,ALG
Octactis speculum,,,golden alga,Chromista,Ochrophyta,,,Dictyochophyceae,,,Dictyochales,,,Dictyochaceae,,,Octactis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/48042848,,1073308,ALG
Desmarestia aculeata,(Linnaeus) J.V.Lamouroux,,wiry acid weed,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,unlisted,unlisted,reported,unobserved,2008-02-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Possible, no photo to check",182896,ALG
Desmarestia herbacea,(Turner) J.V.Lamouroux,,colour changer,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,unlisted,unlisted,new 2009,observed,,,,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635150,,345459,ALG
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,,broad acid weed,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,unlisted,unlisted,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Possible, no photo to check",328357,ALG
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,,stringy acid weed,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,unlisted,unlisted,confirmed,observed,1999-05-05,Andy Lamb & Donna Gibbs,PMLS,,,2017-04-08,Tyrel Froese,https://www.inaturalist.org/observations/5620551,,182892,ALG
Dictyota binghamiae,J.Agardh,,mermaid's gloves,Chromista,Ochrophyta,,,Phaeophyceae,,,Dictyotales,,,Dictyotaceae,,,Dictyota,unlisted,unlisted,reported,unobserved,1999-05-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Possible, no photo to check",124829,ALG
Hincksia sp.,,,brown tuft,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Acinetosporaceae,,,Hincksia,unlisted,unlisted,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,372715,ALG
