Common name,Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time
banner sea-nymph,Nereis vexillosa,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
red-trumpet calcareous tubeworm,Serpula columbiana,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
Vancouver feather-duster,Eudistylia vancouveri,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
split-branch feather-duster,Schizobranchia insignis,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
spiral bryozoan,Bugula californica,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
mossy or hairy chiton,Mopalia sp.,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
giant rock scallop,Crassadoma gigantea,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
rock entodesma,Entodesma navicula,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
noble sea lemon,Doris nobilis,1969-02-22T12:00:00,Archidoris montereyensis?  collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
Monterey sea lemon,Doris montereyensis,1969-02-22T12:00:00,Anisodoris nobilis?  collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
spotted leopard dorid,Diaulula odonoghuei,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,present,open,20,120
multicolor/ white dendronotid,Dendronotus albus,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
shag-rug nudibranch,Aeolidia papillosa,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
shrimp,undetermined shrimp,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
pygmy rock crab,Cancer oregonensis,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
northern kelp crab,Pugettia producta,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
graceful kelp crab,Pugettia gracilis,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
flattop crab,Petrolisthes eriomerus,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
hairy crab,Hapalogaster mertensii,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
common acorn barnacles,Balanus glandula/Balanus crenatus,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
purple star or ochre star,Pisaster ochraceus,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
mottled star,Evasterias troschelii,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
sunflower star,Pycnopodia helianthoides,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
green sea urchin,Strongylocentrotus droebachiensis,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
red sea cucumber,Cucumaria miniata,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
stiff-footed sea cucumber,Eupentacta quinquesemita,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
transparent tunicate,Corella willmeriana,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
warty tunicate,Pyura haustor,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
hairy tunicate,Boltenia villosa,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
disc-top tunicate,Chelyosoma productum,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
high cockscomb,Anoplarchus purpurescens,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
penpoint gunnel,Apodichthys flavidus,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
padded sculpin,Artedius fenestralis,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
bristly vase sponge,Leucandra heathi,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
orange finger sponge,Amphilectus rigida,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
red velvety sponge 1,Clathria pennata,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
fibre-optic hydroid,Abietinaria greenei,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
ostrich-plume hydroid,Aglaophenia spp.,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
orange sea pen,Ptilosarcus gurneyi,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
orange cup coral,Balanophyllia elegans,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
crimson anemone,Cribrinopsis fernaldi,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
swimming anemone,Stomphia didemon,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
short plumose anemone,Metridium senile,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
frosted nudibranch,Dirona albolineata,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
pink scallop,Chlamys sp.,1971-08-21T14:00:00,with Myxilla/Mycale,Lion Islet,48.89833,-123.33333,,open,90,60
northern staghorn bryozoan,Heteropora pacifica,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
feather star,Florometra serratissima,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
sand star,Luidia foliolata,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
spiny red star,Hippasteria phrygiana,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
vermilion star,Mediaster aequalis,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
morning sun star,Solaster dawsoni,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
striped sun star,Solaster stimpsoni,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
slime star,Pteraster tesselatus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
ridged blood star,Henricia aspera aspera,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
rainbow star,Orthasterias koehleri,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
basket star,Gorgonocephalus eucnemis,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
red sea urchin,Mesocentrotus franciscanus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
glassy tunicate,Ascidia paratropa,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
spotted ratfish,Hydrolagus colliei,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
northern ronquil,Ronquilus jordani,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
shiner perch,Cymatogaster aggregata,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
copper rockfish,Sebastes caurinus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
quillback rockfish,Sebastes maliger,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
yellowtail rockfish,Sebastes flavidus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
tiger rockfish,Sebastes nigrocinctus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
splitnose rockfish,Sebastes diploproa,1971-08-21T14:00:00,?,Lion Islet,48.89833,-123.33333,,open,90,60
kelp greenling,Hexagrammos decagrammus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
lingcod,Ophiodon elongatus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
painted greenling,Oxylebius pictus,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
longfin sculpin,Jordania zonope,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
spotfin sculpin,Icelinus tenuis,1971-08-21T14:00:00,,Lion Islet,48.89833,-123.33333,,open,90,60
yellow boring sponge,Cliona californiana,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
orange finger sponge,Amphilectus rigida,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
white reticulated sponge,Iophon lamella,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
sulphur sponge,Myxilla lacunosa,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
Bowerbank's crumb of bread sponge,Halichondria bowerbanki,1973-09-20T14:00:00,panicea,Alcala Point,49.00167,-123.58833,,open,80,50
red velvety sponge 1,Clathria pennata,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
short plumose anemone,Metridium senile,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
painted anemone,Urticina grebelnyi,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
proliferating anemone,Epiactis prolifera,1973-09-20T14:00:00,on eelgrass,Alcala Point,49.00167,-123.58833,,open,80,50
tube-dwelling anemone,Pachycerianthus fimbriatus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
orange cup coral,Balanophyllia elegans,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
orange sea pen,Ptilosarcus gurneyi,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
red-trumpet calcareous tubeworm,Serpula columbiana,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
fringed filament-worm,Dodecaceria fewkesi,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
twin-eyed feather duster,Megalomma sp.,1973-09-20T14:00:00,purple,Alcala Point,49.00167,-123.58833,,open,80,50
orange encrusting bryozoan,Schizoporella japonicus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
spiral bryozoan,Bugula californica,1973-09-20T14:00:00,bugula sp.,Alcala Point,49.00167,-123.58833,,open,80,50
lined chiton,Tonicella lineata,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
mossy or hairy chiton,Mopalia sp.,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
giant Pacific chiton,Cryptochiton stelleri,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
pink scallop,Chlamys sp.,1973-09-20T14:00:00,with Mxyilla/Mycale,Alcala Point,49.00167,-123.58833,,open,80,50
green false-jingle,Pododesmus macrochisma,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
wrinkled dogwinkle,Nucella lamellosa,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
Oregon triton,Fusitriton oregonensis,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
noble sea lemon,Doris nobilis,1973-09-20T14:00:00,?,Alcala Point,49.00167,-123.58833,,open,80,50
Monterey sea lemon,Doris montereyensis,1973-09-20T14:00:00,?,Alcala Point,49.00167,-123.58833,,open,80,50
white nudibranch,Doris odhneri,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
orange-peel nudibranch,Tritonia gigantea,1973-09-20T14:00:00,about 2 pounds!,Alcala Point,49.00167,-123.58833,1,open,80,50
frosted nudibranch,Dirona albolineata,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
opalescent nudibranch,Hermissenda crassicornis,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
velcro star,Stylasterias forreri,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
leather star,Dermasterias imbricata,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
vermilion star,Mediaster aequalis,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
ridged blood star,Henricia aspera aspera,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
sunflower star,Pycnopodia helianthoides,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
rose star,Crossaster papposus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
morning sun star,Solaster dawsoni,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
striped sun star,Solaster stimpsoni,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
basket star,Gorgonocephalus eucnemis,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
red sea urchin,Mesocentrotus franciscanus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
giant sea cucumber,Apostichopus californicus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
red sea cucumber,Cucumaria miniata,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
creeping pedal sea cucumber,Psolus chitonoides,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
Pacific spiny dogfish,Squalus acanthias,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
walleye pollock,Theragra chalcogramma,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
blackeye goby,Rhinogobiops nicholsii,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
striped seaperch,Embiotoca lateralis,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
pile perch,Damalichthys vacca,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
copper rockfish,Sebastes caurinus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
quillback rockfish,Sebastes maliger,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
brown rockfish,Sebastes auriculatus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
yellowtail rockfish,Sebastes flavidus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
tiger rockfish,Sebastes nigrocinctus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
kelp greenling,Hexagrammos decagrammus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
lingcod,Ophiodon elongatus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
painted greenling,Oxylebius pictus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
longfin sculpin,Jordania zonope,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
spinynose sculpin,Radulinus taylori,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
cabezon,Scorpaenichthys marmoratus,1973-09-20T14:00:00,,Alcala Point,49.00167,-123.58833,,open,80,50
giant plumose anemone,Metridium farcimen,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
tube-dwelling anemone,Pachycerianthus fimbriatus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
orange cup coral,Balanophyllia elegans,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
orange sea pen,Ptilosarcus gurneyi,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
twin-eyed feather duster,Megalomma sp.,1973-09-21T11:30:00,purple,Spanish Hills Store,48.99,-123.58,,open,90,40
spiral bryozoan,Bugula californica,1973-09-21T11:30:00,bugula sp.,Spanish Hills Store,48.99,-123.58,,open,90,40
giant nudibranch,Dendronotus iris,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
golden dirona,Dirona pellucida,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
krill,Euphausia spp.,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
graceful decorator crab,Oregonia gracilis,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
velcro star,Stylasterias forreri,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
leather star,Dermasterias imbricata,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
vermilion star,Mediaster aequalis,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
blood star,Henricia leviuscula leviuscula,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
sunflower star,Pycnopodia helianthoides,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
rose star,Crossaster papposus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
morning sun star,Solaster dawsoni,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
striped sun star,Solaster stimpsoni,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
gray brittle star,Ophiura luetkenii,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,abundant,open,90,40
feather star,Florometra serratissima,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,abundant,open,90,40
giant sea cucumber,Apostichopus californicus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
creeping pedal sea cucumber,Psolus chitonoides,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
Pacific spiny dogfish,Squalus acanthias,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
Pacific herring,Clupea pallasii,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
blackeye goby,Rhinogobiops nicholsii,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
striped seaperch,Embiotoca lateralis,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
pile perch,Damalichthys vacca,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
copper rockfish,Sebastes caurinus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
quillback rockfish,Sebastes maliger,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
yellowtail rockfish,Sebastes flavidus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
yelloweye rockfish,Sebastes ruberrimus,1973-09-21T11:30:00,juvenile,Spanish Hills Store,48.99,-123.58,,open,90,40
kelp greenling,Hexagrammos decagrammus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
lingcod,Ophiodon elongatus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
longfin sculpin,Jordania zonope,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
spinynose sculpin,Radulinus taylori,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
cabezon,Scorpaenichthys marmoratus,1973-09-21T11:30:00,,Spanish Hills Store,48.99,-123.58,,open,90,40
orange rough ball sponge,Tethya californiana,1981-05-31T16:10:00,sp.,Collinson Reef,48.86167,-123.34333,,open,55,40
glove sponge,Amphilectus digitatus,1981-05-31T16:10:00,,Collinson Reef,48.86167,-123.34333,,open,55,40
demo sponge,undetermined demo sponge,1981-05-31T16:10:00,pale orange encrusting sponge,Collinson Reef,48.86167,-123.34333,,open,55,40
short plumose anemone,Metridium senile,1981-05-31T16:10:00,,Collinson Reef,48.86167,-123.34333,many,open,55,40
painted anemone,Urticina grebelnyi,1981-05-31T16:10:00,,Collinson Reef,48.86167,-123.34333,,open,55,40
