"regionField","id","label"
US Ecoregions Level III,3,4. Cascades
US Ecoregions Level III,4,9. Eastern Cascades Slopes and Foothills
US Ecoregions Level III,5,10. Columbia Plateau
US Ecoregions Level III,6,11. Blue Mountains
US Ecoregions Level III,7,12. Snake River Plain
US Ecoregions Level III,8,78. Klamath Mountains/California High North Coast Range
US Ecoregions Level III,9,80. Northern Basin and Range
Deschutes Land Trust Preserves Easements,1,Camp Polk Meadow Preserve
Deschutes Land Trust Preserves Easements,2,Metolius Preserve
Deschutes Land Trust Preserves Easements,3,Priday Ranch
Deschutes Land Trust Preserves Easements,4,Whychus Canyon Preserve addition
BLM National Monuments,1,Cascade-Siskiyou National Monument
BLM National Monuments,2,Steens Mountain Cooperative Management and Protection Area
National Park Service Park Boundaries,1,John Day Fossil Beds National Monument
National Park Service Park Boundaries,2,Oregon Caves National Monument and Preserve
National Wildlife Refuge Boundaries,1,Ankeny National Wildlife Refuge
National Wildlife Refuge Boundaries,2,Bandon Marsh National Wildlife Refuge
National Wildlife Refuge Boundaries,3,Hart Mountain National Antelope Refuge
National Wildlife Refuge Boundaries,4,Klamath Marsh National Wildlife Refuge
National Wildlife Refuge Boundaries,5,Lower Klamath National Wildlife Refuge
National Wildlife Refuge Boundaries,6,Malheur National Wildlife Refuge
National Wildlife Refuge Boundaries,7,Mckay Creek National Wildlife Refuge
National Wildlife Refuge Boundaries,8,Nestucca Bay National Wildlife Refuge
National Wildlife Refuge Boundaries,9,Oregon Islands National Wildlife Refuge
National Wildlife Refuge Boundaries,10,Umatilla National Wildlife Refuge
National Wildlife Refuge Boundaries,11,Upper Klamath National Wildlife Refuge
National Wildlife Refuge Boundaries,12,William L. Finley National Wildlife Refuge
Columbia River Gorge National Scenic Area Boundary,1,Columbia River Gorge National Scenic Area
Oregon State Parks,1,Arizona Beach
Oregon State Parks,2,Battle Mountain Forest
Oregon State Parks,3,Blue Mountain Forest
Oregon State Parks,4,Bob Straub
Oregon State Parks,5,Boiler Bay
Oregon State Parks,6,Booth
Oregon State Parks,7,Brian Booth
Oregon State Parks,8,Cape Blanco
Oregon State Parks,9,Cape Lookout
Oregon State Parks,10,Cape Sebastian
Oregon State Parks,11,Carl G. Washburne
Oregon State Parks,12,Champoeg
Oregon State Parks,13,Clay Myers
Oregon State Parks,14,Cline Falls
Oregon State Parks,15,Cottonwood Canyon
Oregon State Parks,16,Crissey Field
Oregon State Parks,17,Del Rey Beach
Oregon State Parks,18,Deschutes River
Oregon State Parks,19,Driftwood Beach
Oregon State Parks,20,Elijah Bristow
Oregon State Parks,21,Elk Creek Tunnel Forest
Oregon State Parks,22,Emigrant Springs
Oregon State Parks,23,Farewell Bend
Oregon State Parks,24,Fort Rock
Oregon State Parks,25,Fort Stevens
Oregon State Parks,26,Gleneden Beach
Oregon State Parks,27,Golden and Silver Falls
Oregon State Parks,28,Goose Lake
Oregon State Parks,29,Harris Beach
Oregon State Parks,30,Heceta Head Lighthouse
Oregon State Parks,31,Hilgard Junction
Oregon State Parks,32,Historic Columbia River Highway
Oregon State Parks,33,Hug Point
Oregon State Parks,34,Humbug Mountain
Oregon State Parks,35,Illinois River Forks
Oregon State Parks,36,J.S. Burres
Oregon State Parks,37,Jessie M. Honeyman
Oregon State Parks,38,John Yeon
Oregon State Parks,39,Lake Owyhee
Oregon State Parks,40,Luckiamute
Oregon State Parks,41,Mayer
Oregon State Parks,42,McVay Rock
Oregon State Parks,43,Memaloose
Oregon State Parks,44,Minam
Oregon State Parks,45,Molalla River
Oregon State Parks,46,Nehalem Bay
Oregon State Parks,47,Oceanside Beach
Oregon State Parks,48,Ochoco
Oregon State Parks,49,Oswald West
Oregon State Parks,50,Otter Crest
Oregon State Parks,51,Otter Point
Oregon State Parks,52,Parrett Mountain Access
Oregon State Parks,53,Pengra Access
Oregon State Parks,54,Peter Skene Ogden
Oregon State Parks,55,Pilot Butte
Oregon State Parks,56,Pistol River
Oregon State Parks,57,Port Orford Heads
Oregon State Parks,58,Prineville Reservoir
Oregon State Parks,59,Rooster Rock
Oregon State Parks,60,Rough and Ready
Oregon State Parks,61,Saddle Mountain
Oregon State Parks,62,Samuel H. Boardman
Oregon State Parks,63,Sarah Helmick
Oregon State Parks,64,Shore Acres
Oregon State Parks,65,Sidney Access
Oregon State Parks,66,Silver Falls
Oregon State Parks,67,Sitka Sedge
Oregon State Parks,68,Smith Rock
Oregon State Parks,69,South Beach
Oregon State Parks,70,Succor Creek
Oregon State Parks,71,The Cove Palisades
Oregon State Parks,72,Tryon Creek
Oregon State Parks,73,Tumalo
Oregon State Parks,74,Ukiah-Dale Forest
Oregon State Parks,75,Umpqua Lighthouse
Oregon State Parks,76,Unity Forest
Oregon State Parks,77,Wallowa Lake
Oregon State Parks,78,White River Falls
Oregon State Parks,79,Willamette Mission
Oregon State Parks,80,William M. Tugman
Oregon State Parks,81,Yachats
Oregon State Parks,82,Yaquina Bay
Pine Creek Outer Boundary,1,Pine Creek Outer Boundary
Warm Springs Boundary,1,Warm Springs Reservation
USA Counties,1,Asotin County
USA Counties,2,Baker County
USA Counties,3,Benton County
USA Counties,4,Canyon County
USA Counties,5,Clackamas County
USA Counties,6,Clark County
USA Counties,7,Clatsop County
USA Counties,8,Columbia County
USA Counties,9,Coos County
USA Counties,10,Crook County
USA Counties,11,Curry County
USA Counties,12,Del Norte County
USA Counties,13,Deschutes County
USA Counties,14,Douglas County
USA Counties,15,Gilliam County
USA Counties,16,Grant County
USA Counties,17,Harney County
USA Counties,18,Hood River County
USA Counties,19,Humboldt County
USA Counties,20,Idaho County
USA Counties,21,Jackson County
USA Counties,22,Jefferson County
USA Counties,23,Josephine County
USA Counties,24,Klamath County
USA Counties,25,Klickitat County
USA Counties,26,Lake County
USA Counties,27,Lane County
USA Counties,28,Lincoln County
USA Counties,29,Linn County
USA Counties,30,Malheur County
USA Counties,31,Marion County
USA Counties,32,Modoc County
USA Counties,33,Morrow County
USA Counties,34,Multnomah County
USA Counties,35,Polk County
USA Counties,36,Sherman County
USA Counties,37,Siskiyou County
USA Counties,38,Tillamook County
USA Counties,39,Umatilla County
USA Counties,40,Union County
USA Counties,41,Walla Walla County
USA Counties,42,Wallowa County
USA Counties,43,Wasco County
USA Counties,44,Washington County
USA Counties,45,Wheeler County
USA Counties,46,Yamhill County
Forest Service National Forest Boundaries,1,Columbia River Gorge National Scenic Area
Forest Service National Forest Boundaries,2,Deschutes National Forest
Forest Service National Forest Boundaries,3,Fremont-Winema National Forest
Forest Service National Forest Boundaries,4,Klamath National Forest
Forest Service National Forest Boundaries,5,Malheur National Forest
Forest Service National Forest Boundaries,6,Mt. Hood National Forest
Forest Service National Forest Boundaries,7,Nez Perce-Clearwater National Forest
Forest Service National Forest Boundaries,8,Ochoco National Forest
Forest Service National Forest Boundaries,9,Rogue River-Siskiyou National Forests
Forest Service National Forest Boundaries,10,Siuslaw National Forest
Forest Service National Forest Boundaries,11,Six Rivers National Forest
Forest Service National Forest Boundaries,12,Umatilla National Forest
Forest Service National Forest Boundaries,13,Umpqua National Forest
Forest Service National Forest Boundaries,14,Wallowa-Whitman National Forest
Forest Service National Forest Boundaries,15,Willamette National Forest
